Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers
2009-09-01,4,"Electricity, gas, water and waste management",3703
2009-09-01,5,Construction,53410
2009-09-01,6,"Wholesale and retail trade, accommodation and food services",83265
2009-09-01,7,"Transport, communications and information services",43199
2009-09-01,8,Financial intermediation,17386
2009-09-01,9,Real estate and housing services,4260
2009-09-01,10,Business services,58854
2009-09-01,11,Personal services,64484
2009-09-01,12,Public administration,6335
2009-10-01,1,"Agriculture, forestry and fishing",29505
2009-10-01,2,Mining,6156
2009-10-01,3,Manufacturing,48030
2009-10-01,4,"Electricity, gas, water and waste management",3733
2009-10-01,5,Construction,54883
2009-10-01,6,"Wholesale and retail trade, accommodation and food services",83321
2009-10-01,7,"Transport, communications and information services",43510
2009-10-01,8,Financial intermediation,17440
2009-10-01,9,Real estate and housing services,4301
2009-10-01,10,Business services,59706
2009-10-01,11,Personal services,65006
2009-10-01,12,Public administration,6430
2009-11-01,1,"Agriculture, forestry and fishing",32687
2009-11-01,2,Mining,6057
2009-11-01,3,Manufacturing,48921
2009-11-01,4,"Electricity, gas, water and waste management",3805
2009-11-01,5,Construction,56069
2009-11-01,6,"Wholesale and retail trade, accommodation and food services",84340
2009-11-01,7,"Transport, communications and information services",43765
2009-11-01,8,Financial intermediation,17475
2009-11-01,9,Real estate and housing services,4367
2009-11-01,10,Business services,60551
2009-11-01,11,Personal services,65475
2009-11-01,12,Public administration,6404
2009-12-01,1,"Agriculture, forestry and fishing",35307
2009-12-01,2,Mining,5935
2009-12-01,3,Manufacturing,48232
2009-12-01,4,"Electricity, gas, water and waste management",3800
2009-12-01,5,Construction,55433
2009-12-01,6,"Wholesale and retail trade, accommodation and food services",84939
2009-12-01,7,"Transport, communications and information services",44147
2009-12-01,8,Financial intermediation,17149
2009-12-01,9,Real estate and housing services,4417
2009-12-01,10,Business services,61323
2009-12-01,11,Personal services,65905
2009-12-01,12,Public administration,6441
2010-01-01,1,"Agriculture, forestry and fishing",33928
2010-01-01,2,Mining,6561
2010-01-01,3,Manufacturing,49100
2010-01-01,4,"Electricity, gas, water and waste management",3913
2010-01-01,5,Construction,54132
2010-01-01,6,"Wholesale and retail trade, accommodation and food services",86546
2010-01-01,7,"Transport, communications and information services",44849
2010-01-01,8,Financial intermediation,17527
2010-01-01,9,Real estate and housing services,4458
2010-01-01,10,Business services,62307
2010-01-01,11,Personal services,65681
2010-01-01,12,Public administration,6040
2010-02-01,1,"Agriculture, forestry and fishing",33128
2010-02-01,2,Mining,6809
2010-02-01,3,Manufacturing,49833
2010-02-01,4,"Electricity, gas, water and waste management",3917
2010-02-01,5,Construction,55242
2010-02-01,6,"Wholesale and retail trade, accommodation and food services",87328
2010-02-01,7,"Transport, communications and information services",45149
2010-02-01,8,Financial intermediation,17312
2010-02-01,9,Real estate and housing services,4492
2010-02-01,10,Business services,63315
2010-02-01,11,Personal services,65343
2010-02-01,12,Public administration,6054
2010-03-01,1,"Agriculture, forestry and fishing",33618
2010-03-01,2,Mining,6477
2010-03-01,3,Manufacturing,50217
2010-03-01,4,"Electricity, gas, water and waste management",3965
2010-03-01,5,Construction,55288
2010-03-01,6,"Wholesale and retail trade, accommodation and food services",86277
2010-03-01,7,"Transport, communications and information services",45237
2010-03-01,8,Financial intermediation,18071
2010-03-01,9,Real estate and housing services,4482
2010-03-01,10,Business services,63335
2010-03-01,11,Personal services,67453
2010-03-01,12,Public administration,6093
2010-04-01,1,"Agriculture, forestry and fishing",31525
2010-04-01,2,Mining,7039
2010-04-01,3,Manufacturing,51509
2010-04-01,4,"Electricity, gas, water and waste management",3981
2010-04-01,5,Construction,56858
2010-04-01,6,"Wholesale and retail trade, accommodation and food services",88599
2010-04-01,7,"Transport, communications and information services",45640
2010-04-01,8,Financial intermediation,18206
2010-04-01,9,Real estate and housing services,4579
2010-04-01,10,Business services,63959
2010-04-01,11,Personal services,69129
2010-04-01,12,Public administration,6340
2010-05-01,1,"Agriculture, forestry and fishing",28496
2010-05-01,2,Mining,7191
2010-05-01,3,Manufacturing,51467
2010-05-01,4,"Electricity, gas, water and waste management",4018
2010-05-01,5,Construction,57579
2010-05-01,6,"Wholesale and retail trade, accommodation and food services",88952
2010-05-01,7,"Transport, communications and information services",45970
2010-05-01,8,Financial intermediation,17405
2010-05-01,9,Real estate and housing services,4641
2010-05-01,10,Business services,64428
2010-05-01,11,Personal services,69941
2010-05-01,12,Public administration,6496
2010-06-01,1,"Agriculture, forestry and fishing",27872
2010-06-01,2,Mining,7316
2010-06-01,3,Manufacturing,51497
2010-06-01,4,"Electricity, gas, water and waste management",4035
2010-06-01,5,Construction,58981
2010-06-01,6,"Wholesale and retail trade, accommodation and food services",89641
2010-06-01,7,"Transport, communications and information services",46089
2010-06-01,8,Financial intermediation,18439
2010-06-01,9,Real estate and housing services,4674
2010-06-01,10,Business services,64613
2010-06-01,11,Personal services,70786
2010-06-01,12,Public administration,6569
2010-07-01,1,"Agriculture, forestry and fishing",29798
2010-07-01,2,Mining,7364
2010-07-01,3,Manufacturing,51712
2010-07-01,4,"Electricity, gas, water and waste management",3996
2010-07-01,5,Construction,58943
2010-07-01,6,"Wholesale and retail trade, accommodation and food services",90106
2010-07-01,7,"Transport, communications and information services",46123
2010-07-01,8,Financial intermediation,18370
2010-07-01,9,Real estate and housing services,4643
2010-07-01,10,Business services,64437
2010-07-01,11,Personal services,70353
2010-07-01,12,Public administration,6539
2010-08-01,1,"Agriculture, forestry and fishing",30044
2010-08-01,2,Mining,7710
2010-08-01,3,Manufacturing,52433
2010-08-01,4,"Electricity, gas, water and waste management",4001
2010-08-01,5,Construction,60303
2010-08-01,6,"Wholesale and retail trade, accommodation and food services",90852
2010-08-01,7,"Transport, communications and information services",46324
2010-08-01,8,Financial intermediation,18723
2010-08-01,9,Real estate and housing services,4634
2010-08-01,10,Business services,65128
2010-08-01,11,Personal services,71215
2010-08-01,12,Public administration,6662
2010-09-01,1,"Agriculture, forestry and fishing",29252
2010-09-01,2,Mining,7185
2010-09-01,3,Manufacturing,52395
2010-09-01,4,"Electricity, gas, water and waste management",3958
2010-09-01,5,Construction,60334
2010-09-01,6,"Wholesale and retail trade, accommodation and food services",92101
2010-09-01,7,"Transport, communications and information services",46588
2010-09-01,8,Financial intermediation,18545
2010-09-01,9,Real estate and housing services,4689
2010-09-01,10,Business services,65678
2010-09-01,11,Personal services,71787
2010-09-01,12,Public administration,6721
2010-10-01,1,"Agriculture, forestry and fishing",31402
2010-10-01,2,Mining,7557
2010-10-01,3,Manufacturing,53453
2010-10-01,4,"Electricity, gas, water and waste management",3984
2010-10-01,5,Construction,60454
2010-10-01,6,"Wholesale and retail trade, accommodation and food services",92636
2010-10-01,7,"Transport, communications and information services",47196
2010-10-01,8,Financial intermediation,18724
2010-10-01,9,Real estate and housing services,4755
2010-10-01,10,Business services,66725
2010-10-01,11,Personal services,72024
2010-10-01,12,Public administration,6847
2010-11-01,1,"Agriculture, forestry and fishing",34482
2010-11-01,2,Mining,7885
2010-11-01,3,Manufacturing,54368
2010-11-01,4,"Electricity, gas, water and waste management",3986
2010-11-01,5,Construction,60941
2010-11-01,6,"Wholesale and retail trade, accommodation and food services",94203
2010-11-01,7,"Transport, communications and information services",47806
2010-11-01,8,Financial intermediation,18823
2010-11-01,9,Real estate and housing services,4726
2010-11-01,10,Business services,67514
2010-11-01,11,Personal services,72487
2010-11-01,12,Public administration,6847
2010-12-01,1,"Agriculture, forestry and fishing",37656
2010-12-01,2,Mining,9960
2010-12-01,3,Manufacturing,55951
2010-12-01,4,"Electricity, gas, water and waste management",4357
2010-12-01,5,Construction,62063
2010-12-01,6,"Wholesale and retail trade, accommodation and food services",97769
2010-12-01,7,"Transport, communications and information services",50249
2010-12-01,8,Financial intermediation,21416
2010-12-01,9,Real estate and housing services,5016
2010-12-01,10,Business services,71454
2010-12-01,11,Personal services,74750
2010-12-01,12,Public administration,7303
2011-01-01,1,"Agriculture, forestry and fishing",36119
2011-01-01,2,Mining,9977
2011-01-01,3,Manufacturing,55857
2011-01-01,4,"Electricity, gas, water and waste management",4376
2011-01-01,5,Construction,60241
2011-01-01,6,"Wholesale and retail trade, accommodation and food services",99021
2011-01-01,7,"Transport, communications and information services",50245
2011-01-01,8,Financial intermediation,21185
2011-01-01,9,Real estate and housing services,5002
2011-01-01,10,Business services,71030
2011-01-01,11,Personal services,72265
2011-01-01,12,Public administration,6914
2011-02-01,1,"Agriculture, forestry and fishing",35962
2011-02-01,2,Mining,10189
2011-02-01,3,Manufacturing,56555
2011-02-01,4,"Electricity, gas, water and waste management",4425
2011-02-01,5,Construction,61531
2011-02-01,6,"Wholesale and retail trade, accommodation and food services",99757
2011-02-01,7,"Transport, communications and information services",50476
2011-02-01,8,Financial intermediation,21380
2011-02-01,9,Real estate and housing services,4992
2011-02-01,10,Business services,71984
2011-02-01,11,Personal services,71954
2011-02-01,12,Public administration,6884
2011-03-01,1,"Agriculture, forestry and fishing",36393
2011-03-01,2,Mining,10480
2011-03-01,3,Manufacturing,57728
2011-03-01,4,"Electricity, gas, water and waste management",4507
2011-03-01,5,Construction,62897
2011-03-01,6,"Wholesale and retail trade, accommodation and food services",100603
2011-03-01,7,"Transport, communications and information services",51105
2011-03-01,8,Financial intermediation,21781
2011-03-01,9,Real estate and housing services,5029
2011-03-01,10,Business services,72631
2011-03-01,11,Personal services,74826
2011-03-01,12,Public administration,6758
2011-04-01,1,"Agriculture, forestry and fishing",34048
2011-04-01,2,Mining,10604
2011-04-01,3,Manufacturing,58381
2011-04-01,4,"Electricity, gas, water and waste management",4556
2011-04-01,5,Construction,63611
2011-04-01,6,"Wholesale and retail trade, accommodation and food services",102125
2011-04-01,7,"Transport, communications and information services",51426
2011-04-01,8,Financial intermediation,21643
2011-04-01,9,Real estate and housing services,5030
2011-04-01,10,Business services,73087
2011-04-01,11,Personal services,76321
2011-04-01,12,Public administration,6877
2011-05-01,1,"Agriculture, forestry and fishing",30844
2011-05-01,2,Mining,10778
2011-05-01,3,Manufacturing,58567
2011-05-01,4,"Electricity, gas, water and waste management",4631
2011-05-01,5,Construction,64309
2011-05-01,6,"Wholesale and retail trade, accommodation and food services",102384
2011-05-01,7,"Transport, communications and information services",51437
2011-05-01,8,Financial intermediation,22039
2011-05-01,9,Real estate and housing services,5063
2011-05-01,10,Business services,73873
2011-05-01,11,Personal services,76699
2011-05-01,12,Public administration,6971
2011-06-01,1,"Agriculture, forestry and fishing",30902
2011-06-01,2,Mining,11003
2011-06-01,3,Manufacturing,58457
2011-06-01,4,"Electricity, gas, water and waste management",4667
2011-06-01,5,Construction,64672
2011-06-01,6,"Wholesale and retail trade, accommodation and food services",102429
2011-06-01,7,"Transport, communications and information services",51700
2011-06-01,8,Financial intermediation,22393
2011-06-01,9,Real estate and housing services,5052
2011-06-01,10,Business services,73971
2011-06-01,11,Personal services,77052
2011-06-01,12,Public administration,7064
2011-07-01,1,"Agriculture, forestry and fishing",32071
2011-07-01,2,Mining,11131
2011-07-01,3,Manufacturing,58801
2011-07-01,4,"Electricity, gas, water and waste management",4783
2011-07-01,5,Construction,64517
2011-07-01,6,"Wholesale and retail trade, accommodation and food services",102554
2011-07-01,7,"Transport, communications and information services",51390
2011-07-01,8,Financial intermediation,22239
2011-07-01,9,Real estate and housing services,5092
2011-07-01,10,Business services,74397
2011-07-01,11,Personal services,77338
2011-07-01,12,Public administration,6964
2011-08-01,1,"Agriculture, forestry and fishing",32029
2011-08-01,2,Mining,11330
2011-08-01,3,Manufacturing,59218
2011-08-01,4,"Electricity, gas, water and waste management",4812
2011-08-01,5,Construction,65824
2011-08-01,6,"Wholesale and retail trade, accommodation and food services",103652
2011-08-01,7,"Transport, communications and information services",51646
2011-08-01,8,Financial intermediation,22871
2011-08-01,9,Real estate and housing services,5096
2011-08-01,10,Business services,75320
2011-08-01,11,Personal services,78420
2011-08-01,12,Public administration,6954
2011-09-01,1,"Agriculture, forestry and fishing",31285
2011-09-01,2,Mining,11520
2011-09-01,3,Manufacturing,59148
2011-09-01,4,"Electricity, gas, water and waste management",4872
2011-09-01,5,Construction,66490
2011-09-01,6,"Wholesale and retail trade, accommodation and food services",104757
2011-09-01,7,"Transport, communications and information services",52077
2011-09-01,8,Financial intermediation,22918
2011-09-01,9,Real estate and housing services,5190
2011-09-01,10,Business services,75875
2011-09-01,11,Personal services,79044
2011-09-01,12,Public administration,7017
2011-10-01,1,"Agriculture, forestry and fishing",33728
2011-10-01,2,Mining,11753
2011-10-01,3,Manufacturing,59835
2011-10-01,4,"Electricity, gas, water and waste management",4950
2011-10-01,5,Construction,67093
2011-10-01,6,"Wholesale and retail trade, accommodation and food services",105372
2011-10-01,7,"Transport, communications and information services",52402
2011-10-01,8,Financial intermediation,22919
2011-10-01,9,Real estate and housing services,4732
2011-10-01,10,Business services,77280
2011-10-01,11,Personal services,79072
2011-10-01,12,Public administration,7165
2011-11-01,1,"Agriculture, forestry and fishing",36578
2011-11-01,2,Mining,11947
2011-11-01,3,Manufacturing,60784
2011-11-01,4,"Electricity, gas, water and waste management",5070
2011-11-01,5,Construction,68978
2011-11-01,6,"Wholesale and retail trade, accommodation and food services",106636
2011-11-01,7,"Transport, communications and information services",52665
2011-11-01,8,Financial intermediation,23167
2011-11-01,9,Real estate and housing services,4815
2011-11-01,10,Business services,78850
2011-11-01,11,Personal services,79685
2011-11-01,12,Public administration,7221
2011-12-01,1,"Agriculture, forestry and fishing",39238
2011-12-01,2,Mining,12179
2011-12-01,3,Manufacturing,60440
2011-12-01,4,"Electricity, gas, water and waste management",5120
2011-12-01,5,Construction,69774
2011-12-01,6,"Wholesale and retail trade, accommodation and food services",107991
2011-12-01,7,"Transport, communications and information services",53375
2011-12-01,8,Financial intermediation,23966
2011-12-01,9,Real estate and housing services,4931
2011-12-01,10,Business services,79841
2011-12-01,11,Personal services,80378
2011-12-01,12,Public administration,7454
2012-01-01,1,"Agriculture, forestry and fishing",37277
2012-01-01,2,Mining,9490
2012-01-01,3,Manufacturing,59151
2012-01-01,4,"Electricity, gas, water and waste management",4700
2012-01-01,5,Construction,66988
2012-01-01,6,"Wholesale and retail trade, accommodation and food services",105131
2012-01-01,7,"Transport, communications and information services",51702
2012-01-01,8,Financial intermediation,21404
2012-01-01,9,Real estate and housing services,4631
2012-01-01,10,Business services,76178
2012-01-01,11,Personal services,76813
2012-01-01,12,Public administration,7175
2012-02-01,1,"Agriculture, forestry and fishing",37101
2012-02-01,2,Mining,10118
2012-02-01,3,Manufacturing,59612
2012-02-01,4,"Electricity, gas, water and waste management",4735
2012-02-01,5,Construction,68067
2012-02-01,6,"Wholesale and retail trade, accommodation and food services",105601
2012-02-01,7,"Transport, communications and information services",52261
2012-02-01,8,Financial intermediation,21067
2012-02-01,9,Real estate and housing services,4574
2012-02-01,10,Business services,76936
2012-02-01,11,Personal services,76882
2012-02-01,12,Public administration,7152
2012-03-01,1,"Agriculture, forestry and fishing",37048
2012-03-01,2,Mining,9885
2012-03-01,3,Manufacturing,60111
2012-03-01,4,"Electricity, gas, water and waste management",4706
2012-03-01,5,Construction,69890
2012-03-01,6,"Wholesale and retail trade, accommodation and food services",107242
2012-03-01,7,"Transport, communications and information services",53002
2012-03-01,8,Financial intermediation,21684
2012-03-01,9,Real estate and housing services,4634
2012-03-01,10,Business services,77134
2012-03-01,11,Personal services,79799
2012-03-01,12,Public administration,7206
2012-04-01,1,"Agriculture, forestry and fishing",34426
2012-04-01,2,Mining,10044
2012-04-01,3,Manufacturing,60581
2012-04-01,4,"Electricity, gas, water and waste management",4802
2012-04-01,5,Construction,70672
2012-04-01,6,"Wholesale and retail trade, accommodation and food services",108703
2012-04-01,7,"Transport, communications and information services",53048
2012-04-01,8,Financial intermediation,21593
2012-04-01,9,Real estate and housing services,4683
2012-04-01,10,Business services,77131
2012-04-01,11,Personal services,81200
2012-04-01,12,Public administration,7579
2012-05-01,1,"Agriculture, forestry and fishing",31702
2012-05-01,2,Mining,10198
2012-05-01,3,Manufacturing,60535
2012-05-01,4,"Electricity, gas, water and waste management",4712
2012-05-01,5,Construction,71519
2012-05-01,6,"Wholesale and retail trade, accommodation and food services",109265
2012-05-01,7,"Transport, communications and information services",53327
2012-05-01,8,Financial intermediation,22052
2012-05-01,9,Real estate and housing services,4629
2012-05-01,10,Business services,77037
2012-05-01,11,Personal services,81967
2012-05-01,12,Public administration,7674
2012-06-01,1,"Agriculture, forestry and fishing",31648
2012-06-01,2,Mining,10791
2012-06-01,3,Manufacturing,60598
2012-06-01,4,"Electricity, gas, water and waste management",4850
2012-06-01,5,Construction,71669
2012-06-01,6,"Wholesale and retail trade, accommodation and food services",109545
2012-06-01,7,"Transport, communications and information services",53610
2012-06-01,8,Financial intermediation,22128
2012-06-01,9,Real estate and housing services,4552
2012-06-01,10,Business services,76988
2012-06-01,11,Personal services,82477
2012-06-01,12,Public administration,7705
2012-07-01,1,"Agriculture, forestry and fishing",29791
2012-07-01,2,Mining,13160
2012-07-01,3,Manufacturing,60303
2012-07-01,4,"Electricity, gas, water and waste management",5222
2012-07-01,5,Construction,70873
2012-07-01,6,"Wholesale and retail trade, accommodation and food services",104929
2012-07-01,7,"Transport, communications and information services",51763
2012-07-01,8,Financial intermediation,24587
2012-07-01,9,Real estate and housing services,4664
2012-07-01,10,Business services,77208
2012-07-01,11,Personal services,79218
2012-07-01,12,Public administration,6826
2012-08-01,1,"Agriculture, forestry and fishing",29744
2012-08-01,2,Mining,13322
2012-08-01,3,Manufacturing,61215
2012-08-01,4,"Electricity, gas, water and waste management",5321
2012-08-01,5,Construction,72508
