Wage_Date,year,month,Count_Workers
2014-09-01,2014,9,577407
2014-10-01,2014,10,584487
2014-11-01,2014,11,590704
2014-12-01,2014,12,592934
2015-01-01,2015,1,587367
2015-02-01,2015,2,590318
2015-03-01,2015,3,595041
2015-04-01,2015,4,596825
2015-05-01,2015,5,596477
2015-06-01,2015,6,597865
2015-07-01,2015,7,568704
2015-08-01,2015,8,571579
2015-09-01,2015,9,570576
2015-10-01,2015,10,574326
2015-11-01,2015,11,580749
2015-12-01,2015,12,585119
2016-01-01,2016,1,608040
2016-02-01,2016,2,610739
2016-03-01,2016,3,615225
2016-04-01,2016,4,616764
2016-05-01,2016,5,614831
2016-06-01,2016,6,615786
2016-07-01,2016,7,585414
2016-08-01,2016,8,588226
2016-09-01,2016,9,586142
2016-10-01,2016,10,591289
2016-11-01,2016,11,597288
2016-12-01,2016,12,599683
2017-01-01,2017,1,620474
2017-02-01,2017,2,623174
2017-03-01,2017,3,626761
2017-04-01,2017,4,628393
2017-05-01,2017,5,627479
2017-06-01,2017,6,629054
2017-07-01,2017,7,629385
2017-08-01,2017,8,632998
2017-09-01,2017,9,633304
2017-10-01,2017,10,639457
2017-11-01,2017,11,645395
2017-12-01,2017,12,652824
2018-01-01,2018,1,649660
2018-02-01,2018,2,650021
2018-03-01,2018,3,655056
2018-04-01,2018,4,657373
2018-05-01,2018,5,656757
2018-06-01,2018,6,658410
2018-07-01,2018,7,662382
2018-08-01,2018,8,632355
2018-09-01,2018,9,635888
2018-10-01,2018,10,643765
2018-11-01,2018,11,650146
2018-12-01,2018,12,683013
2019-01-01,2019,1,675677
2019-02-01,2019,2,675008
2019-03-01,2019,3,708563
2019-04-01,2019,4,710640
2019-05-01,2019,5,707358
2019-06-01,2019,6,685402
2019-07-01,2019,7,713494
2019-08-01,2019,8,716323
2019-09-01,2019,9,713172
2019-10-01,2019,10,716768
2019-11-01,2019,11,719447
2019-12-01,2019,12,727373
2020-01-01,2020,1,682287
2020-02-01,2020,2,682512
2020-03-01,2020,3,679285
2020-04-01,2020,4,629677
2020-05-01,2020,5,638522
2020-06-01,2020,6,637150
2020-07-01,2020,7,639488
2020-08-01,2020,8,639583
2020-09-01,2020,9,644205
2020-10-01,2020,10,668220
2020-11-01,2020,11,694264
2020-12-01,2020,12,706264
2021-01-01,2021,1,700574
2021-02-01,2021,2,702420
2021-03-01,2021,3,708022
2021-04-01,2021,4,711221
2021-05-01,2021,5,706867
2021-06-01,2021,6,708953
2021-07-01,2021,7,715018
2021-08-01,2021,8,722991
2021-09-01,2021,9,732585
2021-10-01,2021,10,735569
2021-11-01,2021,11,743048
2021-12-01,2021,12,754047
2022-01-01,2022,1,747879
2022-02-01,2022,2,747164
2022-03-01,2022,3,755154
2022-04-01,2022,4,757494
2022-05-01,2022,5,745693
2022-06-01,2022,6,747534
2022-07-01,2022,7,747861
2022-08-01,2022,8,753086
2022-09-01,2022,9,752549
2022-10-01,2022,10,752107
2022-11-01,2022,11,755875
2022-12-01,2022,12,732336
2023-01-01,2023,1,722960
2023-02-01,2023,2,721085
2023-03-01,2023,3,722174
2023-04-01,2023,4,722979
2023-05-01,2023,5,683145
2023-06-01,2023,6,685339
2023-07-01,2023,7,682134
2023-08-01,2023,8,683207
2023-09-01,2023,9,707306
2023-10-01,2023,10,711156
2023-11-01,2023,11,714021
2023-12-01,2023,12,713888
2024-01-01,2024,1,709653
2024-02-01,2024,2,706696
2024-03-01,2024,3,707079
2024-04-01,2024,4,706693
2024-05-01,2024,5,703384
2024-06-01,2024,6,699925
2024-07-01,2024,7,694050
2024-08-01,2024,8,691656
2024-09-01,2024,9,688353
2024-10-01,2024,10,691028
2024-11-01,2024,11,692209
2024-12-01,2024,12,718866
2025-01-01,2025,1,704553
2025-02-01,2025,2,696024
2025-03-01,2025,3,685289
