index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",551343.74,2009,6,568209.8057460171,561586.8183333334
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",557740.49,2009,7,559798.4139935662,562979.2270833333
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",560705.98,2009,8,560679.9256112132,563906.8949999999
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",575342.25,2009,9,545213.5244102329,564976.47125
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",554288.95,2009,10,566702.3303553922,566672.0416666667
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",554846.21,2009,11,564801.4947564338,568271.2625000002
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",590300.29,2009,12,551020.4478293505,569834.9766666667
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",573028.08,2010,1,579804.9117095588,571419.4895833335
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",568491.59,2010,2,577718.5483762254,572818.14625
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",581823.88,2010,3,582696.9062668505,574841.6716666666
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",581398.35,2010,4,589568.8590012254,577187.6683333333
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",577859.41,2010,5,580954.0519439338,579521.9099999999
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",573044.74,2010,6,589910.8057460171,583125.365
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",574067.8,2010,7,576125.7239935662,587549.7708333334
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",577946.43,2010,8,577920.3756112133,591814.9983333334
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",606666.41,2010,9,576537.6844102329,596425.4541666666
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",579268.71,2010,10,591682.0903553922,600836.2545833333
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",585888.25,2010,11,595843.5347564338,604976.3508333333
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",645741.17,2010,12,606461.3278293505,609341.92625
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",623772.94,2011,1,630549.7717095588,614349.2041666666
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",620112.19,2011,2,629339.1483762254,619869.4962499999
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",640854.22,2011,3,641727.2462668505,625271.9349999998
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",628227.22,2011,4,636397.7290012254,630374.8854166666
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",630392.85,2011,5,633487.4919439338,635259.69875
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",625285.11,2011,6,642151.1757460171,639220.1887500001
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",642002.1,2011,7,644060.0239935662,640687.9033333333
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",642499.14,2011,8,642473.0856112132,641116.7466666666
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",671772.23,2011,9,641643.5044102329,641658.3120833333
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",636633.7,2011,10,649047.0803553922,641962.5204166666
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",645758.78,2011,11,655714.0647564338,642398.2899999999
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",680922.4,2011,12,641642.5578293505,643004.58
48,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",623816.86,2012,1,630593.6917095588,647249.5120833332
49,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",630360.51,2012,2,639587.4683762254,655189.7424999998
50,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",643603.47,2012,3,644476.4962668505,663692.8275
51,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",632778.97,2012,4,640949.4790012254,671870.1133333332
52,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",636299.57,2012,5,639394.2119439337,678379.365
53,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",633929.35,2012,6,650795.4157460171,683819.5162499999
54,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",735236.23,2012,7,737294.1539935662,691736.9545833333
55,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",739830.54,2012,8,739804.4856112133,702109.7154166666
56,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",778514.87,2012,9,748386.1444102329,712320.75
57,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",726145.92,2012,10,738559.3003553923,723252.6704166668
58,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",712468.6,2012,11,722423.8847564338,734715.3316666668
59,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",744776.21,2012,12,705496.3678293504,745461.1712499999
60,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",749981.57,2013,1,756758.4017095588,752195.8216666665
61,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",753142.06,2013,2,762369.0183762255,755432.1066666666
62,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",765886.75,2013,3,766759.7762668505,757113.9237499998
63,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",772861.78,2013,4,781032.2890012255,757982.06875
64,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",771320.63,2013,5,774415.2719439338,760301.2208333332
65,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",756808.44,2013,6,773674.5057460171,763342.9966666667
66,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",773988.75,2013,7,776046.6739935662,764823.49875
67,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",778748.86,2013,8,778722.8056112132,764869.1920833334
68,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",779960.16,2013,9,749831.4344102329,765012.1612500001
69,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",745536.11,2013,10,757949.4903553922,764445.735
70,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",748738.06,2013,11,758693.3447564339,763168.9370833333
71,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",781509.37,2013,12,742229.5278293504,762192.0729166665
72,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",748780.46,2014,1,755557.2917095588,759215.79375
73,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",755439.81,2014,2,764666.7683762255,753877.2366666667
74,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",767020.26,2014,3,767893.2862668505,749458.1183333333
75,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",758134.04,2014,4,766304.5490012255,746055.6333333333
76,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",755405.22,2014,5,758499.8619439338,742905.5216666667
77,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",749279.11,2014,6,766145.1757460171,740420.7216666668
78,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",710087.38,2014,7,712145.3039935662,738300.8483333335
79,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",714524.86,2014,8,714498.8056112132,736000.7075
80,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",738125.32,2014,9,707996.5944102329,733779.8983333333
81,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",705711.31,2014,10,718124.6903553923,731573.6070833334
82,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",712960.18,2014,11,722915.4647564339,729262.2591666668
83,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",757652.05,2014,12,718372.2078293505,726816.6837500001
84,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",721760.82,2015,1,728537.6517095588,728413.7841666667
85,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",727256.07,2015,2,736483.0283762254,734002.1183333333
86,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",741904.58,2015,3,742777.6062668505,740008.9670833334
87,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",730298.73,2015,4,738469.2390012254,746409.0966666667
88,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",727768.18,2015,5,730862.8219439338,752482.0374999999
89,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",718222.34,2015,6,735088.4057460171,758515.3045833333
90,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",779474.56,2015,7,781532.4839935662,762561.505
91,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",779257.7,2015,8,779231.6456112132,764314.4895833333
92,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",817556.85,2015,9,787428.1244102329,766228.1245833333
93,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",779882.89,2015,10,792296.2703553922,768227.8979166667
94,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",784539.18,2015,11,794494.4647564339,769968.9691666665
95,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",830871.46,2015,12,791591.6178293504,771618.2437499999
96,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",745650.22,2016,1,752427.0517095588,773188.6716666666
97,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",745438.3,2016,2,754665.2583762255,775046.0020833333
98,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",769649.59,2016,3,770522.6162668505,777031.7112499999
99,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",750548.28,2016,4,758718.7890012255,778667.7795833332
100,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",749304.34,2016,5,752398.9819439338,780717.2783333333
101,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",736268.77,2016,6,753134.8357460172,783065.495
102,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",799118.4,2016,7,801176.3239935662,785269.0129166667
103,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",804189.79,2016,8,804163.7356112133,787840.3558333333
104,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",840281.78,2016,9,810153.0544102329,789905.9554166667
105,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",796423.6,2016,10,808836.9803553922,791746.8883333333
106,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",817186.44,2016,11,827141.7247564337,794233.1075
107,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",854581.4,2016,12,815301.5578293505,796811.5304166666
108,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",774824.71,2017,1,781601.5417095588,797084.5904166666
109,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",777976.04,2017,2,787202.9983762255,795202.6487499998
110,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",786686.24,2017,3,787559.2662668505,793435.8525
111,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",777694.02,2017,4,785864.5290012255,792089.2629166667
112,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",781827.86,2017,5,784922.5019439338,790612.7287499999
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",765627.4,2017,6,782493.4657460172,789266.2020833333
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",776313.21,2017,7,778371.1339935662,789928.9024999999
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",781828.38,2017,8,781802.3256112132,791708.7641666665
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",820240.08,2017,9,790111.3544102329,793664.0866666667
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",784147.15,2017,10,796560.5303553923,796148.52875
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",794026.07,2017,11,803981.3547564337,798437.2904166667
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",845425.13,2017,12,806145.2878293504,800600.6866666665
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",799885.79,2018,1,806662.6217095589,802431.9320833333
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",795631.64,2018,2,804858.5983762254,806326.0779166665
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",815958.38,2018,3,816831.4062668505,813203.6929166666
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",808048.49,2018,4,816218.9990012255,819923.1829166666
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",806403.67,2018,5,809498.3119439338,825962.9799999999
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",792973.1,2018,6,809839.1657460171,833626.2262499998
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",792917.4,2018,7,794975.3239935662,842592.0270833333
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",858683.69,2018,8,858657.6356112132,851434.1374999998
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",908447.53,2018,9,878318.8044102329,858966.6291666667
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",857207.46,2018,10,869620.8403553922,865097.8179166665
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",865920.89,2018,11,875876.1747564338,871539.9516666665
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",957448.22,2018,12,918168.3778293504,876236.5254166664
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",903041.92,2019,1,909818.7517095589,880639.4162499999
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",904686.16,2019,2,913913.1183762255,884024.4866666667
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",887683.66,2019,3,888556.6862668506,885394.9454166667
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",883471.74,2019,4,891642.2490012255,886992.6283333332
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",885591.63,2019,5,888686.2719439338,888187.0483333331
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",826502.91,2019,6,843368.9757460172,887817.8208333332
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",865056.97,2019,7,867114.8939935662,888362.4404166666
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",867785.81,2019,8,867759.7556112133,891279.2849999998
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",932236.42,2019,9,902107.694410233,895729.4433333332
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",871762.96,2019,10,884176.3403553922,902783.20625
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",880031.47,2019,11,889986.7547564338,910705.01125
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",934476.18,2019,12,895196.3378293505,920588.3374999999
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",939084.83,2020,1,945861.6617095588,930581.26125
145,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",938647.52,2020,2,947874.4783762255,938577.7195833332
146,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",960526.1,2020,3,961399.1262668505,945617.3650000001
147,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",979919.61,2020,4,988090.1190012255,951024.7095833333
148,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",979267.08,2020,5,982361.7219439337,955614.5366666667
149,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",970027.29,2020,6,986893.3557460172,960632.0933333331
150,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",961362.76,2020,7,963420.6839935662,963060.2462499999
151,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",963395.02,2020,8,963368.9656112132,961886.4037499999
152,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",1005578.7,2020,9,975449.9744102329,960007.2608333332
153,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",928196.95,2020,10,940610.3303553922,957109.3937499999
154,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",933753.33,2020,11,943708.6147564338,953621.5004166666
155,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",1001175.68,2020,12,961895.8378293505,950910.7495833333
156,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",930661.0,2021,1,937437.8317095588,949646.1824999998
157,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",918899.13,2021,2,928126.0883762254,948818.0012499999
158,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",935175.06,2021,3,936048.0862668506,947093.84
159,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",935721.84,2021,4,943892.3490012254,946363.4004166666
160,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",939755.41,2021,5,942850.0519439338,947108.1324999998
161,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",944480.94,2021,6,961347.0057460171,948261.1916666665
162,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",956559.5,2021,7,958617.4239935662,949582.3449999999
163,2021-08-01,2021-08-01,1,"Agriculture, forestry and fishing",948321.93,2021,8,948295.8756112133,951204.3816666666
164,2021-09-01,2021-09-01,1,"Agriculture, forestry and fishing",979271.92,2021,9,949143.194410233,952739.7408333332
165,2021-10-01,2021-10-01,1,"Agriculture, forestry and fishing",936973.18,2021,10,949386.5603553923,953102.4849999999
166,2021-11-01,2021-11-01,1,"Agriculture, forestry and fishing",942850.67,2021,11,952805.9547564338,953985.2420833332
167,2021-12-01,2021-12-01,1,"Agriculture, forestry and fishing",1019751.76,2021,12,980471.9178293505,955276.0079166665
168,2022-01-01,2022-01-01,1,"Agriculture, forestry and fishing",943792.6,2022,1,950569.4317095588,955273.4216666664
169,2022-02-01,2022-02-01,1,"Agriculture, forestry and fishing",944696.41,2022,2,953923.3683762255,954970.1866666664
170,2022-03-01,2022-03-01,1,"Agriculture, forestry and fishing",946226.4,2022,3,947099.4262668506,955347.0874999999
171,2022-04-01,2022-04-01,1,"Agriculture, forestry and fishing",933376.36,2022,4,941546.8690012255,956223.4204166665
172,2022-05-01,2022-05-01,1,"Agriculture, forestry and fishing",963287.06,2022,5,966381.7019439338,957208.6749999998
173,2022-06-01,2022-06-01,1,"Agriculture, forestry and fishing",951927.67,2022,6,968793.7357460172,956360.6616666666
174,2022-07-01,2022-07-01,1,"Agriculture, forestry and fishing",949050.7,2022,7,951108.6239935661,954261.0770833333
175,2022-08-01,2022-08-01,1,"Agriculture, forestry and fishing",948553.09,2022,8,948527.0356112132,952962.1908333333
176,2022-09-01,2022-09-01,1,"Agriculture, forestry and fishing",988086.38,2022,9,957957.6544102329,951710.3833333333
177,2022-10-01,2022-10-01,1,"Agriculture, forestry and fishing",949190.71,2022,10,961604.0903553922,950827.6716666669
178,2022-11-01,2022-11-01,1,"Agriculture, forestry and fishing",954279.25,2022,11,964234.5347564338,952767.0508333334
179,2022-12-01,2022-12-01,1,"Agriculture, forestry and fishing",987970.86,2022,12,948691.0178293504,957115.635
180,2023-01-01,2023-01-01,1,"Agriculture, forestry and fishing",925183.47,2023,1,931960.3017095588,961418.6449999999
181,2023-02-01,2023-02-01,1,"Agriculture, forestry and fishing",932132.27,2023,2,941359.2283762255,965911.2479166667
182,2023-03-01,2023-03-01,1,"Agriculture, forestry and fishing",928747.16,2023,3,929620.1862668506,969253.1266666667
183,2023-04-01,2023-04-01,1,"Agriculture, forestry and fishing",929670.52,2023,4,937841.0290012255,970870.7233333334
184,2023-05-01,2023-05-01,1,"Agriculture, forestry and fishing",1013538.0,2023,5,1016632.6419439338,972111.4075
185,2023-06-01,2023-06-01,1,"Agriculture, forestry and fishing",1006042.75,2023,6,1022908.8157460171,975124.8729166667
186,2023-07-01,2023-07-01,1,"Agriculture, forestry and fishing",998207.86,2023,7,1000265.7839935662,980261.095
187,2023-08-01,2023-08-01,1,"Agriculture, forestry and fishing",1007218.4,2023,8,1007192.3456112132,984717.81875
188,2023-09-01,2023-09-01,1,"Agriculture, forestry and fishing",1009626.16,2023,9,979497.4344102329,989036.0295833333
189,2023-10-01,2023-10-01,1,"Agriculture, forestry and fishing",966473.25,2023,10,978886.6303553922,993948.385
190,2023-11-01,2023-11-01,1,"Agriculture, forestry and fishing",966773.13,2023,11,976728.4147564338,995363.5579166666
191,2023-12-01,2023-12-01,1,"Agriculture, forestry and fishing",1047800.15,2023,12,1008520.3078293505,993840.5962500001
192,2024-01-01,2024-01-01,1,"Agriculture, forestry and fishing",988623.51,2024,1,995400.3417095589,994067.3258333333
193,2024-02-01,2024-02-01,1,"Agriculture, forestry and fishing",975653.6,2024,2,984880.5583762254,995152.2654166667
194,2024-03-01,2024-03-01,1,"Agriculture, forestry and fishing",988862.89,2024,3,989735.9162668505,998041.0583333332
195,2024-04-01,2024-04-01,1,"Agriculture, forestry and fishing",987451.32,2024,4,995621.8290012254,1002544.8745833334
196,2024-05-01,2024-05-01,1,"Agriculture, forestry and fishing",989721.35,2024,5,992815.9919439338,1006930.5595833336
197,2024-06-01,2024-06-01,1,"Agriculture, forestry and fishing",993308.32,2024,6,1010174.3857460171,1014625.8150000001
198,2024-07-01,2024-07-01,1,"Agriculture, forestry and fishing",1016383.8,2024,7,1018441.7239935662,1024108.9837500001
199,2024-08-01,2024-08-01,1,"Agriculture, forestry and fishing",1015081.01,2024,8,1015054.9556112132,1032943.3641666666
200,2024-09-01,2024-09-01,1,"Agriculture, forestry and fishing",1071094.58,2024,9,1040965.854410233,1041923.4070833334
201,2024-10-01,2024-10-01,1,"Agriculture, forestry and fishing",1013096.42,2024,10,1025509.8003553923,
202,2024-11-01,2024-11-01,1,"Agriculture, forestry and fishing",1025406.4,2024,11,1035361.6847564338,
203,2024-12-01,2024-12-01,1,"Agriculture, forestry and fishing",1173853.01,2024,12,1134573.1678293506,
204,2025-01-01,2025-01-01,1,"Agriculture, forestry and fishing",1090166.7,2025,1,1096943.5317095588,
205,2025-02-01,2025-02-01,1,"Agriculture, forestry and fishing",1086135.54,2025,2,1095362.4983762256,
206,2025-03-01,2025-03-01,1,"Agriculture, forestry and fishing",1093901.98,2025,3,1094775.0062668505,
0,2008-01-01,2008-01-01,2,Mining,1399525.78,2008,1,1358996.7202267158,
1,2008-02-01,2008-02-01,2,Mining,1668477.58,2008,2,1708490.2174662992,
2,2008-03-01,2008-03-01,2,Mining,1708638.72,2008,3,1710063.9324923407,
3,2008-04-01,2008-04-01,2,Mining,1701597.09,2008,4,1704681.0474142157,
4,2008-05-01,2008-05-01,2,Mining,1690625.21,2008,5,1700138.5849402572,
5,2008-06-01,2008-06-01,2,Mining,1632979.89,2008,6,1705807.539888174,
6,2008-07-01,2008-07-01,2,Mining,1659539.08,2008,7,1653868.475413603,1554120.1004166668
7,2008-08-01,2008-08-01,2,Mining,1328440.86,2008,8,1346403.2297763482,1543267.6237500003
8,2008-09-01,2008-09-01,2,Mining,1430472.6,2008,9,1365936.8293841912,1518693.6675
9,2008-10-01,2008-10-01,2,Mining,1562039.37,2008,10,1590589.6124402576,1495411.7741666667
10,2008-11-01,2008-11-01,2,Mining,1380573.67,2008,11,1416741.867466299,1475429.63
11,2008-12-01,2008-12-01,2,Mining,1481627.12,2008,12,1382818.9130912991,1456737.9912499997
12,2009-01-01,2009-01-01,2,Mining,1409334.25,2009,1,1368805.1902267158,1440307.2683333333
13,2009-02-01,2009-02-01,2,Mining,1398209.67,2009,2,1438222.307466299,1439497.30875
14,2009-03-01,2009-03-01,2,Mining,1389131.68,2009,3,1390556.8924923406,1450356.4145833333
15,2009-04-01,2009-04-01,2,Mining,1462338.69,2009,4,1465422.6474142156,1449224.3437499998
16,2009-05-01,2009-05-01,2,Mining,1450312.15,2009,5,1459825.5249402572,1445369.3549999997
17,2009-06-01,2009-06-01,2,Mining,1424693.62,2009,6,1497521.2698881743,1449148.6920833334
18,2009-07-01,2009-07-01,2,Mining,1473488.0,2009,7,1467817.395413603,1456419.8220833335
19,2009-08-01,2009-08-01,2,Mining,1495052.91,2009,8,1513015.279776348,1467019.1504166666
20,2009-09-01,2009-09-01,2,Mining,1524479.09,2009,9,1459943.3193841912,1477798.1812500001
21,2009-10-01,2009-10-01,2,Mining,1440863.18,2009,10,1469413.4224402574,1486239.5912499998
22,2009-11-01,2009-11-01,2,Mining,1409230.13,2009,11,1445398.327466299,1494576.7254166666
23,2009-12-01,2009-12-01,2,Mining,1543674.75,2009,12,1444866.543091299,1504480.779583333
24,2010-01-01,2010-01-01,2,Mining,1521793.74,2010,1,1481264.6802267157,1513807.7125
25,2010-02-01,2010-02-01,2,Mining,1540134.06,2010,2,1580146.6974662992,1520324.4962499999
26,2010-03-01,2010-03-01,2,Mining,1505904.03,2010,3,1507329.2424923407,1526064.1104166664
27,2010-04-01,2010-04-01,2,Mining,1548160.18,2010,4,1551244.1374142156,1533283.57375
28,2010-05-01,2010-05-01,2,Mining,1564581.88,2010,5,1574095.2549402572,1542104.2570833333
29,2010-06-01,2010-06-01,2,Mining,1548121.19,2010,6,1620948.839888174,1567519.404583333
30,2010-07-01,2010-07-01,2,Mining,1573906.82,2010,7,1568236.215413603,1609408.1295833332
31,2010-08-01,2010-08-01,2,Mining,1551036.9,2010,8,1568999.269776348,1647293.6808333332
32,2010-09-01,2010-09-01,2,Mining,1606245.84,2010,9,1541710.0693841912,1682500.9412500001
33,2010-10-01,2010-10-01,2,Mining,1532363.55,2010,10,1560913.7924402575,1718320.4316666666
34,2010-11-01,2010-11-01,2,Mining,1529426.16,2010,11,1565594.357466299,1752087.2745833332
35,2010-12-01,2010-12-01,2,Mining,2033442.26,2010,12,1934634.053091299,1783988.5220833332
