index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",336892.04,2010,5,338098.3301879085,337333.25875
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",334085.08,2010,6,346804.4882087419,340218.25833333336
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",336805.58,2010,7,338777.2207271242,343628.37083333335
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",338792.2,2010,8,339487.01692810457,346894.96708333335
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",357023.18,2010,9,333822.50690359477,350478.2566666667
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",341247.2,2010,10,348704.24201082514,354044.03750000003
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",345381.12,2010,11,351719.8400837418,357442.17083333334
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",381116.44,2010,12,352212.3629222835,361007.43333333335
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",369148.83,2011,1,374880.49477124185,364915.64708333334
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",367788.54,2011,2,376266.4947972835,369105.74374999997
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",383038.57,2011,3,384252.7750577002,373314.36916666664
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",376685.04,2011,4,382978.04740145017,377432.0766666666
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",379496.5,2011,5,380702.7901879085,381505.23124999995
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",377046.92,2011,6,389766.32820874185,385205.84958333324
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",387640.87,2011,7,389612.5107271242,387467.84624999994
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",388519.23,2011,8,389214.04692810454,389062.7425
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",408303.16,2011,9,385102.48690359475,390678.675
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",388792.2,2011,10,396249.24201082514,392020.6020833333
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",395591.83,2011,11,401930.55008374184,393334.59625
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",419720.57,2011,12,390816.4929222835,394620.99708333344
48,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",384832.62,2012,1,390564.28477124183,398069.0045833334
49,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",390382.26,2012,2,398860.2147972835,403810.4416666667
50,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",399227.23,2012,3,400441.43505770015,410004.8704166667
51,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",392702.63,2012,4,398995.6374014502,416082.3345833333
52,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",395014.77,2012,5,396221.06018790853,420990.2629166667
53,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",392402.27,2012,6,405121.6782087419,425004.29291666666
54,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",455037.7,2012,7,457009.3407271242,430475.8670833334
55,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",458916.89,2012,8,459611.70692810457,437447.5295833333
56,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",486571.79,2012,9,463371.11690359475,444333.6679166667
57,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",456382.71,2012,10,463839.75201082515,451619.30874999997
58,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",445791.6,2012,11,452130.3200837418,459123.43374999997
59,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",465857.52,2012,12,436953.4429222835,466343.7954166666
60,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",470013.45,2013,1,475745.11477124185,471316.69541666657
61,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",472521.33,2013,2,480999.28479728353,474198.5620833333
62,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",482355.48,2013,3,483569.68505770015,476083.0966666666
63,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",484429.76,2013,4,490722.7674014502,477329.56583333324
64,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",483386.64,2013,5,484592.9301879085,479549.0841666666
65,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",477319.08,2013,6,490038.4882087419,482532.2974999999
66,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",489470.49,2013,7,491442.13072712417,484663.39458333334
67,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",493648.9,2013,8,494343.7169281046,485952.21458333323
68,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",497068.61,2013,9,473867.93690359476,487489.0870833333
69,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",475801.15,2013,10,483258.19201082515,488902.6924999999
70,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",479641.6,2013,11,485980.3200837418,490155.06875
71,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",503604.64,2013,12,474700.5629222835,491542.04916666663
72,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",483412.66,2014,1,489144.3247712418,491484.75499999995
73,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",490053.8,2014,2,498531.7547972835,489897.3300000001
74,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",501707.95,2014,3,502922.1550577002,489003.8620833333
75,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",499003.82,2014,4,505296.8274014502,488980.5604166666
76,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",498869.61,2014,5,500075.9001879085,489191.775
77,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",495123.64,2014,6,507843.0482087419,489624.4362499999
78,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",470290.87,2014,7,472262.5107271242,490082.09666666656
79,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",474730.32,2014,8,475425.13692810456,490338.25208333327
80,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",494543.96,2014,9,471343.2869035948,490602.58666666667
81,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",477766.56,2014,10,485223.6020108251,490829.37625
82,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",482745.34,2014,11,489084.06008374185,490927.66583333333
83,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",510884.77,2014,12,481980.6929222835,490980.4070833334
84,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",487116.38,2015,1,492848.04477124184,493907.7745833334
85,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",492497.81,2015,2,500975.7647972835,499686.3954166667
86,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",505607.97,2015,3,506822.17505770014,505833.2704166668
87,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",500546.75,2015,4,506839.7574014502,512079.7766666667
88,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",499685.63,2015,5,500891.9201879085,517941.6237500001
89,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",495573.41,2015,6,508292.81820874184,523915.74791666673
90,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",540097.92,2015,7,542069.5607271242,528672.9608333334
91,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",543610.17,2015,8,544304.9869281047,531852.1254166667
92,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",573189.11,2015,9,549988.4369035948,535115.5045833334
93,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",549037.56,2015,10,556494.6020108252,538353.98125
94,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",552158.67,2015,11,558497.3900837419,541360.7000000001
95,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",584850.42,2015,12,555946.3429222836,544296.9608333333
96,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",527323.84,2016,1,533055.5047712418,547198.23375
97,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",528590.3,2016,2,537068.2547972836,550203.1420833332
98,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",547836.58,2016,3,549050.7850577001,553138.8775
99,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",536041.58,2016,4,542334.5874014501,555711.3645833333
100,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",536352.05,2016,5,537558.3401879085,558519.0441666667
101,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",529377.25,2016,6,542096.6582087418,561549.7795833333
102,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",575924.63,2016,7,577896.2707271242,564414.1641666666
103,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",579901.26,2016,8,580596.0769281046,567500.0724999999
104,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",607355.67,2016,9,584154.9969035948,570241.2712499999
105,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",576610.69,2016,10,584067.7320108251,572809.25625
106,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",591969.85,2016,11,598308.5700837418,575792.4025
107,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",617776.89,2016,12,588872.8129222835,578624.0316666665
108,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",563142.6,2017,1,568874.2647712418,579602.5658333332
109,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",566833.34,2017,2,575311.2947972835,579073.7666666666
110,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",575382.31,2017,3,576596.5150577002,578590.4283333333
111,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",570127.49,2017,4,576420.4974014502,578419.7041666667
112,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",573861.65,2017,5,575067.9401879085,578254.5308333333
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",559826.75,2017,6,572546.1582087418,578317.2604166667
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",568959.95,2017,7,570931.5907271241,579908.0308333333
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",574174.76,2017,8,574869.5769281046,582213.5770833333
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",601482.05,2017,9,578281.3769035948,584571.1116666667
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",578386.93,2017,10,585843.9720108252,587307.155
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",586229.45,2017,11,592568.1700837418,589957.965
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",625022.8,2017,12,596118.7229222836,592661.2641666668
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",594075.18,2018,1,599806.8447712419,595263.5504166668
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",591233.87,2018,2,599711.8247972835,599464.0254166668
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",607562.61,2018,3,608776.8150577002,606075.6016666667
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",603612.23,2018,4,609905.2374014502,612654.6045833332
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",603996.35,2018,5,605202.6401879084,618630.0358333334
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",594571.23,2018,6,607290.6382087418,625800.9229166667
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",596670.34,2018,7,598641.9807271241,633819.0116666667
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",647275.77,2018,8,647970.5869281046,641623.1454166666
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",687058.87,2018,9,663858.1969035948,648527.4812500001
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",650706.18,2018,10,658163.2220108252,654450.8474999999
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",657320.55,2018,11,663659.2700837419,660699.8279166665
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",726032.99,2018,12,697128.9129222835,665681.5858333333
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",685499.12,2019,1,691230.7847712418,670385.7229166667
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",687109.14,2019,2,695587.0947972835,674330.5916666667
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",677391.4,2019,3,678605.6050577002,676727.9158333334
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",675944.23,2019,4,682237.2374014502,679342.9066666667
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",681639.88,2019,5,682846.1701879085,681771.5829166665
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",636489.89,2019,6,649209.2982087418,683153.2875
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",667650.97,2019,7,669622.6107271241,685484.3254166667
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",670971.99,2019,8,671666.8069281046,689885.8154166667
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",720898.43,2019,9,697697.7569035948,695571.0158333334
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",679626.4,2019,10,687083.4420108252,703172.1495833334
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",686688.56,2019,11,693027.2800837419,711185.8416666666
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",729825.89,2019,12,700921.8129222835,720476.8891666667
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",737651.13,2020,1,743382.7947712418,729768.7970833334
145,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",740592.89,2020,2,749070.8447972835,737481.8245833333
146,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",760352.46,2020,3,761566.6650577001,744689.2604166666
147,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",775410.38,2020,4,781703.3874014502,750780.3520833333
148,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",774502.34,2020,5,775708.6301879084,756082.2437499999
149,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",766612.57,2020,6,779331.9782087418,761800.0695833333
150,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",760534.08,2020,7,762505.7207271241,765613.025
151,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",763201.54,2020,8,763896.3569281047,766491.9033333334
152,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",801647.34,2020,9,778446.6669035947,766756.4654166668
153,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",745063.69,2020,10,752520.7320108251,766376.8758333334
154,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",748496.67,2020,11,754835.3900837419,765766.7670833332
155,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",805245.6,2020,12,776341.5229222835,765935.7154166667
156,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",753742.35,2021,1,759474.0147712418,767551.5579166667
157,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",745594.75,2021,2,754072.7047972835,769820.1533333332
158,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",761700.09,2021,3,762914.2950577001,771680.6066666665
159,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",764952.6,2021,4,771245.6074014502,774724.1775
160,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",770317.51,2021,5,771523.8001879085,779316.84375
161,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",774852.16,2021,6,787571.5682087418,784804.5075000001
162,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",791074.71,2021,7,793046.3507271241,790775.6891666665
163,2021-08-01,2021-08-01,1,"Agriculture, forestry and fishing",787107.2,2021,8,787802.0169281046,797040.4229166666
164,2021-09-01,2021-09-01,1,"Agriculture, forestry and fishing",822392.56,2021,9,799191.8869035948,803803.2529166667
165,2021-10-01,2021-10-01,1,"Agriculture, forestry and fishing",797364.17,2021,10,804821.2120108252,810463.0525
166,2021-11-01,2021-11-01,1,"Agriculture, forestry and fishing",806420.18,2021,11,812758.9000837419,818328.41875
167,2021-12-01,2021-12-01,1,"Agriculture, forestry and fishing",879026.02,2021,12,850121.9429222835,827249.1579166666
168,2022-01-01,2022-01-01,1,"Agriculture, forestry and fishing",823270.29,2022,1,829001.9547712419,835604.9499999998
169,2022-02-01,2022-02-01,1,"Agriculture, forestry and fishing",826420.42,2022,2,834898.3747972836,844268.9016666665
170,2022-03-01,2022-03-01,1,"Agriculture, forestry and fishing",843182.34,2022,3,844396.5450577001,853952.5041666667
171,2022-04-01,2022-04-01,1,"Agriculture, forestry and fishing",843305.54,2022,4,849598.5474014502,863751.9895833333
172,2022-05-01,2022-05-01,1,"Agriculture, forestry and fishing",880733.36,2022,5,881939.6501879084,873440.1995833333
173,2022-06-01,2022-06-01,1,"Agriculture, forestry and fishing",878534.05,2022,6,891253.4582087419,881775.1408333333
174,2022-07-01,2022-07-01,1,"Agriculture, forestry and fishing",887931.83,2022,7,889903.4707271241,888641.3895833332
175,2022-08-01,2022-08-01,1,"Agriculture, forestry and fishing",898184.92,2022,8,898879.7369281047,895717.4820833333
176,2022-09-01,2022-09-01,1,"Agriculture, forestry and fishing",943721.3,2022,9,920520.6269035948,902496.40125
177,2022-10-01,2022-10-01,1,"Agriculture, forestry and fishing",911223.08,2022,10,918680.1220108251,909002.0108333332
178,2022-11-01,2022-11-01,1,"Agriculture, forestry and fishing",925078.31,2022,11,931417.0300837419,917613.7625000001
179,2022-12-01,2022-12-01,1,"Agriculture, forestry and fishing",960406.48,2022,12,931502.4029222835,927900.7933333332
180,2023-01-01,2023-01-01,1,"Agriculture, forestry and fishing",906679.8,2023,1,912411.4647712419,937336.085
181,2023-02-01,2023-02-01,1,"Agriculture, forestry and fishing",912837.13,2023,2,921315.0847972835,946194.2637499999
182,2023-03-01,2023-03-01,1,"Agriculture, forestry and fishing",919459.69,2023,3,920673.8950577001,953529.9166666665
183,2023-04-01,2023-04-01,1,"Agriculture, forestry and fishing",923162.82,2023,4,929455.8274014501,959080.3729166666
184,2023-05-01,2023-05-01,1,"Agriculture, forestry and fishing",1007558.12,2023,5,1008764.4101879084,964098.5004166665
185,2023-06-01,2023-06-01,1,"Agriculture, forestry and fishing",998598.03,2023,6,1011317.4382087418,970571.7212499998
186,2023-07-01,2023-07-01,1,"Agriculture, forestry and fishing",994314.85,2023,7,996286.4907271242,978790.0058333331
187,2023-08-01,2023-08-01,1,"Agriculture, forestry and fishing",1004398.19,2023,8,1005093.0069281046,986473.3258333332
188,2023-09-01,2023-09-01,1,"Agriculture, forestry and fishing",1013563.7,2023,9,990363.0269035947,994038.0816666663
189,2023-10-01,2023-10-01,1,"Agriculture, forestry and fishing",974591.63,2023,10,982048.6720108251,1002054.0991666665
190,2023-11-01,2023-11-01,1,"Agriculture, forestry and fishing",982144.82,2023,11,988483.5400837418,1006774.2387499998
191,2023-12-01,2023-12-01,1,"Agriculture, forestry and fishing",1058697.27,2023,12,1029793.1929222835,1008677.6912499998
192,2024-01-01,2024-01-01,1,"Agriculture, forestry and fishing",1005627.84,2024,1,1011359.5047712418,1012566.7270833333
193,2024-02-01,2024-02-01,1,"Agriculture, forestry and fishing",998288.77,2024,2,1006766.7247972835,1017587.9500000002
194,2024-03-01,2024-03-01,1,"Agriculture, forestry and fishing",1015562.19,2024,3,1016776.3950577001,1024338.4704166667
195,2024-04-01,2024-04-01,1,"Agriculture, forestry and fishing",1019444.74,2024,4,1025737.7474014502,1032713.1170833334
196,2024-05-01,2024-05-01,1,"Agriculture, forestry and fishing",1024559.55,2024,5,1025765.8401879085,1040957.93875
197,2024-06-01,2024-06-01,1,"Agriculture, forestry and fishing",1027279.46,2024,6,1039998.8682087418,1052798.3158333334
198,2024-07-01,2024-07-01,1,"Agriculture, forestry and fishing",1058970.28,2024,7,1060941.9207271242,1066929.2483333333
199,2024-08-01,2024-08-01,1,"Agriculture, forestry and fishing",1060252.11,2024,8,1060946.9269281046,1080413.8391666666
200,2024-09-01,2024-09-01,1,"Agriculture, forestry and fishing",1119722.27,2024,9,1096521.596903595,1094088.1858333333
201,2024-10-01,2024-10-01,1,"Agriculture, forestry and fishing",1069424.58,2024,10,1076881.6220108252,
202,2024-11-01,2024-11-01,1,"Agriculture, forestry and fishing",1085187.59,2024,11,1091526.3100837418,
203,2024-12-01,2024-12-01,1,"Agriculture, forestry and fishing",1239823.55,2024,12,1210919.4729222835,
204,2025-01-01,2025-01-01,1,"Agriculture, forestry and fishing",1163643.94,2025,1,1169375.6047712418,
205,2025-02-01,2025-02-01,1,"Agriculture, forestry and fishing",1163902.85,2025,2,1172380.8047972836,
206,2025-03-01,2025-03-01,1,"Agriculture, forestry and fishing",1178132.43,2025,3,1179346.6350577,
0,2008-01-01,2008-01-01,2,Mining,759210.37,2008,1,730779.4689575674,
1,2008-02-01,2008-02-01,2,Mining,908677.05,2008,2,942879.1438273592,
2,2008-03-01,2008-03-01,2,Mining,938232.02,2008,3,937090.1984106924,
3,2008-04-01,2008-04-01,2,Mining,937724.84,2008,4,939611.0466659006,
4,2008-05-01,2008-05-01,2,Mining,942442.79,2008,5,949394.253046109,
5,2008-06-01,2008-06-01,2,Mining,923834.62,2008,6,981556.972889859,
6,2008-07-01,2008-07-01,2,Mining,949495.25,2008,7,952130.0395013788,881742.4266666666
7,2008-08-01,2008-08-01,2,Mining,767145.6,2008,8,785456.531462163,879586.0491666666
8,2008-09-01,2008-09-01,2,Mining,834844.68,2008,9,783530.0984964768,869493.7974999999
9,2008-10-01,2008-10-01,2,Mining,919686.39,2008,10,933609.0840096507,859809.03125
10,2008-11-01,2008-11-01,2,Mining,811848.3,2008,11,828345.2335409009,851277.9033333333
11,2008-12-01,2008-12-01,2,Mining,861000.5,2008,12,789760.3391919425,842454.8374999999
12,2009-01-01,2009-01-01,2,Mining,812743.79,2009,1,784312.8889575674,833859.0625
13,2009-02-01,2009-02-01,2,Mining,803390.57,2009,2,837592.6638273591,833195.1620833332
14,2009-03-01,2009-03-01,2,Mining,801304.46,2009,3,800162.6384106923,838753.3195833333
15,2009-04-01,2009-04-01,2,Mining,842218.01,2009,4,844104.2166659007,837000.745
16,2009-05-01,2009-05-01,2,Mining,833202.55,2009,5,840154.013046109,833277.8141666667
17,2009-06-01,2009-06-01,2,Mining,821321.28,2009,6,879043.632889859,834191.7758333333
18,2009-07-01,2009-07-01,2,Mining,845709.99,2009,7,848344.7795013788,837843.4874999999
19,2009-08-01,2009-08-01,2,Mining,854997.25,2009,8,873308.181462163,844106.2562500001
20,2009-09-01,2009-09-01,2,Mining,880388.81,2009,9,829074.2284964768,850596.01125
21,2009-10-01,2009-10-01,2,Mining,832080.47,2009,10,846003.1640096507,855867.5733333332
22,2009-11-01,2009-11-01,2,Mining,810103.88,2009,11,826600.8135409008,861536.6116666666
23,2009-12-01,2009-12-01,2,Mining,884680.0,2009,12,813439.8391919425,868210.8637499999
24,2010-01-01,2010-01-01,2,Mining,876705.37,2010,1,848274.4689575674,874833.1349999999
25,2010-02-01,2010-02-01,2,Mining,889735.44,2010,2,923937.5338273591,880329.8733333333
26,2010-03-01,2010-03-01,2,Mining,870713.71,2010,3,869571.8884106923,885292.68375
27,2010-04-01,2010-04-01,2,Mining,899326.25,2010,4,901212.4566659007,890939.4241666666
28,2010-05-01,2010-05-01,2,Mining,912151.23,2010,5,919102.6930461089,897694.7466666666
29,2010-06-01,2010-06-01,2,Mining,902554.65,2010,6,960277.002889859,914651.0158333331
30,2010-07-01,2010-07-01,2,Mining,923411.13,2010,7,926045.9195013788,941503.4870833334
31,2010-08-01,2010-08-01,2,Mining,909217.83,2010,8,927528.761462163,965929.2412500001
32,2010-09-01,2010-09-01,2,Mining,945275.68,2010,9,893961.0984964768,989108.9633333335
33,2010-10-01,2010-10-01,2,Mining,902715.37,2010,10,916638.0640096507,1012980.425
34,2010-11-01,2010-11-01,2,Mining,901596.72,2010,11,918093.6535409008,1035712.12875
35,2010-12-01,2010-12-01,2,Mining,1200137.62,2010,12,1128897.4591919426,1057460.5591666666
36,2011-01-01,2011-01-01,2,Mining,1205707.06,2011,1,1177276.1589575675,1078191.2362499998
