date,Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend
2017-05-01,2017-05-01,1028872.76,2017,5,1042031.9316126686,1046736.4804166666
2017-06-01,2017-06-01,1030395.19,2017,6,1053382.0564303768,1045871.8445833332
2017-07-01,2017-07-01,1037673.71,2017,7,1033294.5050716145,1046209.1204166665
2017-08-01,2017-08-01,1036887.27,2017,8,1039980.270267693,1048191.0683333332
2017-09-01,2017-09-01,1086173.63,2017,9,1053862.7838706342,1050357.6591666667
2017-10-01,2017-10-01,1036455.64,2017,10,1051854.9436699601,1052354.1916666667
2017-11-01,2017-11-01,1043947.95,2017,11,1063802.4391907935,1054121.1220833333
2017-12-01,2017-12-01,1103128.16,2017,12,1048663.6964564184,1055738.3079166666
2018-01-01,2018-01-01,1064686.17,2018,1,1056858.4378366268,1057075.7766666666
2018-02-01,2018-02-01,1054283.71,2018,2,1062521.3506230852,1059815.8254166667
2018-03-01,2018-03-01,1060042.97,2018,3,1066623.6254668352,1064184.4741666664
2018-04-01,2018-04-01,1055922.68,2018,4,1065593.7995032934,1068836.3445833332
2018-05-01,2018-05-01,1050840.01,2018,5,1063999.1816126686,1073836.79375
2018-06-01,2018-06-01,1047240.4,2018,6,1070227.2664303768,1084205.5125
2018-07-01,2018-07-01,1052927.75,2018,7,1048548.5450716146,1099088.1870833335
2018-08-01,2018-08-01,1087394.4,2018,8,1090487.400267693,1112897.1666666667
2018-09-01,2018-09-01,1140514.07,2018,9,1108203.2238706343,1125342.6191666666
2018-10-01,2018-10-01,1093760.09,2018,10,1109159.3936699603,1136905.142083333
2018-11-01,2018-11-01,1106654.28,2018,11,1126508.7691907936,1148257.1491666667
2018-12-01,2018-12-01,1289271.08,2018,12,1234806.6164564185,1155181.5583333333
2019-01-01,2019-01-01,1235727.44,2019,1,1227899.7078366268,1162159.7325
2019-02-01,2019-02-01,1214657.95,2019,2,1222895.5906230852,1171779.4512500002
2019-03-01,2019-03-01,1198359.59,2019,3,1204940.2454668353,1180340.0525
2019-04-01,2019-04-01,1195106.61,2019,4,1204777.7295032935,1188648.3074999999
2019-05-01,2019-05-01,1184104.25,2019,5,1197263.4216126685,1196219.1770833333
2019-06-01,2019-06-01,1080161.98,2019,6,1103148.8464303769,1199414.1458333333
2019-07-01,2019-07-01,1187482.35,2019,7,1183103.1450716145,1199961.1895833334
2019-08-01,2019-08-01,1183713.05,2019,8,1186806.0502676931,1202143.9470833333
2019-09-01,2019-09-01,1249649.85,2019,9,1217339.0038706344,1205699.305
2019-10-01,2019-10-01,1184022.43,2019,10,1199421.7336699602,1210956.3900000001
2019-11-01,2019-11-01,1198092.81,2019,11,1217947.2991907937,1216222.8320833335
2019-12-01,2019-12-01,1274511.8,2019,12,1220047.3364564185,1225691.0691666664
2020-01-01,2020-01-01,1263615.77,2020,1,1255788.0378366269,1235222.4633333334
2020-02-01,2020-02-01,1239155.8,2020,2,1247393.4406230852,1240536.829583333
2020-03-01,2020-03-01,1259190.33,2020,3,1265770.9854668353,1245261.3625
2020-04-01,2020-04-01,1260445.91,2020,4,1270117.0295032933,1248838.7866666664
2020-05-01,2020-05-01,1245159.56,2020,5,1258318.7316126686,1251572.6983333332
2020-06-01,2020-06-01,1246344.36,2020,6,1269331.226430377,1253696.99125
2020-07-01,2020-07-01,1250053.43,2020,7,1245674.2250716144,1253703.85875
2020-08-01,2020-08-01,1248686.76,2020,8,1251779.760267693,1252016.5733333332
2020-09-01,2020-09-01,1298064.93,2020,9,1265754.0838706342,1250811.6133333335
2020-10-01,2020-10-01,1221465.53,2020,10,1236864.8336699603,1249097.1433333333
2020-11-01,2020-11-01,1226263.59,2020,11,1246118.0791907937,1247077.8804166669
2020-12-01,2020-12-01,1297324.05,2020,12,1242859.5864564185,1245826.0929166668
2021-01-01,2021-01-01,1240968.34,2021,1,1233140.607836627,1245126.3595833334
2021-02-01,2021-02-01,1221308.38,2021,2,1229546.020623085,1244169.99375
2021-03-01,2021-03-01,1248118.71,2021,3,1254699.3654668352,1242378.4629166666
2021-04-01,2021-04-01,1230370.25,2021,4,1240041.3695032934,1240997.55625
2021-05-01,2021-05-01,1226772.91,2021,5,1239932.0816126685,1240525.5629166667
2021-06-01,2021-06-01,1234688.11,2021,6,1257674.976430377,1240968.3991666664
2021-07-01,2021-07-01,1244916.08,2021,7,1240536.8750716145,1241778.42
2021-08-01,2021-08-01,1230871.33,2021,8,1233964.3302676931,1242300.1008333333
2021-09-01,2021-09-01,1272883.62,2021,9,1240572.7738706344,1242004.9658333333
2021-10-01,2021-10-01,1213505.08,2021,10,1228904.3836699603,1240756.4633333334
2021-11-01,2021-11-01,1222896.2,2021,11,1242750.6891907935,1240345.1020833333
2021-12-01,2021-12-01,1311319.51,2021,12,1256855.0464564185,1240227.1233333333
2022-01-01,2022-01-01,1246413.38,2022,1,1238585.6478366267,1239217.6983333335
2022-02-01,2022-02-01,1228383.68,2022,2,1236621.3206230851,1238328.2216666667
2022-03-01,2022-03-01,1233960.17,2022,3,1240540.8254668352,1238255.0041666667
2022-04-01,2022-04-01,1214564.73,2022,4,1224235.8495032934,1238858.4004166666
2022-05-01,2022-05-01,1232705.76,2022,5,1245864.9316126686,1239446.4279166665
2022-06-01,2022-06-01,1225923.77,2022,6,1248910.636430377,1234952.8845833333
2022-07-01,2022-07-01,1229454.22,2022,7,1225075.0150716144,1226416.4387499997
2022-08-01,2022-08-01,1224985.75,2022,8,1228078.750267693,1218967.0854166667
2022-09-01,2022-09-01,1277011.98,2022,9,1244701.1338706343,1211587.7874999999
2022-10-01,2022-10-01,1223858.23,2022,10,1239257.5336699602,1204919.4545833333
2022-11-01,2022-11-01,1226655.71,2022,11,1246510.1991907936,1200683.2337500001
2022-12-01,2022-12-01,1199714.96,2022,12,1145250.4964564184,1198351.7816666667
2023-01-01,2023-01-01,1153143.23,2023,1,1145315.4978366268,1196272.0470833334
2023-02-01,2023-02-01,1142869.35,2023,2,1151106.9906230853,1194196.1987500002
2023-03-01,2023-03-01,1142371.35,2023,3,1148952.0054668353,1191044.6383333337
2023-04-01,2023-04-01,1146113.56,2023,4,1155784.6795032935,1186936.9891666668
2023-05-01,2023-05-01,1199487.63,2023,5,1212646.8016126684,1182874.0954166667
2023-06-01,2023-06-01,1203187.05,2023,6,1226173.916430377,1183052.4758333336
2023-07-01,2023-07-01,1202277.31,2023,7,1197898.1050716145,1187710.6954166666
2023-08-01,2023-08-01,1202342.3,2023,8,1205435.3002676931,1192018.34875
2023-09-01,2023-09-01,1224017.98,2023,9,1191707.1338706343,1196304.7454166666
2023-10-01,2023-10-01,1178268.65,2023,10,1193667.9536699601,1200607.6937499996
2023-11-01,2023-11-01,1174735.84,2023,11,1194590.3291907937,1202500.9341666666
2023-12-01,2023-12-01,1255915.96,2023,12,1201451.4964564184,1202225.407083333
2024-01-01,2024-01-01,1208739.5,2024,1,1200911.7678366269,1203458.5325
2024-02-01,2024-02-01,1190656.76,2024,2,1198894.4006230852,1206020.33375
2024-03-01,2024-03-01,1197457.46,2024,3,1204038.1154668352,1209675.1583333332
2024-04-01,2024-04-01,1194298.21,2024,4,1203969.3295032934,1214272.2808333333
2024-05-01,2024-05-01,1196740.75,2024,5,1209899.9216126685,1219110.6262500002
2024-06-01,2024-06-01,1199321.28,2024,6,1222308.146430377,1229537.7437500001
2024-07-01,2024-07-01,1235738.09,2024,7,1231358.8850716145,1244818.67625
2024-08-01,2024-08-01,1230364.75,2024,8,1233457.750267693,1259842.6445833333
2024-09-01,2024-09-01,1283711.32,2024,9,1251400.4738706343,1275064.6483333334
2024-10-01,2024-10-01,1228906.25,2024,10,1244305.5536699602,
2024-11-01,2024-11-01,1240218.53,2024,11,1260073.0191907936,
2024-12-01,2024-12-01,1440684.09,2024,12,1386219.6264564185,
2025-01-01,2025-01-01,1390713.75,2025,1,1382886.0178366269,
2025-02-01,2025-02-01,1369257.75,2025,2,1377495.3906230852,
2025-03-01,2025-03-01,1384184.56,2025,3,1390765.2154668353,
