index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend,Nominal_Wage_Growth_SA,Nominal_Wage_Growth_SA_Annual,Nominal_Wage_Growth_SA_Annual_cycle
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",388792.2,2011,10,396249.24201082514,392020.6020833333,2.8944905541523624,13.634763869182876,5.050786812964002
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",395591.83,2011,11,401930.55008374184,393334.59625,1.4337713415137454,14.275768460501181,5.586954930080241
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",419720.57,2011,12,390816.4929222835,394620.99708333344,-2.765168549427943,10.960469893703895,2.175890541913052
48,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",384832.62,2012,1,390564.28477124183,398069.0045833334,-0.06453365085894447,4.1836772568203395,-4.687676595766425
49,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",390382.26,2012,2,398860.2147972835,403810.4416666667,2.1240882357947077,6.004712168744275,-2.944520985601491
50,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",399227.23,2012,3,400441.43505770015,410004.8704166667,0.3964346910910299,4.213023574798913,-4.805253633461887
51,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",392702.63,2012,4,398995.6374014502,416082.3345833333,-0.3610509626811309,4.1823781046149255,-4.896145140840562
52,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",395014.77,2012,5,396221.06018790853,420990.2629166667,-0.6953903635668168,4.076216513238706,-5.053754906240417
53,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",392402.27,2012,6,405121.6782087419,425004.29291666666,2.246376812129114,3.9396296931469177,-5.23295441183639
54,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",455037.7,2012,7,457009.3407271242,430475.8670833334,12.807920511142523,17.29842552391836,8.092140842321138
55,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",458916.89,2012,8,459611.70692810457,437447.5295833333,0.569433919411777,18.087132403267002,8.856176252051604
56,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",486571.79,2012,9,463371.11690359475,444333.6679166667,0.8179534852619019,20.324104014314905,11.077560059224192
57,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",456382.71,2012,10,463839.75201082515,451619.30874999997,0.10113602038079872,17.057574585380152,7.804512716210805
58,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",445791.6,2012,11,452130.3200837418,459123.43374999997,-2.524456318442081,12.489662701563953,3.2390535571660095
59,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",465857.52,2012,12,436953.4429222835,466343.7954166666,-3.3567483726035685,11.805271997355193,2.5659267456265322
60,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",470013.45,2013,1,475745.11477124185,471316.69541666657,8.87775859815294,21.809682380428463,12.59022772561759
61,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",472521.33,2013,2,480999.28479728353,474198.5620833333,1.1044086135425957,20.59344776759606,11.402306151484634
62,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",482355.48,2013,3,483569.68505770015,476083.0966666666,0.5343875431124356,20.759152955293423,11.604445410377375
63,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",484429.76,2013,4,490722.7674014502,477329.56583333324,1.4792247249528323,22.98950700248097,13.878965171213169
64,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",483386.64,2013,5,484592.9301879085,479549.0841666666,-1.2491446537117756,22.3036781432288,13.244554737545204
65,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",477319.08,2013,6,490038.4882087419,482532.2974999999,1.1237386436326657,20.96081611220173,11.959777822740739
66,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",489470.49,2013,7,491442.13072712417,484663.39458333334,0.2864351580858626,7.534373355523916,-1.4026013440120328
67,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",493648.9,2013,8,494343.7169281046,485952.21458333323,0.5904227618188429,7.556815780898507,-1.3108973541822024
68,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",497068.61,2013,9,473867.93690359476,487489.0870833333,-4.142012798655181,2.2653159890809293,-6.5287072836453595
69,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",475801.15,2013,10,483258.19201082515,488902.6924999999,1.9816185852516988,4.186454463167011,-4.530210210987966
70,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",479641.6,2013,11,485980.3200837418,490155.06875,0.5632864828612583,7.4867794740530735,-1.14956705116819
71,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",503604.64,2013,12,474700.5629222835,491542.04916666663,-2.321031674598395,8.638705246845646,0.08496219039171038
72,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",483412.66,2014,1,489144.3247712418,491484.75499999995,3.0427100739130575,2.8164682272024733,-5.6530514010631725
73,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",490053.8,2014,2,498531.7547972835,489897.3300000001,1.9191534176404623,3.6450095777978087,-4.7393326788436925
74,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",501707.95,2014,3,502922.1550577002,489003.8620833333,0.8806661196942178,4.0020023169340835,-4.296831021408755
75,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",499003.82,2014,4,505296.8274014502,488980.5604166666,0.4721749320185653,2.9699172258044637,-5.2436614754015345
76,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",498869.61,2014,5,500075.9001879085,489191.775,-1.0332396584381787,3.1950466124209154,-4.934084406086056
77,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",495123.64,2014,6,507843.0482087419,489624.4362499999,1.553193828759758,3.63329828746346,-4.4127042157073975
78,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",470290.87,2014,7,472262.5107271242,490082.09666666656,-7.006207450730495,-3.902721968835343,-11.867389265319165
79,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",474730.32,2014,8,475425.13692810456,490338.25208333327,0.6696754726753573,-3.8270092957915502,-11.712574786879937
80,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",494543.96,2014,9,471343.2869035948,490602.58666666667,-0.8585684069807642,-0.5327750209260462,-8.34182063119151
81,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",477766.56,2014,10,485223.6020108251,490829.37625,2.9448420064311476,0.4066997792260718,-7.328666023264435
82,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",482745.34,2014,11,489084.06008374185,490927.66583333333,0.7956039353647526,0.6386554911246733,-7.026064359214368
83,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",510884.77,2014,12,481980.6929222835,490980.4070833334,-1.4523816540334855,1.5336257355970107,-6.063619252440636
84,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",487116.38,2015,1,492848.04477124184,493907.7745833334,2.2547276288327645,0.7571834758038243,-6.77584076054951
85,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",492497.81,2015,2,500975.7647972835,499686.3954166667,1.6491330567851126,0.49024158972457155,-6.981852239142954
86,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",505607.97,2015,3,506822.17505770014,505833.2704166668,1.167004608053701,0.7754719017205591,-6.638965814719164
87,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",500546.75,2015,4,506839.7574014502,512079.7766666667,0.0034691346620929764,0.3053512146384829,-7.054634762974284
88,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",499685.63,2015,5,500891.9201879085,517941.6237500001,-1.1735143359779099,0.16317922933166695,-7.145438235009756
89,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",495573.41,2015,6,508292.81820874184,523915.74791666673,1.4775439016977643,0.08856476456384765,-7.171591830106402
90,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",540097.92,2015,7,542069.5607271242,528672.9608333334,6.645134715342604,14.781408308807077,7.567035656717557
91,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",543610.17,2015,8,544304.9869281047,531852.1254166667,0.41238733235304803,14.488053880587382,7.317074296854586
92,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",573189.11,2015,9,549988.4369035948,535115.5045833334,1.0441664346244162,16.68532302998207,9.55557330562762
93,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",549037.56,2015,10,556494.6020108252,538353.98125,1.182963980817453,14.688279734259503,7.597767866644041
94,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",552158.67,2015,11,558497.3900837419,541360.7000000001,0.3598935309848228,14.192515288295215,7.139346749842893
95,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",584850.42,2015,12,555946.3429222836,544296.9608333333,-0.4567697551954186,15.346185248944533,8.328504362390957
96,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",527323.84,2016,1,533055.5047712418,547198.23375,-4.117454578569236,8.158185961488895,1.1741208123290487
97,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",528590.3,2016,2,537068.2547972836,550203.1420833332,0.75278277592572,7.204438325395768,0.25203649873306233
98,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",547836.58,2016,3,549050.7850577001,553138.8775,2.231100079623838,8.33203677309351,1.4092562940656181
99,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",536041.58,2016,4,542334.5874014501,555711.3645833333,-1.2232379661462733,7.00316608586129,0.1078734749140775
100,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",536352.05,2016,5,537558.3401879085,558519.0441666667,-0.8806827601438139,7.320225885505338,0.4501852845017007
101,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",529377.25,2016,6,542096.6582087418,561549.7795833333,0.8442466020054384,6.650465792360971,-0.19666186777622485
102,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",575924.63,2016,7,577896.2707271242,564414.1641666666,6.603916843294244,6.60924585987499,-0.2174146130648129
103,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",579901.26,2016,8,580596.0769281046,567500.0724999999,0.46717833939011744,6.667418243734291,-0.1413259628163992
104,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",607355.67,2016,9,584154.9969035948,570241.2712499999,0.612976924391262,6.212232422986186,-0.5812499275410135
105,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",576610.69,2016,10,584067.7320108251,572809.25625,-0.014938653821727765,4.954788402325505,-1.8261889016230626
106,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",591969.85,2016,11,598308.5700837418,575792.4025,2.4382168869162557,7.128266077309786,0.35693909636890186
107,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",617776.89,2016,12,588872.8129222835,578624.0316666665,-1.5770720382857983,5.922598541960866,-0.8420166627056265
108,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",563142.6,2017,1,568874.2647712418,579602.5658333332,-3.3960725834495276,6.719517888736837,-0.04141066371059665
109,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",566833.34,2017,2,575311.2947972835,579073.7666666666,1.1315382721048595,7.120703869275369,0.36035676471177425
110,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",575382.31,2017,3,576596.5150577002,578590.4283333333,0.223395624601741,5.016973065088193,-1.745977556679943
111,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",570127.49,2017,4,576420.4974014502,578419.7041666667,-0.030527006607461438,6.285033407756591,-0.4837882375882172
112,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",573861.65,2017,5,575067.9401879085,578254.5308333333,-0.23464766080303345,6.977772865897336,0.19974362136902535
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",559826.75,2017,6,572546.1582087418,578317.2604166667,-0.43851896496658327,5.616987217854241,-1.1736515377651688
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",568959.95,2017,7,570931.5907271241,579908.0308333333,-0.28199778454002233,-1.205178221904235,-8.011895278054753
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",574174.76,2017,8,574869.5769281046,582213.5770833333,0.6897474697389105,-0.9863139327944692,-7.8126359004952945
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",601482.05,2017,9,578281.3769035948,584571.1116666667,0.593491134758195,-1.0054899865847289,-7.854939478254634
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",578386.93,2017,10,585843.9720108252,587307.155,1.3077708204480398,0.3041154137868318,-6.571919932986082
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",586229.45,2017,11,592568.1700837418,589957.965,1.1477796809680862,-0.9594380369976285,-7.865392679621714
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",625022.8,2017,12,596118.7229222836,592661.2641666668,0.5991804855195015,1.2304711375691113,-5.708560642009804
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",594075.18,2018,1,599806.8447712419,595263.5504166668,0.6186891481748003,5.437507357172988,-1.5375231110615744
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",591233.87,2018,2,599711.8247972835,599464.0254166668,-0.015841762191726172,4.241274284141738,-2.7723960875106357
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",607562.61,2018,3,608776.8150577002,606075.6016666667,1.511557699146726,5.581077783097532,-1.4735815061919144
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",603612.23,2018,4,609905.2374014502,612654.6045833332,0.18535895517688417,5.809082111228148,-1.2886015174296075
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",603996.35,2018,5,605202.6401879084,618630.0358333334,-0.7710373555042005,5.24019822599624,-1.902220201045366
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",594571.23,2018,6,607290.6382087418,625800.9229166667,0.3450080819517032,6.068415533290961,-1.1201132455213934
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",596670.34,2018,7,598641.9807271241,633819.0116666667,-1.4241381206085535,4.853539452022404,-2.382125648693944
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",647275.77,2018,8,647970.5869281046,641623.1454166666,8.240084689861682,12.716103431777581,5.43263426512676
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",687058.87,2018,9,663858.1969035948,648527.4812500001,2.4519029560909678,14.798474136971285,7.466909767057421
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",650706.18,2018,10,658163.2220108252,654450.8474999999,-0.8578601453341106,12.344455768960906,4.964839746683072
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",657320.55,2018,11,663659.2700837419,660699.8279166665,0.8350585218245943,11.997117562010384,4.569770511450796
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",726032.99,2018,12,697128.9129222835,665681.5858333333,5.043196764857716,16.944643091367674,9.470124400843027
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",685499.12,2019,1,691230.7847712418,670385.7229166667,-0.8460598953380694,15.242230194099871,7.721302755586416
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",687109.14,2019,2,695587.0947972835,674330.5916666667,0.6302251175753781,15.986890042131163,8.420447179317158
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",677391.4,2019,3,678605.6050577002,676727.9158333334,-2.441317538320964,11.470343198497401,3.859349088829756
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",675944.23,2019,4,682237.2374014502,679342.9066666667,0.5351609707734628,11.85954728117704,4.204971983275054
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",681639.88,2019,5,682846.1701879085,681771.5829166665,0.08925528439016617,12.829344230205697,5.132133904932908
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",636489.89,2019,6,649209.2982087418,683153.2875,-4.925980908688454,6.902569768511979,-0.8363857667953143
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",667650.97,2019,7,669622.6107271241,685484.3254166667,3.1443345889692997,11.856941591998837,4.077034720667449
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",670971.99,2019,8,671666.8069281046,689885.8154166667,0.30527586258783934,3.6569900668391275,-4.163163756237953
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",720898.43,2019,9,697697.7569035948,695571.0158333334,3.8755748694123904,5.097407873825532,-2.762409465052089
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",679626.4,2019,10,687083.4420108252,703172.1495833334,-1.5213342436238175,4.39408022703589,-3.504906016853231
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",686688.56,2019,11,693027.2800837419,711185.8416666666,0.8650824207786734,4.425163833889378,-3.512564214490469
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",729825.89,2019,12,700921.8129222835,720476.8891666667,1.1391373854125586,0.5440744071423698,-7.432008811447789
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",737651.13,2020,1,743382.7947712418,729768.7970833334,6.057877079317864,7.544804304000929,-0.4692608136405392
145,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",740592.89,2020,2,749070.8447972835,737481.8245833333,0.7651576100563329,7.689008378682893,-0.36262138422529855
146,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",760352.46,2020,3,761566.6650577001,744689.2604166666,1.6681760273019597,12.225224693354253,4.136495142429119
147,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",775410.38,2020,4,781703.3874014502,750780.3520833333,2.644118140625862,14.579407945959266,6.454093865736679
148,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",774502.34,2020,5,775708.6301879084,756082.2437499999,-0.7668838731107019,13.599323545220399,5.437958678488764
149,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",766612.57,2020,6,779331.9782087418,761800.0695833333,0.46710167707630923,20.043255751115453,11.846342524625104
150,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",760534.08,2020,7,762505.7207271241,765613.025,-2.159061600460943,13.870963810367876,5.638931375273373
151,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",763201.54,2020,8,763896.3569281047,766491.9033333334,0.1823771498598692,13.731443782642106,5.464556607538311
152,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",801647.34,2020,9,778446.6669035947,766756.4654166668,1.9047492298565283,11.573623277558776,3.271937638207895
153,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",745063.69,2020,10,752520.7320108251,766376.8758333334,-3.3304702807572584,9.52392184106352,1.1872436556064656
154,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",748496.67,2020,11,754835.3900837419,765766.7670833332,0.3075872829086945,8.918568110699976,0.5464276932239649
155,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",805245.6,2020,12,776341.5229222835,765935.7154166667,2.8491155980584937,10.760074605976389,2.351717505684272
156,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",753742.35,2021,1,759474.0147712418,767551.5579166667,-2.172691741071564,2.164594084391158,-6.281023130661646
157,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",745594.75,2021,2,754072.7047972835,769820.1533333332,-0.711190885916646,0.6677419144985652,-7.816485974375356
158,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",761700.09,2021,3,762914.2950577001,771680.6066666665,1.1725116429978089,0.17695496163792068,-8.347492822548737
159,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",764952.6,2021,4,771245.6074014502,774724.1775,1.0920377816645788,-1.3378194553773093,-9.904294706407734
160,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",770317.51,2021,5,771523.8001879085,779316.84375,0.03607058293604304,-0.539484780385413,-9.149929010163214
161,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",774852.16,2021,6,787571.5682087418,784804.5075000001,2.0800094588041107,1.0572631728699822,-7.599149065904317
162,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",791074.71,2021,7,793046.3507271241,790775.6891666665,0.6951473033535382,4.005298474466068,-4.699067720595277
163,2021-08-01,2021-08-01,1,"Agriculture, forestry and fishing",787107.2,2021,8,787802.0169281046,797040.4229166666,-0.6612896956415204,3.1294376237285704,-5.624796756542331
