index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend,Avg_Taxable_Income_sa_cycle
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",395591.83,2011,11,401930.55008374184,393334.59625,-1570.1775596556836
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",419720.57,2011,12,390816.4929222835,394620.99708333344,-15481.445193405962
48,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",384832.62,2012,1,390564.28477124183,398069.0045833334,-18543.57522290433
49,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",390382.26,2012,2,398860.2147972835,403810.4416666667,-13068.69526974007
50,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",399227.23,2012,3,400441.43505770015,410004.8704166667,-14317.926981735218
51,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",392702.63,2012,4,398995.6374014502,416082.3345833333,-18601.7513763468
52,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",395014.77,2012,5,396221.06018790853,420990.2629166667,-24219.99248278333
53,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",392402.27,2012,6,405121.6782087419,425004.29291666666,-18166.594365929428
54,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",455037.7,2012,7,457009.3407271242,430475.8670833334,30872.560263495718
55,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",458916.89,2012,8,459611.70692810457,437447.5295833333,30627.538790987397
56,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",486571.79,2012,9,463371.11690359475,444333.6679166667,31542.851294704014
57,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",456382.71,2012,10,463839.75201082515,451619.30874999997,29172.612794520624
58,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",445791.6,2012,11,452130.3200837418,459123.43374999997,14631.221400829672
59,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",465857.52,2012,12,436953.4429222835,466343.7954166666,-3369.2359073046246
60,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",470013.45,2013,1,475745.11477124185,471316.69541666657,32608.587398807867
61,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",472521.33,2013,2,480999.28479728353,474198.5620833333,35060.018766922934
62,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",482355.48,2013,3,483569.68505770015,476083.0966666666,34839.916925950674
63,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",484429.76,2013,4,490722.7674014502,477329.56583333324,39215.58987163199
64,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",483386.64,2013,5,484592.9301879085,479549.0841666666,30322.023283604824
65,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",477319.08,2013,6,490038.4882087419,482532.2974999999,33017.81668437092
66,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",489470.49,2013,7,491442.13072712417,484663.39458333334,31685.71010171011
67,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",493648.9,2013,8,494343.7169281046,485952.21458333323,31865.358718173462
68,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",497068.61,2013,9,473867.93690359476,487489.0870833333,8681.004134670715
69,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",475801.15,2013,10,483258.19201082515,488902.6924999999,15375.35334274883
70,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",479641.6,2013,11,485980.3200837418,490155.06875,15413.482827613712
71,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",503604.64,2013,12,474700.5629222835,491542.04916666663,1460.7544034785242
72,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",483412.66,2014,1,489144.3247712418,491484.75499999995,13241.573398214707
73,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",490053.8,2014,2,498531.7547972835,489897.3300000001,19975.078790315834
74,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",501707.95,2014,3,502922.1550577002,489003.8620833333,21719.460276266385
75,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",499003.82,2014,4,505296.8274014502,488980.5604166666,21454.753215523146
76,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",498869.61,2014,5,500075.9001879085,489191.775,13599.651889531233
77,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",495123.64,2014,6,507843.0482087419,489624.4362499999,18736.23146609246
78,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",470290.87,2014,7,472262.5107271242,490082.09666666656,-19472.973351069726
79,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",474730.32,2014,8,475425.13692810456,490338.25208333327,-18938.962506044074
80,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",494543.96,2014,9,471343.2869035948,490602.58666666667,-25651.07478163275
81,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",477766.56,2014,10,485223.6020108251,490829.37625,-14404.221561349463
82,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",482745.34,2014,11,489084.06008374185,490927.66583333333,-13181.77982703218
83,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",510884.77,2014,12,481980.6929222835,490980.4070833334,-22928.96145084151
84,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",487116.38,2015,1,492848.04477124184,493907.7745833334,-14712.364148820634
85,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",492497.81,2015,2,500975.7647972835,499686.3954166667,-9243.303794139181
86,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",505607.97,2015,3,506822.17505770014,505833.2704166668,-6064.309848013276
87,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",500546.75,2015,4,506839.7574014502,512079.7766666667,-8723.680658203724
88,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",499685.63,2015,5,500891.9201879085,517941.6237500001,-17358.7412695408
89,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",495573.41,2015,6,508292.81820874184,523915.74791666673,-12656.002982212289
90,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",540097.92,2015,7,542069.5607271242,528672.9608333334,18411.11131600634
91,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",543610.17,2015,8,544304.9869281047,531852.1254166667,17925.006313558435
92,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",573189.11,2015,9,549988.4369035948,535115.5045833334,20874.445544705843
93,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",549037.56,2015,10,556494.6020108252,538353.98125,24633.405498795328
94,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",552158.67,2015,11,558497.3900837419,541360.7000000001,23874.91807363648
95,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",584850.42,2015,12,555946.3429222836,544296.9608333333,18547.45906045835
96,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",527323.84,2016,1,533055.5047712418,547198.23375,-7136.17752470437
97,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",528590.3,2016,2,537068.2547972836,550203.1420833332,-5934.005857051234
98,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",547836.58,2016,3,549050.7850577001,553138.8775,3218.8278419405688
99,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",536041.58,2016,4,542334.5874014501,555711.3645833333,-6347.4770704566035
100,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",536352.05,2016,5,537558.3401879085,558519.0441666667,-13995.559563188232
101,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",529377.25,2016,6,542096.6582087418,561549.7795833333,-12352.073195461882
102,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",575924.63,2016,7,577896.2707271242,564414.1641666666,20528.55093545164
103,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",579901.26,2016,8,580596.0769281046,567500.0724999999,20284.1469633627
104,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",607355.67,2016,9,584154.9969035948,570241.2712499999,20872.411529632052
105,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",576610.69,2016,10,584067.7320108251,572809.25625,17786.6660274592
106,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",591969.85,2016,11,598308.5700837418,575792.4025,28999.657274202444
107,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",617776.89,2016,12,588872.8129222835,578624.0316666665,16505.00881041831
108,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",563142.6,2017,1,568874.2647712418,579602.5658333332,-6585.377141270903
109,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",566833.34,2017,2,575311.2947972835,579073.7666666666,-3275.160789831076
110,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",575382.31,2017,3,576596.5150577002,578590.4283333333,-5153.708640508121
111,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",570127.49,2017,4,576420.4974014502,578419.7041666667,-8532.402135579032
112,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",573861.65,2017,5,575067.9401879085,578254.5308333333,-13128.456440633396
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",559826.75,2017,6,572546.1582087418,578317.2604166667,-18936.404452532763
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",568959.95,2017,7,570931.5907271241,579908.0308333333,-23881.553296813043
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",574174.76,2017,8,574869.5769281046,582213.5770833333,-23320.164062903146
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",601482.05,2017,9,578281.3769035948,584571.1116666667,-23332.392662125058
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",578386.93,2017,10,585843.9720108252,587307.155,-19242.493800944183
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",586229.45,2017,11,592568.1700837418,589957.965,-16040.715675216285
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",625022.8,2017,12,596118.7229222836,592661.2641666668,-16063.214038771577
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",594075.18,2018,1,599806.8447712419,595263.5504166668,-15999.55842963385
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",591233.87,2018,2,599711.8247972835,599464.0254166668,-19771.119519398315
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",607562.61,2018,3,608776.8150577002,606075.6016666667,-14435.281635652762
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",603612.23,2018,4,609905.2374014502,612654.6045833332,-17089.006759383483
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",603996.35,2018,5,605202.6401879084,618630.0358333334,-25627.018977814005
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",594571.23,2018,6,607290.6382087418,625800.9229166667,-27427.84408625646
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",596670.34,2018,7,598641.9807271241,633819.0116666667,-40018.675669171265
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",647275.77,2018,8,647970.5869281046,641623.1454166666,5314.674245455186
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",687058.87,2018,9,663858.1969035948,648527.4812500001,17154.523322577123
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",650706.18,2018,10,658163.2220108252,654450.8474999999,7359.819484178792
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",657320.55,2018,11,663659.2700837419,660699.8279166665,8704.574763811077
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",726032.99,2018,12,697128.9129222835,665681.5858333333,37971.708372286754
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",685499.12,2019,1,691230.7847712418,670385.7229166667,27820.134800343192
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",687109.14,2019,2,695587.0947972835,674330.5916666667,27872.05046901561
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",677391.4,2019,3,678605.6050577002,676727.9158333334,6534.9900284303585
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",675944.23,2019,4,682237.2374014502,679342.9066666667,5759.432858262793
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",681639.88,2019,5,682846.1701879085,681771.5829166665,1909.064424299053
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",636489.89,2019,6,649209.2982087418,683153.2875,-36239.75781545101
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",667650.97,2019,7,669622.6107271241,685484.3254166667,-20391.596661905758
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",670971.99,2019,8,671666.8069281046,689885.8154166667,-22966.025366347167
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",720898.43,2019,9,697697.7569035948,695571.0158333334,-1607.2889306280995
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",679626.4,2019,10,687083.4420108252,703172.1495833334,-16947.343884297065
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",686688.56,2019,11,693027.2800837419,711185.8416666666,-15782.697878265986
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",729825.89,2019,12,700921.8129222835,720476.8891666667,-12720.603830912267
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",737651.13,2020,1,743382.7947712418,729768.7970833334,24855.019564316142
145,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",740592.89,2020,2,749070.8447972835,737481.8245833333,25605.21668865322
146,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",760352.46,2020,3,761566.6650577001,744689.2604166666,33110.92303139949
147,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",775410.38,2020,4,781703.3874014502,750780.3520833333,48205.30630240636
148,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",774502.34,2020,5,775708.6301879084,756082.2437499999,37115.76523642405
149,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",766612.57,2020,6,779331.9782087418,761800.0695833333,35591.293045971426
150,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",760534.08,2020,7,762505.7207271241,765613.025,13563.301027996582
151,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",763201.54,2020,8,763896.3569281047,766491.9033333334,9697.135777148302
152,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",801647.34,2020,9,778446.6669035947,766756.4654166668,18934.320139837335
153,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",745063.69,2020,10,752520.7320108251,766376.8758333334,-12362.396595785278
154,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",748496.67,2020,11,754835.3900837419,765766.7670833332,-15477.654763001716
155,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",805245.6,2020,12,776341.5229222835,765935.7154166667,538.0446597606642
156,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",753742.35,2021,1,759474.0147712418,767551.5579166667,-21881.677434723824
157,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",745594.75,2021,2,754072.7047972835,769820.1533333332,-32898.24938338541
158,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",761700.09,2021,3,762914.2950577001,771680.6066666665,-29736.06779242633
159,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",764952.6,2021,4,771245.6074014502,774724.1775,-27149.155631865025
160,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",770317.51,2021,5,771523.8001879085,779316.84375,-32680.969916336122
161,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",774852.16,2021,6,787571.5682087418,784804.5075000001,-22509.221743957023
162,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",791074.71,2021,7,793046.3507271241,790775.6891666665,-22976.625573360245
163,2021-08-01,2021-08-01,1,"Agriculture, forestry and fishing",787107.2,2021,8,787802.0169281046,797040.4229166666,-34229.29225903575
164,2021-09-01,2021-09-01,1,"Agriculture, forestry and fishing",822392.56,2021,9,799191.8869035948,803803.2529166667,-28913.704459833913
165,2021-10-01,2021-10-01,1,"Agriculture, forestry and fishing",797364.17,2021,10,804821.2120108252,810463.0525,-29424.14945437701
166,2021-11-01,2021-11-01,1,"Agriculture, forestry and fishing",806420.18,2021,11,812758.9000837419,818328.41875,-27691.03494499973
167,2021-12-01,2021-12-01,1,"Agriculture, forestry and fishing",879026.02,2021,12,850121.9429222835,827249.1579166666,3403.542370145791
168,2022-01-01,2022-01-01,1,"Agriculture, forestry and fishing",823270.29,2022,1,829001.9547712419,835604.9499999998,-24047.67809684691
169,2022-02-01,2022-02-01,1,"Agriculture, forestry and fishing",826420.42,2022,2,834898.3747972836,844268.9016666665,-24544.158273909823
170,2022-03-01,2022-03-01,1,"Agriculture, forestry and fishing",843182.34,2022,3,844396.5450577001,853952.5041666667,-21499.271645278553
171,2022-04-01,2022-04-01,1,"Agriculture, forestry and fishing",843305.54,2022,4,849598.5474014502,863751.9895833333,-22809.462519584456
172,2022-05-01,2022-05-01,1,"Agriculture, forestry and fishing",880733.36,2022,5,881939.6501879084,873440.1995833333,2962.1771943992935
173,2022-06-01,2022-06-01,1,"Agriculture, forestry and fishing",878534.05,2022,6,891253.4582087419,881775.1408333333,5651.068019130966
174,2022-07-01,2022-07-01,1,"Agriculture, forestry and fishing",887931.83,2022,7,889903.4707271241,888641.3895833332,-2377.497907729936
175,2022-08-01,2022-08-01,1,"Agriculture, forestry and fishing",898184.92,2022,8,898879.7369281047,895717.4820833333,-131.72213056881446
176,2022-09-01,2022-09-01,1,"Agriculture, forestry and fishing",943721.3,2022,9,920520.6269035948,902496.40125,14728.533057982568
177,2022-10-01,2022-10-01,1,"Agriculture, forestry and fishing",911223.08,2022,10,918680.1220108251,909002.0108333332,6059.017646985943
178,2022-11-01,2022-11-01,1,"Agriculture, forestry and fishing",925078.31,2022,11,931417.0300837419,917613.7625000001,11920.194456130383
179,2022-12-01,2022-12-01,1,"Agriculture, forestry and fishing",960406.48,2022,12,931502.4029222835,927900.7933333332,5084.723519417457
180,2023-01-01,2023-01-01,1,"Agriculture, forestry and fishing",906679.8,2023,1,912411.4647712419,937336.085,-20970.654661106528
181,2023-02-01,2023-02-01,1,"Agriculture, forestry and fishing",912837.13,2023,2,921315.0847972835,946194.2637499999,-19073.593895498314
182,2023-03-01,2023-03-01,1,"Agriculture, forestry and fishing",919459.69,2023,3,920673.8950577001,953529.9166666665,-26761.823292582994
183,2023-04-01,2023-04-01,1,"Agriculture, forestry and fishing",923162.82,2023,4,929455.8274014501,959080.3729166666,-25065.624996726634
184,2023-05-01,2023-05-01,1,"Agriculture, forestry and fishing",1007558.12,2023,5,1008764.4101879084,964098.5004166665,47120.52185367106
185,2023-06-01,2023-06-01,1,"Agriculture, forestry and fishing",998598.03,2023,6,1011317.4382087418,970571.7212499998,42516.59796010249
186,2023-07-01,2023-07-01,1,"Agriculture, forestry and fishing",994314.85,2023,7,996286.4907271242,978790.0058333331,20296.004911293858
187,2023-08-01,2023-08-01,1,"Agriculture, forestry and fishing",1004398.19,2023,8,1005093.0069281046,986473.3258333332,21881.67615767708
188,2023-09-01,2023-09-01,1,"Agriculture, forestry and fishing",1013563.7,2023,9,990363.0269035947,994038.0816666663,-99.01054842979647
189,2023-10-01,2023-10-01,1,"Agriculture, forestry and fishing",974591.63,2023,10,982048.6720108251,1002054.0991666665,-15692.765029483824
190,2023-11-01,2023-11-01,1,"Agriculture, forestry and fishing",982144.82,2023,11,988483.5400837418,1006774.2387499998,-16564.8198672554
191,2023-12-01,2023-12-01,1,"Agriculture, forestry and fishing",1058697.27,2023,12,1029793.1929222835,1008677.6912499998,17411.67740862805
192,2024-01-01,2024-01-01,1,"Agriculture, forestry and fishing",1005627.84,2024,1,1011359.5047712418,1012566.7270833333,-8379.980471640709
193,2024-02-01,2024-02-01,1,"Agriculture, forestry and fishing",998288.77,2024,2,1006766.7247972835,1017587.9500000002,-20354.26020535559
194,2024-03-01,2024-03-01,1,"Agriculture, forestry and fishing",1015562.19,2024,3,1016776.3950577001,1024338.4704166667,-17748.270938842907
195,2024-04-01,2024-04-01,1,"Agriculture, forestry and fishing",1019444.74,2024,4,1025737.7474014502,1032713.1170833334,-16211.274972284795
196,2024-05-01,2024-05-01,1,"Agriculture, forestry and fishing",1024559.55,2024,5,1025765.8401879085,1040957.93875,-23626.57114891254
197,2024-06-01,2024-06-01,1,"Agriculture, forestry and fishing",1027279.46,2024,6,1039998.8682087418,1052798.3158333334,-16854.1967926668
198,2024-07-01,2024-07-01,1,"Agriculture, forestry and fishing",1058970.28,2024,7,1060941.9207271242,1066929.2483333333,-3387.112452190835
199,2024-08-01,2024-08-01,1,"Agriculture, forestry and fishing",1060252.11,2024,8,1060946.9269281046,1080413.8391666666,-10871.308706437936
200,2024-09-01,2024-09-01,1,"Agriculture, forestry and fishing",1119722.27,2024,9,1096521.596903595,1094088.1858333333,17203.03090762836
201,2024-10-01,2024-10-01,1,"Agriculture, forestry and fishing",1069424.58,2024,10,1076881.6220108252,,-9946.211998082465
202,2024-11-01,2024-11-01,1,"Agriculture, forestry and fishing",1085187.59,2024,11,1091526.3100837418,,-2817.6720743803307
203,2024-12-01,2024-12-01,1,"Agriculture, forestry and fishing",1239823.55,2024,12,1210919.4729222835,,109054.59673937992
204,2025-01-01,2025-01-01,1,"Agriculture, forestry and fishing",1163643.94,2025,1,1169375.6047712418,,59987.24468999263
