index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend,Real_Wage_Growth_SA,Real_Wage_Growth_SA_Annual,Real_Wage_Growth_SA_Annual_cycle
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",645741.17,2010,12,606461.3278293505,609341.92625,1.7819767193172575,10.061492312744424,5.39959005670984
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",623772.94,2011,1,630549.7717095588,614349.2041666666,3.971967011717936,8.752057627517917,3.937752881441612
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",620112.19,2011,2,629339.1483762254,619869.4962499999,-0.1919948888493228,8.935250589597366,3.975710407506604
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",640854.22,2011,3,641727.2462668505,625271.9349999998,1.9684295697459664,10.130539456299537,5.033184599784031
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",628227.22,2011,4,636397.7290012254,630374.8854166666,-0.8304957124118828,7.9429008647661,2.715375126200171
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",630392.85,2011,5,633487.4919439338,635259.69875,-0.4572984667715607,9.042615302228718,3.692746668470373
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",625285.11,2011,6,642151.1757460171,639220.1887500001,1.3676171845947271,8.855638766259833,3.3914184666821994
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",642002.1,2011,7,644060.0239935662,640687.9033333333,0.297258390180688,11.791575548665922,6.221129561741597
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",642499.14,2011,8,642473.0856112132,641116.7466666666,-0.2463960381383301,11.169827665572175,5.501390550520858
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",671772.23,2011,9,641643.5044102329,641658.3120833333,-0.12912310563034657,11.292552379572495,5.534419273818075
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",636633.7,2011,10,649047.0803553922,641962.5204166666,1.1538456937960184,9.695238530127526,3.8557227002969174
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",645758.78,2011,11,655714.0647564338,642398.2899999999,1.0271958079514087,10.048028804151343,4.13541894222207
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",680922.4,2011,12,641642.5578293505,643004.58,-2.145982171712335,5.801067336959598,-0.17640219068697505
48,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",623816.86,2012,1,630593.6917095588,647249.5120833332,-1.721965911545753,0.0069653502341227025,-6.027215711441316
49,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",630360.51,2012,2,639587.4683762254,655189.7424999998,1.4262395556613017,1.6284256313057854,-4.454403706275002
50,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",643603.47,2012,3,644476.4962668505,663692.8275,0.7644033275131523,0.42841409897949045,-5.695038623653979
51,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",632778.97,2012,4,640949.4790012254,671870.1133333332,-0.5472685638740038,0.7152366818064637,-5.440818531898901
52,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",636299.57,2012,5,639394.2119439337,678379.365,-0.24265049091157787,0.9324130428959965,-5.248183821573101
53,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",633929.35,2012,6,650795.4157460171,683819.5162499999,1.7831259009086997,1.3461378451822714,-4.85085790179055
54,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",735236.23,2012,7,737294.1539935662,691736.9545833333,13.29123348977408,14.476000143882771,8.270870705863615
55,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",739830.54,2012,8,739804.4856112133,702109.7154166666,0.3404789803431729,15.149490644795538,8.944652559843938
56,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",778514.87,2012,9,748386.1444102329,712320.75,1.1599901008885638,16.635817126850295,10.439791473289826
57,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",726145.92,2012,10,738559.3003553923,723252.6704166668,-1.3130713506975367,13.79132927475566,7.612664147738735
58,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",712468.6,2012,11,722423.8847564338,734715.3316666668,-2.184714970239243,10.173614321477075,4.020804279038377
59,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",744776.21,2012,12,705496.3678293504,745461.1712499999,-2.343155768277305,9.951617021167468,3.8330443445314613
60,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",749981.57,2013,1,756758.4017095588,752195.8216666665,7.266094655870425,20.007290218518303,13.931193887374853
61,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",753142.06,2013,2,762369.0183762255,755432.1066666666,0.7414013050918156,19.196991196796876,13.171437313341798
62,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",765886.75,2013,3,766759.7762668505,757113.9237499998,0.5759360342288078,18.974048038730594,13.006822333885662
63,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",772861.78,2013,4,781032.2890012255,757982.06875,1.8614060330425897,21.85551507402539,15.95402127597758
64,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",771320.63,2013,5,774415.2719439338,760301.2208333332,-0.8472142766022484,21.117028818496664,15.288188291414711
65,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",756808.44,2013,6,773674.5057460171,763342.9966666667,-0.09565490567576829,18.881369940066595,13.131498582084982
66,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",773988.75,2013,7,776046.6739935662,764823.49875,0.3066106262945567,5.256046015026206,-0.4092637061706732
67,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",778748.86,2013,8,778722.8056112132,764869.1920833334,0.34484158071002025,5.260622334270693,-0.315358036198667
68,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",779960.16,2013,9,749831.4344102329,765012.1612500001,-3.710096968112253,0.1931208923087402,-5.289584009332963
69,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",745536.11,2013,10,757949.4903553922,764445.735,1.08265078957972,2.6254073289266655,-2.7608951483117083
70,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",748738.06,2013,11,758693.3447564339,763168.9370833333,0.09814036561892614,5.020523374892072,-0.26702807020033603
71,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",781509.37,2013,12,742229.5278293504,762192.0729166665,-2.1700225843379273,5.206711426880828,0.01950257704729097
72,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",748780.46,2014,1,755557.2917095588,759215.79375,1.7956391359402524,-0.15871776214001487,-5.244747437829734
73,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",755439.81,2014,2,764666.7683762255,753877.2366666667,1.2056632589773741,0.3013960358585921,-4.683373021513166
74,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",767020.26,2014,3,767893.2862668505,749458.1183333333,0.4219508450035825,0.14783117673684565,-4.736310484123381
75,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",758134.04,2014,4,766304.5490012255,746055.6333333333,-0.20689557963825544,-1.8856762015349804,-6.670502216533167
76,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",755405.22,2014,5,758499.8619439338,742905.5216666667,-1.018483717402452,-2.0551518773705535,-6.742615980393663
77,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",749279.11,2014,6,766145.1757460171,740420.7216666668,1.0079519042349494,-0.9731909147942974,-5.565837353042257
78,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",710087.38,2014,7,712145.3039935662,738300.8483333335,-7.048255795629044,-8.234217366226327,-12.73512887385415
79,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",714524.86,2014,8,714498.8056112132,736000.7075,0.33048053598738747,-8.247350602451032,-12.66010545429295
80,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",738125.32,2014,9,707996.5944102329,733779.8983333333,-0.9100380784287099,-5.579232622183216,-9.90780636886939
81,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",705711.31,2014,10,718124.6903553923,731573.6070833334,1.430528907218287,-5.254281519646731,-9.502949301604376
82,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",712960.18,2014,11,722915.4647564339,729262.2591666668,0.6671229196521189,-4.715723453655163,-8.888983551985337
83,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",757652.05,2014,12,718372.2078293505,726816.6837500001,-0.628463098187293,-3.21427794307384,-7.316778454325343
84,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",721760.82,2015,1,728537.6517095588,728413.7841666667,1.4150664195270668,-3.5761206061375117,-7.612590854470838
85,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",727256.07,2015,2,736483.0283762254,734002.1183333333,1.090592455725825,-3.6857545228293986,-7.660948603392863
86,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",741904.58,2015,3,742777.6062668505,740008.9670833334,0.8546806441016352,-3.270725301180988,-7.189363340983753
87,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",730298.73,2015,4,738469.2390012254,746409.0966666667,-0.5800346199555717,-3.632408294623801,-7.499117340278145
88,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",727768.18,2015,5,730862.8219439338,752482.0374999999,-1.0300249022666463,-3.643644697465054,-7.462903241703793
89,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",718222.34,2015,6,735088.4057460171,758515.3045833333,0.5781637367795245,-4.05364035213811,-7.829720470254879
90,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",779474.56,2015,7,781532.4839935662,762561.505,6.318162262458027,9.743402029177318,6.0064922634580205
91,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",779257.7,2015,8,779231.6456112132,764314.4895833333,-0.29440086362065854,9.05989478101712,5.358471710049726
92,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",817556.85,2015,9,787428.1244102329,766228.1245833333,1.0518667773804946,11.219196621442396,7.549854657269354
93,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",779882.89,2015,10,792296.2703553922,768227.8979166667,0.6182336894310803,10.328509936525542,6.6880802146449785
94,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",784539.18,2015,11,794494.4647564339,769968.9691666665,0.2774460114592703,9.901434329408975,6.286926453723332
95,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",830871.46,2015,12,791591.6178293504,771618.2437499999,-0.3653703148169041,10.192405719764874,6.600956157023696
96,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",745650.22,2016,1,752427.0517095588,773188.6716666666,-4.947572111385668,3.2790892747879274,-0.29208715564712096
97,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",745438.3,2016,2,754665.2583762255,775046.0020833333,0.2974649385055095,2.468791445213303,-1.0848696142455112
98,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",769649.59,2016,3,770522.6162668505,777031.7112499999,2.101243924325402,3.735305125775734,0.19643134903061554
99,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",750548.28,2016,4,758718.7890012255,778667.7795833332,-1.5319248282177678,2.742097968411983,-0.7846785699071042
100,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",749304.34,2016,5,752398.9819439338,780717.2783333333,-0.8329577636545848,2.946676086590161,-0.5706567292896745
101,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",736268.77,2016,6,753134.8357460172,783065.495,0.09780100980230078,2.4550013112620617,-1.0554987152458222
102,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",799118.4,2016,7,801176.3239935662,785269.0129166667,6.378869488882644,2.513502688924918,-0.9927284951433317
103,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",804189.79,2016,8,804163.7356112133,787840.3558333333,0.3728781702829087,3.1995735979695628,-0.304897560176177
104,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",840281.78,2016,9,810153.0544102329,789905.9554166667,0.7447884720227282,2.8859688009011064,-0.6191883574819625
105,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",796423.6,2016,10,808836.9803553922,791746.8883333333,-0.16244758291984462,2.0876925234774246,-1.4205315183408986
106,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",817186.44,2016,11,827141.7247564337,794233.1075,2.263094399195076,4.109186589488512,0.5955847016868692
107,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",854581.4,2016,12,815301.5578293505,796811.5304166666,-1.4314556469231188,2.9952237322845576,-0.5259860825072655
108,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",774824.71,2017,1,781601.5417095588,797084.5904166666,-4.133441889834499,3.87738451637456,0.34641297956592787
109,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",777976.04,2017,2,787202.9983762255,795202.6487499998,0.7166639736168934,4.311546031681623,0.7687393223443761
110,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",786686.24,2017,3,787559.2662668505,793435.8525,0.04525743567540541,2.211051257981489,-1.3455864028210152
111,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",777694.02,2017,4,785864.5290012255,792089.2629166667,-0.21518853732219734,3.5778394305661765,0.005446779306365723
112,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",781827.86,2017,5,784922.5019439338,790612.7287499999,-0.11987143108354026,4.322642744142313,0.7326531859888723
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",765627.4,2017,6,782493.4657460172,789266.2020833333,-0.30946191399798817,3.89819041777808,0.2888441168227933
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",776313.21,2017,7,778371.1339935662,789928.9024999999,-0.5268199586204614,-2.846463296159907,-6.476849748485311
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",781828.38,2017,8,781802.3256112132,791708.7641666665,0.4408169146821628,-2.780703606710644,-6.433739420369963
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",820240.08,2017,9,790111.3544102329,793664.0866666667,1.062804308304366,-2.4738165079917884,-6.150986718651844
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",784147.15,2017,10,796560.5303553923,796148.52875,0.8162363329119904,-1.5177903951184124,-5.2204062210979645
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",794026.07,2017,11,803981.3547564337,798437.2904166667,0.931608348424029,-2.800048565657831,-6.5291999466103
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",845425.13,2017,12,806145.2878293504,800600.6866666665,0.2691521463917823,-1.1230531711944214,-4.879568487195689
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",799885.79,2018,1,806662.6217095589,802431.9320833333,0.06417377711174233,3.206375456371946,-0.5780202355472444
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",795631.64,2018,2,804858.5983762254,806326.0779166665,-0.22364037762282463,2.2428268231216686,-1.5696160953864018
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",815958.38,2018,3,816831.4062668505,813203.6929166666,1.487566625340131,3.7168174198183745,-0.12348552571868243
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",808048.49,2018,4,816218.9990012255,819923.1829166666,-0.07497352096486054,3.8625575884660757,-0.0050520230739206085
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",806403.67,2018,5,809498.3119439338,825962.9799999999,-0.823392626919428,3.13098553540454,-0.7630102668257797
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",792973.1,2018,6,809839.1657460171,833626.2262499998,0.04210679590730404,3.4946873292966085,-0.4244070350431892
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",792917.4,2018,7,794975.3239935662,842592.0270833333,-1.8354066314832385,2.1331970412121315,-1.8093352159631682
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",858683.69,2018,8,858657.6356112132,851434.1374999998,8.010602303696457,9.83052972372709,5.866596558429032
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",908447.53,2018,9,878318.8044102329,858966.6291666667,2.2897564737806686,11.16392638931778,7.181019576968357
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",857207.46,2018,10,869620.8403553922,865097.8179166665,-0.9902969185182298,9.171972149737751,5.172863960818246
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",865920.89,2018,11,875876.1747564338,871539.9516666665,0.7193174439661831,8.942349169500407,4.930101474800322
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",957448.22,2018,12,918168.3778293504,876236.5254166664,4.8285595945885,13.896141513353811,9.874065869897098
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",903041.92,2019,1,909818.7517095589,880639.4162499999,-0.9093785324572945,12.788014124341274,8.759633734479893
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",904686.16,2019,2,913913.1183762255,884024.4866666667,0.45002003519638567,13.549525372532978,9.518498895167035
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",887683.66,2019,3,888556.6862668506,885394.9454166667,-2.774490441107391,8.78091604334912,4.750970004160399
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",883471.74,2019,4,891642.2490012255,886992.6283333332,0.3472555867356508,9.240565349776531,5.215420696020968
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",885591.63,2019,5,888686.2719439338,888187.0483333331,-0.3315205241342878,9.78235023243441,5.765685674222926
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",826502.91,2019,6,843368.9757460172,887817.8208333332,-5.099358190690673,4.140304818316931,0.1357165861717915
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",865056.97,2019,7,867114.8939935662,888362.4404166666,2.8156025334633794,9.074441410030953,5.085398766570379
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",867785.81,2019,8,867759.7556112133,891279.2849999998,0.07436864735157478,1.06004065211871,-2.910115155139003
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",932236.42,2019,9,902107.694410233,895729.4433333332,3.95823136264557,2.7084573255804933,-1.239637652244002
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",871762.96,2019,10,884176.3403553922,902783.20625,-1.987717671177125,1.6737754345964806,-2.2492295202601302
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",880031.47,2019,11,889986.7547564338,910705.01125,0.6571556075235074,1.6110245268315282,-2.283996446112882
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",934476.18,2019,12,895196.3378293505,920588.3374999999,0.5853551241155719,-2.5019419699803147,-6.366202881492505
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",939084.83,2020,1,945861.6617095588,930581.26125,5.659688466002932,3.9615483778802085,0.13072335132532809
145,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",938647.52,2020,2,947874.4783762255,938577.7195833332,0.21280243698942325,3.716038135040667,-0.07872631709092737
146,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",960526.1,2020,3,961399.1262668505,945617.3650000001,1.426839544598102,8.197838261286128,4.441706930316846
147,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",979919.61,2020,4,988090.1190012255,951024.7095833333,2.776265549357948,10.816879764057408,7.101902565718668
148,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",979267.08,2020,5,982361.7219439337,955614.5366666667,-0.5797443924529966,10.540890858490704,6.869502996549919
149,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",970027.29,2020,6,986893.3557460172,960632.0933333331,0.46129991640107004,17.017981942369055,13.392478014261915
150,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",961362.76,2020,7,963420.6839935662,963060.2462499999,-2.378440549405403,11.106462438496024,7.528943429902139
151,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",963395.02,2020,8,963368.9656112132,961886.4037499999,-0.00536820344552158,11.017935480616625,7.490205428437814
152,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",1005578.7,2020,9,975449.9744102329,960007.2608333332,1.2540375733771647,8.13010247606285,4.653610374723831
153,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",928196.95,2020,10,940610.3303553922,957109.3937499999,-3.571648466740196,6.382662306629516,2.9584443132829366
154,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",933753.33,2020,11,943708.6147564338,953621.5004166666,0.3293908541139423,6.036253878261633,2.6648974053006076
155,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",1001175.68,2020,12,961895.8378293505,950910.7495833333,1.927207486350091,7.450823599405165,4.1324444869608605
156,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",930661.0,2021,1,937437.8317095588,949646.1824999998,-2.542687592347259,-0.8905985241831949,-4.156376570721543
157,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",918899.13,2021,2,928126.0883762254,948818.0012499999,-0.9933184919955762,-2.0834393635991044,-5.297516659729922
158,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",935175.06,2021,3,936048.0862668506,947093.84,0.8535475933539205,-2.6368902682946005,-5.800659079597104
159,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",935721.84,2021,4,943892.3490012254,946363.4004166666,0.8380192053657476,-4.473050499146347,-7.588354165380387
160,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",939755.41,2021,5,942850.0519439338,947108.1324999998,-0.11042541645712722,-4.022110096249754,-7.09119827318391
161,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",944480.94,2021,6,961347.0057460171,948261.1916666665,1.961812884662506,-2.58856236606122,-5.614032473357321
162,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",956559.5,2021,7,958617.4239935662,949582.3449999999,-0.2839330373045401,-0.49856309707713153,-3.4833056022542
