Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage
2008-04-01,6,"Wholesale and retail trade, accommodation and food services",735206.99
2008-04-01,7,"Transport, communications and information services",911608.8
2008-04-01,8,Financial intermediation,1287649.93
2008-04-01,9,Real estate and housing services,875427.31
2008-04-01,10,Business services,819419.07
2008-04-01,11,Personal services,777396.45
2008-04-01,12,Public administration,661880.37
2008-05-01,1,"Agriculture, forestry and fishing",612776.47
2008-05-01,2,Mining,1690625.21
2008-05-01,3,Manufacturing,818887.17
2008-05-01,4,"Electricity, gas, water and waste management",1074653.91
2008-05-01,5,Construction,751191.04
2008-05-01,6,"Wholesale and retail trade, accommodation and food services",723488.18
2008-05-01,7,"Transport, communications and information services",894787.61
2008-05-01,8,Financial intermediation,1373310.65
2008-05-01,9,Real estate and housing services,858770.22
2008-05-01,10,Business services,818546.12
2008-05-01,11,Personal services,770219.63
2008-05-01,12,Public administration,646629.05
2008-06-01,1,"Agriculture, forestry and fishing",602629.06
2008-06-01,2,Mining,1632979.89
2008-06-01,3,Manufacturing,806584.38
2008-06-01,4,"Electricity, gas, water and waste management",1064893.8
2008-06-01,5,Construction,737898.4
2008-06-01,6,"Wholesale and retail trade, accommodation and food services",713751.36
2008-06-01,7,"Transport, communications and information services",883489.78
2008-06-01,8,Financial intermediation,1293022.26
2008-06-01,9,Real estate and housing services,856879.32
2008-06-01,10,Business services,807085.63
2008-06-01,11,Personal services,767122.95
2008-06-01,12,Public administration,666448.39
2008-07-01,1,"Agriculture, forestry and fishing",565398.13
2008-07-01,2,Mining,1659539.08
2008-07-01,3,Manufacturing,802265.67
2008-07-01,4,"Electricity, gas, water and waste management",1051732.33
2008-07-01,5,Construction,744106.16
2008-07-01,6,"Wholesale and retail trade, accommodation and food services",702406.72
2008-07-01,7,"Transport, communications and information services",862783.03
2008-07-01,8,Financial intermediation,1282806.63
2008-07-01,9,Real estate and housing services,851758.95
2008-07-01,10,Business services,806046.25
2008-07-01,11,Personal services,744967.29
2008-07-01,12,Public administration,588931.72
2008-08-01,1,"Agriculture, forestry and fishing",540975.0
2008-08-01,2,Mining,1328440.86
2008-08-01,3,Manufacturing,742257.95
2008-08-01,4,"Electricity, gas, water and waste management",923735.09
2008-08-01,5,Construction,712221.55
2008-08-01,6,"Wholesale and retail trade, accommodation and food services",645484.12
2008-08-01,7,"Transport, communications and information services",789796.8
2008-08-01,8,Financial intermediation,1100177.46
2008-08-01,9,Real estate and housing services,770951.41
2008-08-01,10,Business services,731142.56
2008-08-01,11,Personal services,700523.51
2008-08-01,12,Public administration,556835.53
2008-09-01,1,"Agriculture, forestry and fishing",558716.92
2008-09-01,2,Mining,1430472.6
2008-09-01,3,Manufacturing,784317.02
2008-09-01,4,"Electricity, gas, water and waste management",951958.43
2008-09-01,5,Construction,731951.41
2008-09-01,6,"Wholesale and retail trade, accommodation and food services",671017.12
2008-09-01,7,"Transport, communications and information services",820503.56
2008-09-01,8,Financial intermediation,1149810.58
2008-09-01,9,Real estate and housing services,803407.73
2008-09-01,10,Business services,750290.18
2008-09-01,11,Personal services,722886.98
2008-09-01,12,Public administration,575051.08
2008-10-01,1,"Agriculture, forestry and fishing",543533.43
2008-10-01,2,Mining,1562039.37
2008-10-01,3,Manufacturing,763835.7
2008-10-01,4,"Electricity, gas, water and waste management",982902.14
2008-10-01,5,Construction,719416.98
2008-10-01,6,"Wholesale and retail trade, accommodation and food services",663542.3
2008-10-01,7,"Transport, communications and information services",814989.92
2008-10-01,8,Financial intermediation,1204179.26
2008-10-01,9,Real estate and housing services,807449.53
2008-10-01,10,Business services,756369.21
2008-10-01,11,Personal services,713936.32
2008-10-01,12,Public administration,563866.18
2008-11-01,1,"Agriculture, forestry and fishing",532252.66
2008-11-01,2,Mining,1380573.67
2008-11-01,3,Manufacturing,735956.3
2008-11-01,4,"Electricity, gas, water and waste management",912138.48
2008-11-01,5,Construction,717098.83
2008-11-01,6,"Wholesale and retail trade, accommodation and food services",640729.13
2008-11-01,7,"Transport, communications and information services",779916.75
2008-11-01,8,Financial intermediation,1092882.26
2008-11-01,9,Real estate and housing services,752094.6
2008-11-01,10,Business services,729074.24
2008-11-01,11,Personal services,696604.26
2008-11-01,12,Public administration,561388.58
2008-12-01,1,"Agriculture, forestry and fishing",571617.21
2008-12-01,2,Mining,1481627.12
2008-12-01,3,Manufacturing,828427.68
2008-12-01,4,"Electricity, gas, water and waste management",1024622.48
2008-12-01,5,Construction,769821.43
2008-12-01,6,"Wholesale and retail trade, accommodation and food services",704710.46
2008-12-01,7,"Transport, communications and information services",843970.08
2008-12-01,8,Financial intermediation,1186678.69
2008-12-01,9,Real estate and housing services,828955.23
2008-12-01,10,Business services,775129.01
2008-12-01,11,Personal services,762858.07
2008-12-01,12,Public administration,614272.15
2009-01-01,1,"Agriculture, forestry and fishing",558293.35
2009-01-01,2,Mining,1409334.25
2009-01-01,3,Manufacturing,776456.24
2009-01-01,4,"Electricity, gas, water and waste management",973859.61
2009-01-01,5,Construction,740936.51
2009-01-01,6,"Wholesale and retail trade, accommodation and food services",667456.95
2009-01-01,7,"Transport, communications and information services",814710.07
2009-01-01,8,Financial intermediation,1133038.65
2009-01-01,9,Real estate and housing services,761449.46
2009-01-01,10,Business services,750078.25
2009-01-01,11,Personal services,740048.15
2009-01-01,12,Public administration,604815.46
2009-02-01,1,"Agriculture, forestry and fishing",560962.29
2009-02-01,2,Mining,1398209.67
2009-02-01,3,Manufacturing,764458.42
2009-02-01,4,"Electricity, gas, water and waste management",980293.02
2009-02-01,5,Construction,746512.77
2009-02-01,6,"Wholesale and retail trade, accommodation and food services",660430.53
2009-02-01,7,"Transport, communications and information services",810654.97
2009-02-01,8,Financial intermediation,1147244.34
2009-02-01,9,Real estate and housing services,748347.52
2009-02-01,10,Business services,736912.29
2009-02-01,11,Personal services,726900.81
2009-02-01,12,Public administration,604611.1
2009-03-01,1,"Agriculture, forestry and fishing",563683.35
2009-03-01,2,Mining,1389131.68
2009-03-01,3,Manufacturing,762901.19
2009-03-01,4,"Electricity, gas, water and waste management",942114.84
2009-03-01,5,Construction,750123.77
2009-03-01,6,"Wholesale and retail trade, accommodation and food services",655373.55
2009-03-01,7,"Transport, communications and information services",809385.48
2009-03-01,8,Financial intermediation,1109987.3
2009-03-01,9,Real estate and housing services,742854.76
2009-03-01,10,Business services,738633.94
2009-03-01,11,Personal services,746821.61
2009-03-01,12,Public administration,613756.85
2009-04-01,1,"Agriculture, forestry and fishing",558845.19
2009-04-01,2,Mining,1462338.69
2009-04-01,3,Manufacturing,766200.01
2009-04-01,4,"Electricity, gas, water and waste management",968775.33
2009-04-01,5,Construction,760489.63
2009-04-01,6,"Wholesale and retail trade, accommodation and food services",662837.6
2009-04-01,7,"Transport, communications and information services",814035.42
2009-04-01,8,Financial intermediation,1119588.57
2009-04-01,9,Real estate and housing services,746207.33
2009-04-01,10,Business services,745925.83
2009-04-01,11,Personal services,746982.21
2009-04-01,12,Public administration,603868.31
2009-05-01,1,"Agriculture, forestry and fishing",562031.27
2009-05-01,2,Mining,1450312.15
2009-05-01,3,Manufacturing,759086.08
2009-05-01,4,"Electricity, gas, water and waste management",982583.71
2009-05-01,5,Construction,757718.38
2009-05-01,6,"Wholesale and retail trade, accommodation and food services",654854.48
2009-05-01,7,"Transport, communications and information services",805142.42
2009-05-01,8,Financial intermediation,1111953.09
2009-05-01,9,Real estate and housing services,734419.29
2009-05-01,10,Business services,744636.2
2009-05-01,11,Personal services,743364.73
2009-05-01,12,Public administration,594791.28
2009-06-01,1,"Agriculture, forestry and fishing",551343.74
2009-06-01,2,Mining,1424693.62
2009-06-01,3,Manufacturing,755499.5
2009-06-01,4,"Electricity, gas, water and waste management",973279.5
2009-06-01,5,Construction,746430.4
2009-06-01,6,"Wholesale and retail trade, accommodation and food services",653139.23
2009-06-01,7,"Transport, communications and information services",802424.3
2009-06-01,8,Financial intermediation,1109087.78
2009-06-01,9,Real estate and housing services,730589.02
2009-06-01,10,Business services,740630.33
2009-06-01,11,Personal services,749691.05
2009-06-01,12,Public administration,598646.5
2009-07-01,1,"Agriculture, forestry and fishing",557740.49
2009-07-01,2,Mining,1473488.0
2009-07-01,3,Manufacturing,765690.43
2009-07-01,4,"Electricity, gas, water and waste management",976969.04
2009-07-01,5,Construction,761187.37
2009-07-01,6,"Wholesale and retail trade, accommodation and food services",671593.93
2009-07-01,7,"Transport, communications and information services",824658.6
2009-07-01,8,Financial intermediation,1119409.29
2009-07-01,9,Real estate and housing services,749205.12
2009-07-01,10,Business services,753198.3
2009-07-01,11,Personal services,755368.72
2009-07-01,12,Public administration,606161.35
2009-08-01,1,"Agriculture, forestry and fishing",560705.98
2009-08-01,2,Mining,1495052.91
2009-08-01,3,Manufacturing,772890.74
2009-08-01,4,"Electricity, gas, water and waste management",978817.31
2009-08-01,5,Construction,766218.21
2009-08-01,6,"Wholesale and retail trade, accommodation and food services",677065.48
2009-08-01,7,"Transport, communications and information services",827910.54
2009-08-01,8,Financial intermediation,1126634.55
2009-08-01,9,Real estate and housing services,755119.52
2009-08-01,10,Business services,760227.04
2009-08-01,11,Personal services,754700.55
2009-08-01,12,Public administration,598531.08
2009-09-01,1,"Agriculture, forestry and fishing",575342.25
2009-09-01,2,Mining,1524479.09
2009-09-01,3,Manufacturing,815440.9
2009-09-01,4,"Electricity, gas, water and waste management",1019598.57
2009-09-01,5,Construction,784809.31
2009-09-01,6,"Wholesale and retail trade, accommodation and food services",697608.71
2009-09-01,7,"Transport, communications and information services",851503.19
2009-09-01,8,Financial intermediation,1166464.5
2009-09-01,9,Real estate and housing services,778277.73
2009-09-01,10,Business services,776010.0
2009-09-01,11,Personal services,780643.15
2009-09-01,12,Public administration,604294.66
2009-10-01,1,"Agriculture, forestry and fishing",554288.95
2009-10-01,2,Mining,1440863.18
2009-10-01,3,Manufacturing,770675.67
2009-10-01,4,"Electricity, gas, water and waste management",979570.58
2009-10-01,5,Construction,764210.87
2009-10-01,6,"Wholesale and retail trade, accommodation and food services",672907.77
2009-10-01,7,"Transport, communications and information services",822038.35
2009-10-01,8,Financial intermediation,1117688.97
2009-10-01,9,Real estate and housing services,742188.92
2009-10-01,10,Business services,756767.95
2009-10-01,11,Personal services,751836.84
2009-10-01,12,Public administration,594895.17
2009-11-01,1,"Agriculture, forestry and fishing",554846.21
2009-11-01,2,Mining,1409230.13
2009-11-01,3,Manufacturing,777568.66
2009-11-01,4,"Electricity, gas, water and waste management",991737.77
2009-11-01,5,Construction,777878.69
2009-11-01,6,"Wholesale and retail trade, accommodation and food services",681141.89
2009-11-01,7,"Transport, communications and information services",824736.97
2009-11-01,8,Financial intermediation,1133425.79
2009-11-01,9,Real estate and housing services,761175.33
2009-11-01,10,Business services,761539.75
2009-11-01,11,Personal services,754155.64
2009-11-01,12,Public administration,594840.41
2009-12-01,1,"Agriculture, forestry and fishing",590300.29
2009-12-01,2,Mining,1543674.75
2009-12-01,3,Manufacturing,868414.4
2009-12-01,4,"Electricity, gas, water and waste management",1094895.23
2009-12-01,5,Construction,841492.41
2009-12-01,6,"Wholesale and retail trade, accommodation and food services",745005.73
2009-12-01,7,"Transport, communications and information services",883878.12
2009-12-01,8,Financial intermediation,1239796.94
2009-12-01,9,Real estate and housing services,823603.93
2009-12-01,10,Business services,806421.32
2009-12-01,11,Personal services,813898.41
2009-12-01,12,Public administration,629021.41
2010-01-01,1,"Agriculture, forestry and fishing",573028.08
2010-01-01,2,Mining,1521793.74
2010-01-01,3,Manufacturing,827217.53
2010-01-01,4,"Electricity, gas, water and waste management",1051386.19
2010-01-01,5,Construction,784916.6
2010-01-01,6,"Wholesale and retail trade, accommodation and food services",714445.43
2010-01-01,7,"Transport, communications and information services",865186.5
2010-01-01,8,Financial intermediation,1238749.84
2010-01-01,9,Real estate and housing services,790163.42
2010-01-01,10,Business services,795179.73
2010-01-01,11,Personal services,785784.36
2010-01-01,12,Public administration,639047.55
2010-02-01,1,"Agriculture, forestry and fishing",568491.59
2010-02-01,2,Mining,1540134.06
2010-02-01,3,Manufacturing,805953.57
2010-02-01,4,"Electricity, gas, water and waste management",1038022.52
2010-02-01,5,Construction,794910.77
2010-02-01,6,"Wholesale and retail trade, accommodation and food services",701789.21
2010-02-01,7,"Transport, communications and information services",856489.35
2010-02-01,8,Financial intermediation,1236275.21
2010-02-01,9,Real estate and housing services,778773.56
2010-02-01,10,Business services,784256.18
2010-02-01,11,Personal services,770665.42
2010-02-01,12,Public administration,636651.37
2010-03-01,1,"Agriculture, forestry and fishing",581823.88
2010-03-01,2,Mining,1505904.03
2010-03-01,3,Manufacturing,811579.83
2010-03-01,4,"Electricity, gas, water and waste management",1029949.52
2010-03-01,5,Construction,803049.19
2010-03-01,6,"Wholesale and retail trade, accommodation and food services",707901.02
2010-03-01,7,"Transport, communications and information services",855734.68
2010-03-01,8,Financial intermediation,1212012.59
2010-03-01,9,Real estate and housing services,765386.99
2010-03-01,10,Business services,788505.04
2010-03-01,11,Personal services,783875.93
2010-03-01,12,Public administration,650408.96
2010-04-01,1,"Agriculture, forestry and fishing",581398.35
2010-04-01,2,Mining,1548160.18
2010-04-01,3,Manufacturing,815057.4
2010-04-01,4,"Electricity, gas, water and waste management",1063738.46
2010-04-01,5,Construction,823513.68
2010-04-01,6,"Wholesale and retail trade, accommodation and food services",716520.36
2010-04-01,7,"Transport, communications and information services",858924.75
2010-04-01,8,Financial intermediation,1190673.3
2010-04-01,9,Real estate and housing services,777446.82
2010-04-01,10,Business services,800513.88
2010-04-01,11,Personal services,793012.45
2010-04-01,12,Public administration,645352.97
2010-05-01,1,"Agriculture, forestry and fishing",577859.41
2010-05-01,2,Mining,1564581.88
2010-05-01,3,Manufacturing,801168.54
2010-05-01,4,"Electricity, gas, water and waste management",1038601.46
2010-05-01,5,Construction,808230.45
2010-05-01,6,"Wholesale and retail trade, accommodation and food services",702803.09
2010-05-01,7,"Transport, communications and information services",852493.59
2010-05-01,8,Financial intermediation,1194506.88
2010-05-01,9,Real estate and housing services,778757.44
2010-05-01,10,Business services,792638.79
2010-05-01,11,Personal services,777879.02
2010-05-01,12,Public administration,632142.99
2010-06-01,1,"Agriculture, forestry and fishing",573044.74
2010-06-01,2,Mining,1548121.19
2010-06-01,3,Manufacturing,802323.73
2010-06-01,4,"Electricity, gas, water and waste management",1031150.94
2010-06-01,5,Construction,787303.74
2010-06-01,6,"Wholesale and retail trade, accommodation and food services",701338.7
2010-06-01,7,"Transport, communications and information services",852604.16
2010-06-01,8,Financial intermediation,1200644.97
2010-06-01,9,Real estate and housing services,787020.67
2010-06-01,10,Business services,788731.23
2010-06-01,11,Personal services,788620.7
2010-06-01,12,Public administration,646856.05
2010-07-01,1,"Agriculture, forestry and fishing",574067.8
2010-07-01,2,Mining,1573906.82
2010-07-01,3,Manufacturing,806427.11
2010-07-01,4,"Electricity, gas, water and waste management",1034027.81
2010-07-01,5,Construction,796092.41
2010-07-01,6,"Wholesale and retail trade, accommodation and food services",712172.55
2010-07-01,7,"Transport, communications and information services",867264.05
2010-07-01,8,Financial intermediation,1199221.0
2010-07-01,9,Real estate and housing services,797974.58
2010-07-01,10,Business services,803513.02
2010-07-01,11,Personal services,790630.17
2010-07-01,12,Public administration,639900.27
2010-08-01,1,"Agriculture, forestry and fishing",577946.43
2010-08-01,2,Mining,1551036.9
2010-08-01,3,Manufacturing,815301.54
2010-08-01,4,"Electricity, gas, water and waste management",1049513.71
2010-08-01,5,Construction,794622.01
2010-08-01,6,"Wholesale and retail trade, accommodation and food services",714190.44
2010-08-01,7,"Transport, communications and information services",872917.81
2010-08-01,8,Financial intermediation,1206812.08
2010-08-01,9,Real estate and housing services,800893.32
2010-08-01,10,Business services,808273.52
2010-08-01,11,Personal services,788159.26
2010-08-01,12,Public administration,647899.34
2010-09-01,1,"Agriculture, forestry and fishing",606666.41
2010-09-01,2,Mining,1606245.84
2010-09-01,3,Manufacturing,874670.79
2010-09-01,4,"Electricity, gas, water and waste management",1102197.1
2010-09-01,5,Construction,848600.24
2010-09-01,6,"Wholesale and retail trade, accommodation and food services",751803.7
2010-09-01,7,"Transport, communications and information services",918024.77
2010-09-01,8,Financial intermediation,1326043.88
2010-09-01,9,Real estate and housing services,845528.33
2010-09-01,10,Business services,845780.89
2010-09-01,11,Personal services,827525.0
2010-09-01,12,Public administration,654711.55
2010-10-01,1,"Agriculture, forestry and fishing",579268.71
2010-10-01,2,Mining,1532363.55
2010-10-01,3,Manufacturing,824172.98
2010-10-01,4,"Electricity, gas, water and waste management",1046916.3
2010-10-01,5,Construction,819619.99
2010-10-01,6,"Wholesale and retail trade, accommodation and food services",722133.18
2010-10-01,7,"Transport, communications and information services",880005.38
2010-10-01,8,Financial intermediation,1232424.41
2010-10-01,9,Real estate and housing services,817330.52
2010-10-01,10,Business services,811520.61
2010-10-01,11,Personal services,796646.25
2010-10-01,12,Public administration,635568.02
2010-11-01,1,"Agriculture, forestry and fishing",585888.25
2010-11-01,2,Mining,1529426.16
2010-11-01,3,Manufacturing,830041.85
2010-11-01,4,"Electricity, gas, water and waste management",1068012.0
2010-11-01,5,Construction,831014.43
2010-11-01,6,"Wholesale and retail trade, accommodation and food services",725118.03
2010-11-01,7,"Transport, communications and information services",880111.1
2010-11-01,8,Financial intermediation,1245105.66
2010-11-01,9,Real estate and housing services,831851.32
2010-11-01,10,Business services,816117.58
2010-11-01,11,Personal services,797035.81
2010-11-01,12,Public administration,636206.1
2010-12-01,1,"Agriculture, forestry and fishing",645741.17
2010-12-01,2,Mining,2033442.26
2010-12-01,3,Manufacturing,1008327.13
2010-12-01,4,"Electricity, gas, water and waste management",1371695.21
2010-12-01,5,Construction,939538.43
2010-12-01,6,"Wholesale and retail trade, accommodation and food services",871146.77
2010-12-01,7,"Transport, communications and information services",1045767.18
2010-12-01,8,Financial intermediation,1668711.16
2010-12-01,9,Real estate and housing services,981001.64
2010-12-01,10,Business services,967117.07
2010-12-01,11,Personal services,912319.84
2010-12-01,12,Public administration,700352.33
2011-01-01,1,"Agriculture, forestry and fishing",623772.94
2011-01-01,2,Mining,2037355.63
2011-01-01,3,Manufacturing,941754.18
2011-01-01,4,"Electricity, gas, water and waste management",1318715.69
2011-01-01,5,Construction,882927.31
2011-01-01,6,"Wholesale and retail trade, accommodation and food services",824002.39
2011-01-01,7,"Transport, communications and information services",995001.93
2011-01-01,8,Financial intermediation,1551713.12
2011-01-01,9,Real estate and housing services,941093.12
2011-01-01,10,Business services,936438.93
2011-01-01,11,Personal services,863611.01
2011-01-01,12,Public administration,692455.42
2011-02-01,1,"Agriculture, forestry and fishing",620112.19
2011-02-01,2,Mining,1933825.4
2011-02-01,3,Manufacturing,916201.5
2011-02-01,4,"Electricity, gas, water and waste management",1301405.35
2011-02-01,5,Construction,880260.38
2011-02-01,6,"Wholesale and retail trade, accommodation and food services",803521.2
2011-02-01,7,"Transport, communications and information services",988636.67
2011-02-01,8,Financial intermediation,1563623.39
2011-02-01,9,Real estate and housing services,938317.41
2011-02-01,10,Business services,928521.48
2011-02-01,11,Personal services,847043.71
2011-02-01,12,Public administration,689888.04
2011-03-01,1,"Agriculture, forestry and fishing",640854.22
2011-03-01,2,Mining,1957186.94
2011-03-01,3,Manufacturing,926020.32
2011-03-01,4,"Electricity, gas, water and waste management",1290062.87
2011-03-01,5,Construction,885092.14
2011-03-01,6,"Wholesale and retail trade, accommodation and food services",809768.0
2011-03-01,7,"Transport, communications and information services",988758.53
2011-03-01,8,Financial intermediation,1508486.03
2011-03-01,9,Real estate and housing services,949191.83
2011-03-01,10,Business services,925493.81
2011-03-01,11,Personal services,865930.26
2011-03-01,12,Public administration,722137.2
2011-04-01,1,"Agriculture, forestry and fishing",628227.22
2011-04-01,2,Mining,1956545.04
2011-04-01,3,Manufacturing,920917.22
2011-04-01,4,"Electricity, gas, water and waste management",1246193.14
2011-04-01,5,Construction,888284.66
2011-04-01,6,"Wholesale and retail trade, accommodation and food services",807589.74
2011-04-01,7,"Transport, communications and information services",981980.92
2011-04-01,8,Financial intermediation,1509082.43
2011-04-01,9,Real estate and housing services,959195.49
2011-04-01,10,Business services,935216.66
2011-04-01,11,Personal services,861652.91
2011-04-01,12,Public administration,693079.78
2011-05-01,1,"Agriculture, forestry and fishing",630392.85
2011-05-01,2,Mining,1966601.25
2011-05-01,3,Manufacturing,907703.92
2011-05-01,4,"Electricity, gas, water and waste management",1241719.64
2011-05-01,5,Construction,883496.7
2011-05-01,6,"Wholesale and retail trade, accommodation and food services",806727.19
2011-05-01,7,"Transport, communications and information services",989325.38
2011-05-01,8,Financial intermediation,1501073.96
2011-05-01,9,Real estate and housing services,956370.8
2011-05-01,10,Business services,931974.61
2011-05-01,11,Personal services,854627.68
2011-05-01,12,Public administration,689628.84
2011-06-01,1,"Agriculture, forestry and fishing",625285.11
2011-06-01,2,Mining,1911731.76
2011-06-01,3,Manufacturing,910881.53
2011-06-01,4,"Electricity, gas, water and waste management",1239913.6
2011-06-01,5,Construction,874485.94
2011-06-01,6,"Wholesale and retail trade, accommodation and food services",803724.5
2011-06-01,7,"Transport, communications and information services",980486.22
2011-06-01,8,Financial intermediation,1557825.41
2011-06-01,9,Real estate and housing services,962904.66
2011-06-01,10,Business services,930882.92
2011-06-01,11,Personal services,867639.6
2011-06-01,12,Public administration,714038.45
2011-07-01,1,"Agriculture, forestry and fishing",642002.1
2011-07-01,2,Mining,1938933.06
2011-07-01,3,Manufacturing,928048.81
2011-07-01,4,"Electricity, gas, water and waste management",1286742.46
2011-07-01,5,Construction,895675.22
2011-07-01,6,"Wholesale and retail trade, accommodation and food services",826379.24
2011-07-01,7,"Transport, communications and information services",991225.75
2011-07-01,8,Financial intermediation,1565697.96
2011-07-01,9,Real estate and housing services,978893.96
2011-07-01,10,Business services,966992.51
2011-07-01,11,Personal services,870136.67
2011-07-01,12,Public administration,703186.79
2011-08-01,1,"Agriculture, forestry and fishing",642499.14
2011-08-01,2,Mining,1989957.55
2011-08-01,3,Manufacturing,932268.53
2011-08-01,4,"Electricity, gas, water and waste management",1297069.43
2011-08-01,5,Construction,897706.91
2011-08-01,6,"Wholesale and retail trade, accommodation and food services",824915.96
2011-08-01,7,"Transport, communications and information services",991592.43
2011-08-01,8,Financial intermediation,1628574.22
2011-08-01,9,Real estate and housing services,975388.01
2011-08-01,10,Business services,966943.02
2011-08-01,11,Personal services,865109.58
2011-08-01,12,Public administration,696970.18
2011-09-01,1,"Agriculture, forestry and fishing",671772.23
2011-09-01,2,Mining,2099672.36
2011-09-01,3,Manufacturing,1005806.35
2011-09-01,4,"Electricity, gas, water and waste management",1358470.77
2011-09-01,5,Construction,950996.2
2011-09-01,6,"Wholesale and retail trade, accommodation and food services",868142.37
2011-09-01,7,"Transport, communications and information services",1034664.77
2011-09-01,8,Financial intermediation,1604736.29
2011-09-01,9,Real estate and housing services,1023500.78
2011-09-01,10,Business services,1014913.3
2011-09-01,11,Personal services,904404.28
2011-09-01,12,Public administration,719842.11
2011-10-01,1,"Agriculture, forestry and fishing",636633.7
2011-10-01,2,Mining,1978730.43
2011-10-01,3,Manufacturing,929310.81
2011-10-01,4,"Electricity, gas, water and waste management",1287002.16
2011-10-01,5,Construction,891192.93
2011-10-01,6,"Wholesale and retail trade, accommodation and food services",823443.91
2011-10-01,7,"Transport, communications and information services",991354.88
2011-10-01,8,Financial intermediation,1530129.02
2011-10-01,9,Real estate and housing services,1016380.21
2011-10-01,10,Business services,964091.99
2011-10-01,11,Personal services,868662.2
2011-10-01,12,Public administration,691287.99
2011-11-01,1,"Agriculture, forestry and fishing",645758.78
2011-11-01,2,Mining,2030387.92
2011-11-01,3,Manufacturing,940726.23
2011-11-01,4,"Electricity, gas, water and waste management",1291534.21
2011-11-01,5,Construction,896918.11
2011-11-01,6,"Wholesale and retail trade, accommodation and food services",823509.75
2011-11-01,7,"Transport, communications and information services",993972.62
2011-11-01,8,Financial intermediation,1547441.55
2011-11-01,9,Real estate and housing services,1017840.41
2011-11-01,10,Business services,967208.1
2011-11-01,11,Personal services,869177.09
2011-11-01,12,Public administration,690753.77
2011-12-01,1,"Agriculture, forestry and fishing",680922.4
2011-12-01,2,Mining,2147445.3
2011-12-01,3,Manufacturing,1048973.83
2011-12-01,4,"Electricity, gas, water and waste management",1434484.22
2011-12-01,5,Construction,957632.01
2011-12-01,6,"Wholesale and retail trade, accommodation and food services",899907.42
2011-12-01,7,"Transport, communications and information services",1072887.83
2011-12-01,8,Financial intermediation,1659018.66
2011-12-01,9,Real estate and housing services,1094551.11
2011-12-01,10,Business services,1031774.7
2011-12-01,11,Personal services,940670.72
2011-12-01,12,Public administration,731551.49
2012-01-01,1,"Agriculture, forestry and fishing",623816.86
2012-01-01,2,Mining,1663531.97
2012-01-01,3,Manufacturing,904461.23
2012-01-01,4,"Electricity, gas, water and waste management",1167496.12
2012-01-01,5,Construction,858902.37
2012-01-01,6,"Wholesale and retail trade, accommodation and food services",778301.07
2012-01-01,7,"Transport, communications and information services",941813.84
2012-01-01,8,Financial intermediation,1329093.01
2012-01-01,9,Real estate and housing services,916990.83
2012-01-01,10,Business services,886590.25
2012-01-01,11,Personal services,850320.1
2012-01-01,12,Public administration,690977.05
2012-02-01,1,"Agriculture, forestry and fishing",630360.51
2012-02-01,2,Mining,1637134.61
2012-02-01,3,Manufacturing,881267.64
2012-02-01,4,"Electricity, gas, water and waste management",1161214.52
2012-02-01,5,Construction,866078.56
2012-02-01,6,"Wholesale and retail trade, accommodation and food services",762890.13
2012-02-01,7,"Transport, communications and information services",933813.4
2012-02-01,8,Financial intermediation,1333172.6
2012-02-01,9,Real estate and housing services,923836.29
2012-02-01,10,Business services,877057.59
2012-02-01,11,Personal services,834693.81
2012-02-01,12,Public administration,685907.01
2012-03-01,1,"Agriculture, forestry and fishing",643603.47
