Wage_Date,State_From,Employment,Unemployment
2009-05-01,Employment,0.921322,0.078678
2009-05-01,Unemployment,0.085539,0.914461
2009-06-01,Employment,0.939083,0.060917
2009-06-01,Unemployment,0.091279,0.908721
2009-07-01,Employment,0.945148,0.054852
2009-07-01,Unemployment,0.089066,0.910934
2009-08-01,Employment,0.944329,0.055671
2009-08-01,Unemployment,0.085348,0.914652
2009-09-01,Employment,0.943777,0.056223
2009-09-01,Unemployment,0.084978,0.915022
2009-10-01,Employment,0.951833,0.048167
2009-10-01,Unemployment,0.107435,0.892565
2009-11-01,Employment,0.953362,0.046638
2009-11-01,Unemployment,0.113732,0.886268
2009-12-01,Employment,0.950132,0.049868
2009-12-01,Unemployment,0.109478,0.890522
2010-01-01,Employment,0.92612,0.07388
2010-01-01,Unemployment,0.117987,0.882013
2010-02-01,Employment,0.93685,0.06315
2010-02-01,Unemployment,0.104899,0.895101
2010-03-01,Employment,0.930582,0.069418
2010-03-01,Unemployment,0.110105,0.889895
2010-04-01,Employment,0.93219,0.06781
2010-04-01,Unemployment,0.106551,0.893449
2010-05-01,Employment,0.93053,0.06947
2010-05-01,Unemployment,0.09067,0.90933
2010-06-01,Employment,0.943237,0.056763
2010-06-01,Unemployment,0.087654,0.912346
2010-07-01,Employment,0.950273,0.049727
2010-07-01,Unemployment,0.090931,0.909069
2010-08-01,Employment,0.951965,0.048035
2010-08-01,Unemployment,0.089605,0.910395
2010-09-01,Employment,0.947761,0.052239
2010-09-01,Unemployment,0.079949,0.920051
2010-10-01,Employment,0.954078,0.045922
2010-10-01,Unemployment,0.107996,0.892004
2010-11-01,Employment,0.956761,0.043239
2010-11-01,Unemployment,0.120829,0.879171
2010-12-01,Employment,0.952551,0.047449
2010-12-01,Unemployment,0.105357,0.894643
2011-01-01,Employment,0.928895,0.071105
2011-01-01,Unemployment,0.117302,0.882698
2011-02-01,Employment,0.938001,0.061999
2011-02-01,Unemployment,0.107097,0.892903
2011-03-01,Employment,0.936088,0.063912
2011-03-01,Unemployment,0.122451,0.877549
2011-04-01,Employment,0.932372,0.067628
2011-04-01,Unemployment,0.104677,0.895323
2011-05-01,Employment,0.936399,0.063601
2011-05-01,Unemployment,0.090364,0.909636
2011-06-01,Employment,0.945212,0.054788
2011-06-01,Unemployment,0.089484,0.910516
2011-07-01,Employment,0.951827,0.048173
2011-07-01,Unemployment,0.087358,0.912642
2011-08-01,Employment,0.953726,0.046274
2011-08-01,Unemployment,0.090921,0.909079
2011-09-01,Employment,0.950085,0.049915
2011-09-01,Unemployment,0.083537,0.916463
2011-10-01,Employment,0.955451,0.044549
2011-10-01,Unemployment,0.10712,0.89288
2011-11-01,Employment,0.960539,0.039461
2011-11-01,Unemployment,0.122914,0.877086
2011-12-01,Employment,0.955582,0.044418
2011-12-01,Unemployment,0.107455,0.892545
2012-01-01,Employment,0.932378,0.067622
2012-01-01,Unemployment,0.11929,0.88071
2012-02-01,Employment,0.941835,0.058165
2012-02-01,Unemployment,0.109283,0.890717
2012-03-01,Employment,0.937625,0.062375
2012-03-01,Unemployment,0.12295,0.87705
2012-04-01,Employment,0.936238,0.063762
2012-04-01,Unemployment,0.101277,0.898723
2012-05-01,Employment,0.942316,0.057684
2012-05-01,Unemployment,0.090701,0.909299
2012-06-01,Employment,0.949214,0.050786
2012-06-01,Unemployment,0.093489,0.906511
2012-07-01,Employment,0.954435,0.045565
2012-07-01,Unemployment,0.090254,0.909746
2012-08-01,Employment,0.955868,0.044132
2012-08-01,Unemployment,0.093889,0.906111
2012-09-01,Employment,0.950076,0.049924
2012-09-01,Unemployment,0.075964,0.924036
2012-10-01,Employment,0.958574,0.041426
2012-10-01,Unemployment,0.112048,0.887952
2012-11-01,Employment,0.958503,0.041497
2012-11-01,Unemployment,0.117043,0.882957
2012-12-01,Employment,0.954356,0.045644
2012-12-01,Unemployment,0.101525,0.898475
2013-01-01,Employment,0.934995,0.065005
2013-01-01,Unemployment,0.122074,0.877926
2013-02-01,Employment,0.939828,0.060172
2013-02-01,Unemployment,0.104227,0.895773
2013-03-01,Employment,0.938103,0.061897
2013-03-01,Unemployment,0.117928,0.882072
2013-04-01,Employment,0.9413,0.0587
2013-04-01,Unemployment,0.109689,0.890311
2013-05-01,Employment,0.940409,0.059591
2013-05-01,Unemployment,0.086229,0.913771
2013-06-01,Employment,0.94886,0.05114
2013-06-01,Unemployment,0.093649,0.906351
2013-07-01,Employment,0.954398,0.045602
2013-07-01,Unemployment,0.090799,0.909201
2013-08-01,Employment,0.953085,0.046915
2013-08-01,Unemployment,0.091467,0.908533
2013-09-01,Employment,0.948785,0.051215
2013-09-01,Unemployment,0.073082,0.926918
2013-10-01,Employment,0.955565,0.044435
2013-10-01,Unemployment,0.104587,0.895413
2013-11-01,Employment,0.957803,0.042197
2013-11-01,Unemployment,0.111457,0.888543
2013-12-01,Employment,0.955169,0.044831
2013-12-01,Unemployment,0.102379,0.897621
2014-01-01,Employment,0.931694,0.068306
2014-01-01,Unemployment,0.111383,0.888617
2014-02-01,Employment,0.941456,0.058544
2014-02-01,Unemployment,0.101262,0.898738
2014-03-01,Employment,0.938554,0.061446
2014-03-01,Unemployment,0.1179,0.8821
2014-04-01,Employment,0.938588,0.061412
2014-04-01,Unemployment,0.100301,0.899699
2014-05-01,Employment,0.941327,0.058673
2014-05-01,Unemployment,0.084748,0.915252
2014-06-01,Employment,0.948656,0.051344
2014-06-01,Unemployment,0.085342,0.914658
2014-07-01,Employment,0.954372,0.045628
2014-07-01,Unemployment,0.087773,0.912227
2014-08-01,Employment,0.952299,0.047701
2014-08-01,Unemployment,0.086088,0.913912
2014-09-01,Employment,0.951223,0.048777
2014-09-01,Unemployment,0.07523,0.92477
2014-10-01,Employment,0.957362,0.042638
2014-10-01,Unemployment,0.106521,0.893479
2014-11-01,Employment,0.958602,0.041398
2014-11-01,Unemployment,0.112139,0.887861
2014-12-01,Employment,0.955572,0.044428
2014-12-01,Unemployment,0.100797,0.899203
2015-01-01,Employment,0.935433,0.064567
2015-01-01,Unemployment,0.111454,0.888546
2015-02-01,Employment,0.943386,0.056614
2015-02-01,Unemployment,0.097088,0.902912
2015-03-01,Employment,0.938768,0.061232
2015-03-01,Unemployment,0.116199,0.883801
2015-04-01,Employment,0.94073,0.05927
2015-04-01,Unemployment,0.09886,0.90114
2015-05-01,Employment,0.943301,0.056699
2015-05-01,Unemployment,0.080943,0.919057
2015-06-01,Employment,0.952254,0.047746
2015-06-01,Unemployment,0.087622,0.912378
2015-07-01,Employment,0.955861,0.044139
2015-07-01,Unemployment,0.084914,0.915086
2015-08-01,Employment,0.954876,0.045124
2015-08-01,Unemployment,0.085363,0.914637
2015-09-01,Employment,0.953017,0.046983
2015-09-01,Unemployment,0.077666,0.922334
2015-10-01,Employment,0.957855,0.042145
2015-10-01,Unemployment,0.096511,0.903489
2015-11-01,Employment,0.960042,0.039958
2015-11-01,Unemployment,0.106922,0.893078
2015-12-01,Employment,0.957158,0.042842
2015-12-01,Unemployment,0.103791,0.896209
2016-01-01,Employment,0.938328,0.061672
2016-01-01,Unemployment,0.1099,0.8901
2016-02-01,Employment,0.945151,0.054849
2016-02-01,Unemployment,0.09867,0.90133
2016-03-01,Employment,0.939918,0.060082
2016-03-01,Unemployment,0.112599,0.887401
2016-04-01,Employment,0.944358,0.055642
2016-04-01,Unemployment,0.098529,0.901471
2016-05-01,Employment,0.944342,0.055658
2016-05-01,Unemployment,0.082441,0.917559
2016-06-01,Employment,0.951803,0.048197
2016-06-01,Unemployment,0.084321,0.915679
2016-07-01,Employment,0.955897,0.044103
2016-07-01,Unemployment,0.080761,0.919239
2016-08-01,Employment,0.956188,0.043812
2016-08-01,Unemployment,0.083997,0.916003
2016-09-01,Employment,0.952205,0.047795
2016-09-01,Unemployment,0.077505,0.922495
2016-10-01,Employment,0.957301,0.042699
2016-10-01,Unemployment,0.093383,0.906617
2016-11-01,Employment,0.96187,0.03813
2016-11-01,Unemployment,0.11247,0.88753
2016-12-01,Employment,0.955693,0.044307
2016-12-01,Unemployment,0.098998,0.901002
2017-01-01,Employment,0.936706,0.063294
2017-01-01,Unemployment,0.106983,0.893017
2017-02-01,Employment,0.943413,0.056587
2017-02-01,Unemployment,0.093636,0.906364
2017-03-01,Employment,0.940235,0.059765
2017-03-01,Unemployment,0.111281,0.888719
2017-04-01,Employment,0.940332,0.059668
2017-04-01,Unemployment,0.086497,0.913503
2017-05-01,Employment,0.949028,0.050972
2017-05-01,Unemployment,0.085459,0.914541
2017-06-01,Employment,0.953773,0.046227
2017-06-01,Unemployment,0.082019,0.917981
2017-07-01,Employment,0.958809,0.041191
2017-07-01,Unemployment,0.081663,0.918337
2017-08-01,Employment,0.957414,0.042586
2017-08-01,Unemployment,0.081332,0.918668
2017-09-01,Employment,0.954739,0.045261
2017-09-01,Unemployment,0.071141,0.928859
2017-10-01,Employment,0.961495,0.038505
2017-10-01,Unemployment,0.095069,0.904931
2017-11-01,Employment,0.964747,0.035253
2017-11-01,Unemployment,0.111581,0.888419
2017-12-01,Employment,0.959236,0.040764
2017-12-01,Unemployment,0.103562,0.896438
2018-01-01,Employment,0.942039,0.057961
2018-01-01,Unemployment,0.111624,0.888376
2018-02-01,Employment,0.9446,0.0554
2018-02-01,Unemployment,0.091248,0.908752
2018-03-01,Employment,0.942385,0.057615
2018-03-01,Unemployment,0.10952,0.89048
2018-04-01,Employment,0.943498,0.056502
2018-04-01,Unemployment,0.091748,0.908252
2018-05-01,Employment,0.946937,0.053063
2018-05-01,Unemployment,0.080324,0.919676
2018-06-01,Employment,0.955824,0.044176
2018-06-01,Unemployment,0.084168,0.915832
2018-07-01,Employment,0.959233,0.040767
2018-07-01,Unemployment,0.07658,0.92342
2018-08-01,Employment,0.960778,0.039222
2018-08-01,Unemployment,0.084477,0.915523
2018-09-01,Employment,0.954479,0.045521
2018-09-01,Unemployment,0.067326,0.932674
2018-10-01,Employment,0.96412,0.03588
2018-10-01,Unemployment,0.100448,0.899552
2018-11-01,Employment,0.965382,0.034618
2018-11-01,Unemployment,0.111123,0.888877
2018-12-01,Employment,0.961302,0.038698
2018-12-01,Unemployment,0.104232,0.895768
2019-01-01,Employment,0.943745,0.056255
2019-01-01,Unemployment,0.11111,0.88889
2019-02-01,Employment,0.950469,0.049531
2019-02-01,Unemployment,0.093497,0.906503
2019-03-01,Employment,0.944699,0.055301
2019-03-01,Unemployment,0.106648,0.893352
2019-04-01,Employment,0.947662,0.052338
2019-04-01,Unemployment,0.09124,0.90876
2019-05-01,Employment,0.950834,0.049166
2019-05-01,Unemployment,0.079786,0.920214
2019-06-01,Employment,0.957468,0.042532
2019-06-01,Unemployment,0.082252,0.917748
2019-07-01,Employment,0.96233,0.03767
2019-07-01,Unemployment,0.082123,0.917877
2019-08-01,Employment,0.961458,0.038542
2019-08-01,Unemployment,0.084222,0.915778
2019-09-01,Employment,0.957524,0.042476
2019-09-01,Unemployment,0.067969,0.932031
2019-10-01,Employment,0.964736,0.035264
2019-10-01,Unemployment,0.093923,0.906077
2019-11-01,Employment,0.965556,0.034444
2019-11-01,Unemployment,0.10596,0.89404
2019-12-01,Employment,0.962935,0.037065
2019-12-01,Unemployment,0.105323,0.894677
2020-01-01,Employment,0.945669,0.054331
2020-01-01,Unemployment,0.109318,0.890682
2020-02-01,Employment,0.95256,0.04744
2020-02-01,Unemployment,0.094819,0.905181
2020-03-01,Employment,0.946702,0.053298
2020-03-01,Unemployment,0.090164,0.909836
2020-04-01,Employment,0.919104,0.080896
2020-04-01,Unemployment,0.049914,0.950086
2020-05-01,Employment,0.942951,0.057049
2020-05-01,Unemployment,0.053269,0.946731
2020-06-01,Employment,0.958385,0.041615
2020-06-01,Unemployment,0.057738,0.942262
2020-07-01,Employment,0.967853,0.032147
2020-07-01,Unemployment,0.058129,0.941871
2020-08-01,Employment,0.967729,0.032271
2020-08-01,Unemployment,0.062987,0.937013
2020-09-01,Employment,0.96389,0.03611
2020-09-01,Unemployment,0.070077,0.929923
2020-10-01,Employment,0.968696,0.031304
2020-10-01,Unemployment,0.118211,0.881789
2020-11-01,Employment,0.970525,0.029475
2020-11-01,Unemployment,0.121927,0.878073
2020-12-01,Employment,0.964839,0.035161
2020-12-01,Unemployment,0.103926,0.896074
2021-01-01,Employment,0.951054,0.048946
2021-01-01,Unemployment,0.10345,0.89655
2021-02-01,Employment,0.956241,0.043759
2021-02-01,Unemployment,0.092038,0.907962
2021-03-01,Employment,0.954145,0.045855
2021-03-01,Unemployment,0.107687,0.892313
2021-04-01,Employment,0.953766,0.046234
2021-04-01,Unemployment,0.086144,0.913856
2021-05-01,Employment,0.956556,0.043444
2021-05-01,Unemployment,0.074587,0.925413
2021-06-01,Employment,0.962282,0.037718
2021-06-01,Unemployment,0.080346,0.919654
2021-07-01,Employment,0.968555,0.031445
2021-07-01,Unemployment,0.087034,0.912966
2021-08-01,Employment,0.964608,0.035392
2021-08-01,Unemployment,0.114976,0.885024
2021-09-01,Employment,0.963898,0.036102
2021-09-01,Unemployment,0.103966,0.896034
2021-10-01,Employment,0.965661,0.034339
2021-10-01,Unemployment,0.108613,0.891387
2021-11-01,Employment,0.96833,0.03167
2021-11-01,Unemployment,0.134169,0.865831
2021-12-01,Employment,0.96601,0.03399
2021-12-01,Unemployment,0.129062,0.870938
2022-01-01,Employment,0.950594,0.049406
2022-01-01,Unemployment,0.133196,0.866804
2022-02-01,Employment,0.952871,0.047129
2022-02-01,Unemployment,0.117939,0.882061
2022-03-01,Employment,0.952414,0.047586
2022-03-01,Unemployment,0.150066,0.849934
2022-04-01,Employment,0.95227,0.04773
2022-04-01,Unemployment,0.122365,0.877635
2022-05-01,Employment,0.959144,0.040856
2022-05-01,Unemployment,0.116075,0.883925
2022-06-01,Employment,0.960924,0.039076
2022-06-01,Unemployment,0.107436,0.892564
2022-07-01,Employment,0.964171,0.035829
2022-07-01,Unemployment,0.10707,0.89293
2022-08-01,Employment,0.965718,0.034282
2022-08-01,Unemployment,0.115234,0.884766
2022-09-01,Employment,0.963,0.037
2022-09-01,Unemployment,0.100085,0.899915
2022-10-01,Employment,0.965979,0.034021
2022-10-01,Unemployment,0.122871,0.877129
2022-11-01,Employment,0.970032,0.029968
2022-11-01,Unemployment,0.158547,0.841453
2022-12-01,Employment,0.966941,0.033059
2022-12-01,Unemployment,0.147345,0.852655
2023-01-01,Employment,0.945401,0.054599
2023-01-01,Unemployment,0.147426,0.852574
2023-02-01,Employment,0.955805,0.044195
2023-02-01,Unemployment,0.129147,0.870853
2023-03-01,Employment,0.955235,0.044765
2023-03-01,Unemployment,0.157938,0.842062
2023-04-01,Employment,0.954714,0.045286
2023-04-01,Unemployment,0.127039,0.872961
2023-05-01,Employment,0.963175,0.036825
2023-05-01,Unemployment,0.126718,0.873282
2023-06-01,Employment,0.963566,0.036434
2023-06-01,Unemployment,0.119095,0.880905
2023-07-01,Employment,0.966273,0.033727
2023-07-01,Unemployment,0.120895,0.879105
2023-08-01,Employment,0.967628,0.032372
2023-08-01,Unemployment,0.126744,0.873256
2023-09-01,Employment,0.965242,0.034758
2023-09-01,Unemployment,0.110386,0.889614
2023-10-01,Employment,0.970345,0.029655
2023-10-01,Unemployment,0.14512,0.85488
2023-11-01,Employment,0.971255,0.028745
2023-11-01,Unemployment,0.165485,0.834515
2023-12-01,Employment,0.970009,0.029991
2023-12-01,Unemployment,0.188502,0.811498
2024-01-01,Employment,0.958346,0.041654
2024-01-01,Unemployment,0.188056,0.811944
2024-02-01,Employment,0.958349,0.041651
2024-02-01,Unemployment,0.159426,0.840574
2024-03-01,Employment,0.959043,0.040957
2024-03-01,Unemployment,0.192982,0.807018
2024-04-01,Employment,0.9624,0.0376
2024-04-01,Unemployment,0.17141,0.82859
2024-05-01,Employment,0.965445,0.034555
2024-05-01,Unemployment,0.162017,0.837983
2024-06-01,Employment,0.968048,0.031952
2024-06-01,Unemployment,0.158087,0.841913
2024-07-01,Employment,0.97379,0.02621
2024-07-01,Unemployment,0.185975,0.814025
2024-08-01,Employment,0.973485,0.026515
2024-08-01,Unemployment,0.183321,0.816679
2024-09-01,Employment,0.972404,0.027596
2024-09-01,Unemployment,0.171494,0.828506
2024-10-01,Employment,0.979013,0.020987
2024-10-01,Unemployment,0.250306,0.749694
2024-11-01,Employment,0.980994,0.019006
2024-11-01,Unemployment,0.33203,0.66797
2024-12-01,Employment,0.982283,0.017717
2024-12-01,Unemployment,0.38198,0.61802
2025-01-01,Employment,0.976844,0.023156
2025-01-01,Unemployment,0.463941,0.536059
2025-02-01,Employment,0.987675,0.012325
2025-02-01,Unemployment,0.531744,0.468256
2025-03-01,Employment,1.0,0.0
2025-03-01,Unemployment,1.0,0.0
