Sector From,Sector To,Cantidad Trabajadores,Total trabajadores que se movieron
"Transport, communications and information services","Wholesale and retail trade, accommodation and food services",17209,649098
"Transport, communications and information services",Construction,13741,649098
"Transport, communications and information services",Personal services,9846,649098
"Transport, communications and information services",Financial intermediation,9773,649098
"Transport, communications and information services",Manufacturing,7750,649098
"Transport, communications and information services","Agriculture, forestry and fishing",4290,649098
"Transport, communications and information services",Mining,1890,649098
"Transport, communications and information services","Electricity, gas, water and waste management",1420,649098
"Transport, communications and information services",Real estate and housing services,858,649098
"Transport, communications and information services",Public administration,489,649098
Unemployment,Construction,1374379,6513854
Unemployment,"Wholesale and retail trade, accommodation and food services",1161551,6513854
Unemployment,Business services,1049866,6513854
Unemployment,Personal services,693071,6513854
Unemployment,"Agriculture, forestry and fishing",669152,6513854
Unemployment,Manufacturing,553939,6513854
Unemployment,"Transport, communications and information services",507708,6513854
Unemployment,Financial intermediation,191825,6513854
Unemployment,Mining,148203,6513854
Unemployment,Public administration,68048,6513854
Unemployment,"Electricity, gas, water and waste management",53069,6513854
Unemployment,Real estate and housing services,43043,6513854
"Wholesale and retail trade, accommodation and food services",Unemployment,1337178,1499432
"Wholesale and retail trade, accommodation and food services",Business services,44587,1499432
"Wholesale and retail trade, accommodation and food services",Manufacturing,25418,1499432
"Wholesale and retail trade, accommodation and food services",Personal services,21739,1499432
"Wholesale and retail trade, accommodation and food services",Construction,19713,1499432
"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",18055,1499432
"Wholesale and retail trade, accommodation and food services",Financial intermediation,14574,1499432
"Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",10210,1499432
"Wholesale and retail trade, accommodation and food services",Real estate and housing services,2611,1499432
"Wholesale and retail trade, accommodation and food services",Mining,2492,1499432
"Wholesale and retail trade, accommodation and food services","Electricity, gas, water and waste management",1476,1499432
"Wholesale and retail trade, accommodation and food services",Public administration,1379,1499432
