Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_MA3
2012-01-01,877808.73,2012,1,945680.0333333333
2012-02-01,869249.09,2012,2,921412.6833333332
2012-03-01,875227.49,2012,3,874095.1033333332
2012-04-01,884015.86,2012,4,876164.1466666666
2012-05-01,879696.9,2012,5,879646.75
2012-06-01,885186.95,2012,6,882966.57
2012-07-01,1044422.88,2012,7,936435.5766666667
2012-08-01,1038123.61,2012,8,989244.48
2012-09-01,1089763.24,2012,9,1057436.5766666667
2012-10-01,1037963.15,2012,10,1055283.3333333333
2012-11-01,945474.69,2012,11,1024400.3599999999
2012-12-01,1012840.77,2012,12,998759.5366666666
2013-01-01,1086790.25,2013,1,1015035.2366666667
2013-02-01,1072252.64,2013,2,1057294.5533333335
2013-03-01,1075030.66,2013,3,1078024.5166666666
2013-04-01,1086005.7,2013,4,1077763.0
2013-05-01,1080309.95,2013,5,1080448.77
2013-06-01,1072968.98,2013,6,1079761.5433333332
2013-07-01,1100133.73,2013,7,1084470.8866666665
2013-08-01,1098668.48,2013,8,1090590.3966666667
2013-09-01,1039682.39,2013,9,1079494.8666666667
2013-10-01,998630.52,2013,10,1045660.4633333334
2013-11-01,998071.91,2013,11,1012128.2733333334
2013-12-01,1055894.84,2013,12,1017532.4233333333
2014-01-01,1020132.58,2014,1,1024699.7766666667
2014-02-01,1009082.18,2014,2,1028369.8666666667
2014-03-01,1000042.16,2014,3,1009752.3066666666
2014-04-01,1001464.81,2014,4,1003529.7166666667
2014-05-01,996032.65,2014,5,999179.8733333334
2014-06-01,995218.46,2014,6,997571.9733333333
2014-07-01,978761.16,2014,7,990004.09
2014-08-01,976713.77,2014,8,983564.4633333334
2014-09-01,1016471.73,2014,9,990648.8866666667
2014-10-01,963222.55,2014,10,985469.35
2014-11-01,973462.73,2014,11,984385.6699999999
2014-12-01,1038008.86,2014,12,991564.7133333333
2015-01-01,999495.32,2015,1,1003655.6366666667
2015-02-01,988288.64,2015,2,1008597.6066666668
2015-03-01,989061.79,2015,3,992281.9166666666
2015-04-01,988540.38,2015,4,988630.27
2015-05-01,980216.78,2015,5,985939.65
2015-06-01,977212.54,2015,6,981989.9
2015-07-01,1028907.16,2015,7,995445.4933333335
2015-08-01,1016113.9,2015,8,1007411.2000000001
2015-09-01,1059631.12,2015,9,1034884.06
2015-10-01,1013308.25,2015,10,1029684.4233333335
2015-11-01,1017040.31,2015,11,1029993.2266666669
2015-12-01,1090139.76,2015,12,1040162.7733333334
2016-01-01,1017030.17,2016,1,1041403.4133333334
2016-02-01,1005558.29,2016,2,1037576.0733333334
2016-03-01,1011674.61,2016,3,1011421.0233333334
2016-04-01,1006874.98,2016,4,1008035.9600000001
2016-05-01,998256.81,2016,5,1005602.1333333334
2016-06-01,994610.64,2016,6,999914.1433333334
2016-07-01,1044365.94,2016,7,1012411.13
2016-08-01,1040537.47,2016,8,1026504.6833333335
2016-09-01,1083734.31,2016,9,1056212.5733333335
2016-10-01,1038128.95,2016,10,1054133.576666667
2016-11-01,1049747.56,2016,11,1057203.6066666667
2016-12-01,1118079.81,2016,12,1068652.1066666667
2017-01-01,1041639.9,2017,1,1069822.4233333336
2017-02-01,1029763.23,2017,2,1063160.9800000002
2017-03-01,1032565.27,2017,3,1034656.1333333334
2017-04-01,1035483.6,2017,4,1032604.0333333336
2017-05-01,1028872.76,2017,5,1032307.2100000003
2017-06-01,1030395.19,2017,6,1031583.8500000002
2017-07-01,1037673.71,2017,7,1032313.8866666667
2017-08-01,1036887.27,2017,8,1034985.3900000001
2017-09-01,1086173.63,2017,9,1053578.2033333334
2017-10-01,1036455.64,2017,10,1053172.1800000002
2017-11-01,1043947.95,2017,11,1055525.74
2017-12-01,1103128.16,2017,12,1061177.2500000002
2018-01-01,1064686.17,2018,1,1070587.4266666668
2018-02-01,1054283.71,2018,2,1074032.6800000002
2018-03-01,1060042.97,2018,3,1059670.9500000002
2018-04-01,1055922.68,2018,4,1056749.7866666669
2018-05-01,1050840.01,2018,5,1055601.8866666667
2018-06-01,1047240.4,2018,6,1051334.3633333335
2018-07-01,1052927.75,2018,7,1050336.0533333335
2018-08-01,1087394.4,2018,8,1062520.85
2018-09-01,1140514.07,2018,9,1093612.0733333335
2018-10-01,1093760.09,2018,10,1107222.8533333335
2018-11-01,1106654.28,2018,11,1113642.8133333335
2018-12-01,1289271.08,2018,12,1163228.4833333334
2019-01-01,1235727.44,2019,1,1210550.9333333336
2019-02-01,1214657.95,2019,2,1246552.1566666667
2019-03-01,1198359.59,2019,3,1216248.326666667
2019-04-01,1195106.61,2019,4,1202708.05
2019-05-01,1184104.25,2019,5,1192523.4833333336
2019-06-01,1080161.98,2019,6,1153124.28
2019-07-01,1187482.35,2019,7,1150582.86
2019-08-01,1183713.05,2019,8,1150452.4600000002
2019-09-01,1249649.85,2019,9,1206948.416666667
2019-10-01,1184022.43,2019,10,1205795.11
2019-11-01,1198092.81,2019,11,1210588.3633333335
2019-12-01,1274511.8,2019,12,1218875.68
2020-01-01,1263615.77,2020,1,1245406.7933333337
2020-02-01,1239155.8,2020,2,1259094.4566666668
2020-03-01,1259190.33,2020,3,1253987.3
2020-04-01,1260445.91,2020,4,1252930.6800000004
2020-05-01,1245159.56,2020,5,1254931.9333333336
2020-06-01,1246344.36,2020,6,1250649.9433333336
2020-07-01,1250053.43,2020,7,1247185.7833333334
2020-08-01,1248686.76,2020,8,1248361.5166666668
2020-09-01,1298064.93,2020,9,1265601.7066666668
2020-10-01,1221465.53,2020,10,1256072.406666667
2020-11-01,1226263.59,2020,11,1248598.0166666668
2020-12-01,1297324.05,2020,12,1248351.0566666669
2021-01-01,1240968.34,2021,1,1254851.9933333334
2021-02-01,1221308.38,2021,2,1253200.2566666668
2021-03-01,1248118.71,2021,3,1236798.4766666668
2021-04-01,1230370.25,2021,4,1233265.7800000003
2021-05-01,1226772.91,2021,5,1235087.2900000003
2021-06-01,1234688.11,2021,6,1230610.4233333336
2021-07-01,1244916.08,2021,7,1235459.0333333334
2021-08-01,1230871.33,2021,8,1236825.1733333336
2021-09-01,1272883.62,2021,9,1249557.01
2021-10-01,1213505.08,2021,10,1239086.6766666668
2021-11-01,1222896.2,2021,11,1236428.3
2021-12-01,1311319.51,2021,12,1249240.2633333334
2022-01-01,1246413.38,2022,1,1260209.6966666665
2022-02-01,1228383.68,2022,2,1262038.8566666667
2022-03-01,1233960.17,2022,3,1236252.4100000001
2022-04-01,1214564.73,2022,4,1225636.1933333336
2022-05-01,1232705.76,2022,5,1227076.8866666667
2022-06-01,1225923.77,2022,6,1224398.086666667
2022-07-01,1229454.22,2022,7,1229361.2500000002
2022-08-01,1224985.75,2022,8,1226787.9133333333
2022-09-01,1277011.98,2022,9,1243817.316666667
2022-10-01,1223858.23,2022,10,1241951.9866666668
2022-11-01,1226655.71,2022,11,1242508.6400000001
2022-12-01,1199714.96,2022,12,1216742.9666666668
2023-01-01,1153143.23,2023,1,1193171.3
2023-02-01,1142869.35,2023,2,1165242.5133333334
2023-03-01,1142371.35,2023,3,1146127.9766666668
2023-04-01,1146113.56,2023,4,1143784.7533333336
2023-05-01,1199487.63,2023,5,1162657.5133333334
2023-06-01,1203187.05,2023,6,1182929.4133333333
2023-07-01,1202277.31,2023,7,1201650.6633333333
2023-08-01,1202342.3,2023,8,1202602.2200000002
2023-09-01,1224017.98,2023,9,1209545.8633333335
2023-10-01,1178268.65,2023,10,1201542.9766666668
2023-11-01,1174735.84,2023,11,1192340.8233333335
2023-12-01,1255915.96,2023,12,1202973.4833333334
2024-01-01,1208739.5,2024,1,1213130.4333333336
2024-02-01,1190656.76,2024,2,1218437.406666667
2024-03-01,1197457.46,2024,3,1198951.2400000002
2024-04-01,1194298.21,2024,4,1194137.4766666668
2024-05-01,1196740.75,2024,5,1196165.4733333334
2024-06-01,1199321.28,2024,6,1196786.7466666668
2024-07-01,1235738.09,2024,7,1210600.0400000003
2024-08-01,1230364.75,2024,8,1221808.0400000003
2024-09-01,1283711.32,2024,9,1249938.0533333337
2024-10-01,1228906.25,2024,10,1247660.7733333334
2024-11-01,1240218.53,2024,11,1250945.366666667
2024-12-01,1440684.09,2024,12,1303269.6233333333
2025-01-01,1390713.75,2025,1,1357205.4566666668
2025-02-01,1369257.75,2025,2,1400218.5300000003
2025-03-01,1384184.56,2025,3,1381385.3533333335
