index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_MA3,Avg_Taxable_Income_MA3_sa,Avg_Taxable_Income_MA3_trend
24,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",336410.57,2010,3,331649.87666666665,336839.8921929892,331762.5877777778
25,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",337734.3,2010,4,334187.48666666663,339564.6164030586,333479.7141666667
26,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",336892.04,2010,5,337012.3033333333,339965.54486660025,335373.9766666667
27,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",334085.08,2010,6,336237.13999999996,343025.4492502808,337634.1348611111
28,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",336805.58,2010,7,335927.56666666665,341252.46280062804,340393.2959722222
29,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",338792.2,2010,8,336560.95333333337,341436.3944759753,343580.5320833333
30,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",357023.18,2010,9,344206.98666666663,337410.9888371885,347000.5315277777
31,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",341247.2,2010,10,345687.5266666667,340394.5711600031,350472.4204166666
32,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",345381.12,2010,11,347883.8333333333,344863.0196322252,353988.155
33,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",381116.44,2010,12,355914.92,350927.5556565308,357497.8805555556
34,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",369148.83,2011,1,365215.4633333334,359652.9732433364,361121.7504166667
35,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",367788.54,2011,2,372684.60333333333,367835.19148118363,365009.60805555555
36,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",383038.57,2011,3,373325.3133333333,378515.3288596558,369111.9199999999
37,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",376685.04,2011,4,375837.3833333333,381214.51306972525,373284.06319444434
38,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",379496.5,2011,5,379740.0366666666,382693.2781999336,377417.2256944444
39,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",377046.92,2011,6,377742.82,384531.12925028085,381381.0525
40,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",387640.87,2011,7,381394.76333333337,386719.65946729475,384726.30902777775
41,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",388519.23,2011,8,384402.34,389277.78114264196,387245.4794444444
42,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",408303.16,2011,9,394821.08666666667,388025.08883718855,389069.75458333327
43,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",388792.2,2011,10,395204.8633333333,389911.9078266697,390587.3398611111
44,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",395591.83,2011,11,397562.39666666667,394541.58296555857,392011.2911111112
45,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",419720.57,2011,12,401368.2,396380.8356565308,393325.3984722222
46,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",384832.62,2012,1,400048.34,394485.8499100031,395341.5326388889
47,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",390382.26,2012,2,398311.81666666665,393462.40481451695,398833.48111111106
48,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",399227.23,2012,3,391480.7033333333,396670.71885965584,403961.4388888889
49,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",392702.63,2012,4,394104.04000000004,399481.169736392,409965.8822222223
50,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",395014.77,2012,5,395648.21,398601.451533267,415692.48930555553
51,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",392402.27,2012,6,393373.2233333334,400161.53258361423,420692.2968055555
52,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",455037.7,2012,7,414151.58,419476.4761339614,425490.14097222214
53,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",458916.89,2012,8,435452.2866666666,440327.72780930856,430975.89652777766
54,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",486571.79,2012,9,466842.12666666665,460046.12883718853,437419.0215277777
55,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",456382.71,2012,10,467290.4633333334,461997.5078266698,444466.8354166666
56,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",445791.6,2012,11,462915.3666666667,459894.5529655586,451692.1368055555
57,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",465857.52,2012,12,456010.61000000004,451023.24565653084,459028.84597222204
58,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",470013.45,2013,1,460554.19,454991.69991000305,465594.6415277777
59,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",472521.33,2013,2,469464.10000000003,464614.68814785033,470619.6843055555
60,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",482355.48,2013,3,474963.42,480153.4355263225,473866.11805555556
61,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",484429.76,2013,4,479768.8566666667,485145.98640305863,475870.40819444443
62,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",483386.64,2013,5,483390.62666666665,486343.8681999336,477653.91555555555
63,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",477319.08,2013,6,481711.82666666666,488500.1359169475,479803.6491666666
64,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",489470.49,2013,7,483392.07,488716.9661339614,482248.25875
65,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",493648.9,2013,8,486812.8233333333,491688.26447597524,484382.6355555555
66,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",497068.61,2013,9,493396.0,486600.0021705219,486034.89874999993
67,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",475801.15,2013,10,488839.5533333333,483546.5978266697,487447.9980555555
68,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",479641.6,2013,11,484170.45333333337,481149.63963222527,488848.94944444444
69,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",503604.64,2013,12,486349.12999999995,481361.76565653074,490199.93680555554
70,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",483412.66,2014,1,488886.3,483323.80991000304,491060.6243055556
71,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",490053.8,2014,2,492357.03333333327,487507.62148118357,490974.71138888877
72,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",501707.95,2014,3,491724.8033333334,496914.81885965593,490128.64902777766
73,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",499003.82,2014,4,496921.8566666667,502298.98640305863,489293.9174999999
74,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",498869.61,2014,5,499860.45999999996,502813.7015332669,489058.73249999987
75,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",495123.64,2014,6,497665.69,504453.99925028085,489265.5905555555
76,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",470290.87,2014,7,488094.7066666666,493419.602800628,489632.7693055555
77,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",474730.32,2014,8,480048.2766666667,484923.7178093086,490014.9283333333
78,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",494543.96,2014,9,479855.05,473059.05217052187,490340.97847222217
79,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",477766.56,2014,10,482346.9466666667,477053.9911600031,490590.07166666666
80,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",482745.34,2014,11,485018.62000000005,481997.80629889196,490786.5429166666
81,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",510884.77,2014,12,490465.5566666667,485478.1923231975,490912.4830555555
82,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",487116.38,2015,1,493582.16333333333,488019.6732433364,491938.6158333333
83,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",492497.81,2015,2,496832.98666666663,491983.57481451693,494858.192361111
84,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",505607.97,2015,3,495074.0533333333,500264.0688596558,499809.1468055555
85,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",500546.75,2015,4,499550.8433333333,504927.97306972527,505866.4808333333
86,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",499685.63,2015,5,501946.7833333334,504900.02486660035,511951.5569444444
87,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",495573.41,2015,6,498601.93,505390.23925028084,517979.0494444444
88,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",540097.92,2015,7,511785.6533333333,517110.5494672947,523510.11083333334
89,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",543610.17,2015,8,526427.1666666666,531302.6078093086,528146.9447222222
90,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",573189.11,2015,9,552299.0666666668,545503.0688371886,531880.1969444444
91,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",549037.56,2015,10,555278.9466666667,549985.991160003,535107.2037499999
92,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",552158.67,2015,11,558128.4466666667,555107.6329655586,538276.728611111
93,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",584850.42,2015,12,562015.5499999999,557028.1856565308,541337.2140277777
94,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",527323.84,2016,1,554777.6433333333,549215.1532433364,544285.2981944444
95,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",528590.3,2016,2,546921.5199999999,542072.1081478503,547232.7788888889
96,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",547836.58,2016,3,534583.5733333332,539773.5888596558,550180.0844444443
97,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",536041.58,2016,4,537489.4866666667,542866.6164030586,553017.7947222221
98,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",536352.05,2016,5,540076.7366666666,543029.9781999335,555789.7620833333
99,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",529377.25,2016,6,533923.6266666666,540711.9359169474,558593.396111111
100,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",575924.63,2016,7,547217.9766666666,552542.872800628,561494.3293055556
101,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",579901.26,2016,8,561734.38,566609.821142642,564488.0054166666
102,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",607355.67,2016,9,587727.1866666666,580931.1888371885,567385.1693055555
103,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",576610.69,2016,10,587955.8733333333,582662.9178266696,570183.5333333333
104,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",591969.85,2016,11,591978.7366666667,588957.9229655586,572947.6433333333
105,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",617776.89,2016,12,595452.4766666667,590465.1123231975,575741.8968055556
106,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",563142.6,2017,1,590963.1133333333,585400.6232433363,578006.3333333334
107,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",566833.34,2017,2,582584.2766666666,577734.864814517,579100.121388889
108,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",575382.31,2017,3,568452.75,573642.7655263225,579088.9202777778
109,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",570127.49,2017,4,570781.0466666666,576158.1764030586,578694.6330555556
110,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",573861.65,2017,5,573123.8166666665,576077.0581999335,578421.5544444444
111,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",559826.75,2017,6,567938.6299999999,574726.9392502807,578330.4984722222
112,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",568959.95,2017,7,567549.4500000001,572874.3461339615,578826.607361111
113,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",574174.76,2017,8,567653.82,572529.2611426419,580146.2894444445
114,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",601482.05,2017,9,581538.9199999999,574742.9221705218,582230.9065277778
115,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",578386.93,2017,10,584681.2466666667,579388.291160003,584697.28125
116,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",586229.45,2017,11,588699.4766666667,585678.6629655586,587278.743888889
117,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",625022.8,2017,12,596546.3933333333,591559.0289898642,589975.4613888889
118,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",594075.18,2018,1,601775.81,596213.3199100031,592627.5931944444
119,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",591233.87,2018,2,603443.95,598594.5381478503,595796.28
120,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",607562.61,2018,3,597623.8866666666,602813.9021929891,600267.7258333332
121,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",603612.23,2018,4,600802.9033333333,606180.0330697253,606064.7438888887
122,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",603996.35,2018,5,605057.0633333332,608010.3048666002,612453.4140277777
123,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",594571.23,2018,6,600726.6033333333,607514.9125836141,619028.521111111
124,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",596670.34,2018,7,598412.64,603737.5361339614,626083.3234722223
125,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",647275.77,2018,8,612839.1133333333,617714.5544759752,633747.6933333334
126,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",687058.87,2018,9,643668.3266666665,636872.3288371884,641323.2127777777
127,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",650706.18,2018,10,661680.2733333333,656387.3178266697,648200.4913888888
128,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",657320.55,2018,11,665028.5333333333,662007.7196322252,654559.3855555556
129,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",726032.99,2018,12,678019.9066666666,673032.5423231975,660277.4204166667
130,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",685499.12,2019,1,689617.5533333333,684055.0632433364,665589.0455555556
131,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",687109.14,2019,2,699547.0833333334,694697.6714811837,670132.6334722223
132,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",677391.4,2019,3,683333.22,688523.2355263225,673814.7434722221
133,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",675944.23,2019,4,680148.2566666667,685525.3864030587,676800.4713888889
134,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",681639.88,2019,5,678325.1699999999,681278.4115332669,679280.8018055555
135,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",636489.89,2019,6,664691.3333333334,671479.6425836142,681422.5923611112
136,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",667650.97,2019,7,661926.9133333333,667251.8094672947,683469.7319444445
137,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",670971.99,2019,8,658370.95,663246.3911426419,686174.4761111111
138,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",720898.43,2019,9,686507.13,679711.1321705219,690313.7188888888
139,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",679626.4,2019,10,690498.94,685205.9844933363,696209.6602777778
140,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",686688.56,2019,11,695737.7966666667,692716.9829655587,703309.6690277777
141,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",729825.89,2019,12,698713.6166666667,693726.2523231976,711611.6268055554
142,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",737651.13,2020,1,718055.1933333334,712492.7032433364,720477.1759722221
143,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",740592.89,2020,2,736023.3033333333,731173.8914811837,729242.5036111112
144,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",760352.46,2020,3,746198.8266666667,751388.8421929892,737313.2940277777
145,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",775410.38,2020,4,758785.2433333333,764162.3730697252,744317.1456944444
146,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",774502.34,2020,5,770088.3933333332,773041.6348666002,750517.2854166667
147,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",766612.57,2020,6,772175.0966666667,778963.4059169475,756220.8884722221
148,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",760534.08,2020,7,767216.33,772541.2261339613,761165.1127777776
149,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",763201.54,2020,8,763449.3966666666,768324.8378093085,764634.9993055556
150,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",801647.34,2020,9,775127.6533333333,768331.6555038552,766287.1312499999
151,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",745063.69,2020,10,769970.8566666666,764677.9011600029,766541.7481944445
152,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",748496.67,2020,11,765069.2333333333,762048.4196322252,766300.0361111109
153,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",805245.6,2020,12,766268.6533333333,761281.2889898642,766026.4527777777
154,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",753742.35,2021,1,769161.54,763599.0499100031,766418.0134722223
155,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",745594.75,2021,2,768194.2333333333,763344.8214811836,767769.1422222222
156,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",761700.09,2021,3,753679.0633333331,758869.0788596557,769684.1059722223
157,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",764952.6,2021,4,757415.8133333334,762792.9430697253,772074.9791666665
158,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",770317.51,2021,5,765656.7333333333,768609.9748666002,775240.5426388888
159,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",774852.16,2021,6,770040.7566666667,776829.0659169476,779615.17625
160,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",791074.71,2021,7,778748.1266666666,784073.022800628,784965.6801388888
161,2021-08-01,2021-08-01,1,"Agriculture, forestry and fishing",787107.2,2021,8,784344.69,789220.1311426419,790873.539861111
162,2021-09-01,2021-09-01,1,"Agriculture, forestry and fishing",822392.56,2021,9,800191.4899999999,793395.4921705218,797206.455
163,2021-10-01,2021-10-01,1,"Agriculture, forestry and fishing",797364.17,2021,10,802287.9766666666,796995.0211600029,803768.9094444443
164,2021-11-01,2021-11-01,1,"Agriculture, forestry and fishing",806420.18,2021,11,808725.6366666667,805704.8229655586,810864.9080555554
165,2021-12-01,2021-12-01,1,"Agriculture, forestry and fishing",879026.02,2021,12,827603.4566666667,822616.0923231975,818680.2097222221
166,2022-01-01,2022-01-01,1,"Agriculture, forestry and fishing",823270.29,2022,1,836238.8300000001,830676.3399100031,827060.8422222221
167,2022-02-01,2022-02-01,1,"Agriculture, forestry and fishing",826420.42,2022,2,842905.5766666667,838056.164814517,835707.6698611111
168,2022-03-01,2022-03-01,1,"Agriculture, forestry and fishing",843182.34,2022,3,830957.6833333332,836147.6988596558,844608.7852777778
169,2022-04-01,2022-04-01,1,"Agriculture, forestry and fishing",843305.54,2022,4,837636.1,843013.2297363919,853991.1318055554
170,2022-05-01,2022-05-01,1,"Agriculture, forestry and fishing",880733.36,2022,5,855740.4133333332,858693.6548666002,863714.8977777777
171,2022-06-01,2022-06-01,1,"Agriculture, forestry and fishing",878534.05,2022,6,867524.3166666668,874312.6259169476,872989.11
172,2022-07-01,2022-07-01,1,"Agriculture, forestry and fishing",887931.83,2022,7,882399.7466666667,887724.6428006281,881285.5766666667
173,2022-08-01,2022-08-01,1,"Agriculture, forestry and fishing",898184.92,2022,8,888216.9333333332,893092.3744759752,888711.3374999999
174,2022-09-01,2022-09-01,1,"Agriculture, forestry and fishing",943721.3,2022,9,909946.0166666666,903150.0188371885,895618.4243055554
175,2022-10-01,2022-10-01,1,"Agriculture, forestry and fishing",911223.08,2022,10,917709.7666666666,912416.811160003,902405.2980555553
176,2022-11-01,2022-11-01,1,"Agriculture, forestry and fishing",925078.31,2022,11,926674.23,923653.4162988919,909704.0581944442
177,2022-12-01,2022-12-01,1,"Agriculture, forestry and fishing",960406.48,2022,12,932235.9566666667,927248.5923231975,918172.1888888887
178,2023-01-01,2023-01-01,1,"Agriculture, forestry and fishing",906679.8,2023,1,930721.5299999999,925159.039910003,927616.8802777778
179,2023-02-01,2023-02-01,1,"Agriculture, forestry and fishing",912837.13,2023,2,926641.1366666666,921791.724814517,937143.7140277778
180,2023-03-01,2023-03-01,1,"Agriculture, forestry and fishing",919459.69,2023,3,912992.2066666665,918182.2221929891,945686.7551388888
181,2023-04-01,2023-04-01,1,"Agriculture, forestry and fishing",923162.82,2023,4,918486.5466666665,923863.6764030585,952934.851111111
182,2023-05-01,2023-05-01,1,"Agriculture, forestry and fishing",1007558.12,2023,5,950060.21,953013.4515332669,958902.9299999998
183,2023-06-01,2023-06-01,1,"Agriculture, forestry and fishing",998598.03,2023,6,976439.6566666666,983227.9659169475,964583.5315277778
184,2023-07-01,2023-07-01,1,"Agriculture, forestry and fishing",994314.85,2023,7,1000157.0,1005481.8961339614,971153.4091666666
185,2023-08-01,2023-08-01,1,"Agriculture, forestry and fishing",1004398.19,2023,8,999103.69,1003979.1311426419,978611.6843055555
186,2023-09-01,2023-09-01,1,"Agriculture, forestry and fishing",1013563.7,2023,9,1004092.2466666666,997296.2488371885,986433.8044444445
187,2023-10-01,2023-10-01,1,"Agriculture, forestry and fishing",974591.63,2023,10,997517.8399999999,992224.8844933362,994188.5022222222
188,2023-11-01,2023-11-01,1,"Agriculture, forestry and fishing",982144.82,2023,11,990100.0499999998,987079.2362988917,1000955.4731944443
189,2023-12-01,2023-12-01,1,"Agriculture, forestry and fishing",1058697.27,2023,12,1005144.5733333332,1000157.2089898641,1005835.3430555555
190,2024-01-01,2024-01-01,1,"Agriculture, forestry and fishing",1005627.84,2024,1,1015489.9766666666,1009927.4865766696,1009339.552361111
191,2024-02-01,2024-02-01,1,"Agriculture, forestry and fishing",998288.77,2024,2,1020871.2933333333,1016021.8814811837,1012944.1227777776
192,2024-03-01,2024-03-01,1,"Agriculture, forestry and fishing",1015562.19,2024,3,1006492.9333333332,1011682.9488596558,1018164.3825000001
193,2024-04-01,2024-04-01,1,"Agriculture, forestry and fishing",1019444.74,2024,4,1011098.5666666668,1016475.6964030587,1024879.8458333333
194,2024-05-01,2024-05-01,1,"Agriculture, forestry and fishing",1024559.55,2024,5,1019855.4933333333,1022808.7348666003,1032669.8420833334
195,2024-06-01,2024-06-01,1,"Agriculture, forestry and fishing",1027279.46,2024,6,1023761.25,1030549.5592502808,1042156.4572222221
196,2024-07-01,2024-07-01,1,"Agriculture, forestry and fishing",1058970.28,2024,7,1036936.43,1042261.3261339614,1053561.8343055556
197,2024-08-01,2024-08-01,1,"Agriculture, forestry and fishing",1060252.11,2024,8,1048833.9500000002,1053709.3911426421,1066713.8011111112
198,2024-09-01,2024-09-01,1,"Agriculture, forestry and fishing",1119722.27,2024,9,1079648.22,1072852.2221705217,1080477.0911111112
199,2024-10-01,2024-10-01,1,"Agriculture, forestry and fishing",1069424.58,2024,10,1083132.9866666666,1077840.031160003,
200,2024-11-01,2024-11-01,1,"Agriculture, forestry and fishing",1085187.59,2024,11,1091444.8133333332,1088423.9996322251,
201,2024-12-01,2024-12-01,1,"Agriculture, forestry and fishing",1239823.55,2024,12,1131478.5733333332,1126491.208989864,
202,2025-01-01,2025-01-01,1,"Agriculture, forestry and fishing",1163643.94,2025,1,1162885.0266666666,1157322.5365766697,
203,2025-02-01,2025-02-01,1,"Agriculture, forestry and fishing",1163902.85,2025,2,1189123.4466666665,1184274.0348145168,
204,2025-03-01,2025-03-01,1,"Agriculture, forestry and fishing",1178132.43,2025,3,1168559.74,1173749.7555263226,
0,2008-03-01,2008-03-01,2,Mining,938232.02,2008,3,868706.48,871028.8011282169,
1,2008-04-01,2008-04-01,2,Mining,937724.84,2008,4,928211.3033333333,940639.3270309948,
2,2008-05-01,2008-05-01,2,Mining,942442.79,2008,5,939466.5500000002,942811.0301039115,
3,2008-06-01,2008-06-01,2,Mining,923834.62,2008,6,934667.4166666666,957633.2882636335,
4,2008-07-01,2008-07-01,2,Mining,949495.25,2008,7,938590.8866666667,963349.4147132864,
