index,date,Wage_Date,year,month,Avg_Taxable_Income,Avg_Taxable_Income_MA3,Avg_Taxable_Income_MA3_sa,Avg_Taxable_Income_MA3_trend
136,2019-07-01,2019-07-01,2019,7,916498.88,886578.8866666667,895059.1084562653,922375.1408333334
137,2019-08-01,2019-08-01,2019,8,915246.93,887859.5166666666,894174.9324493208,926465.5529166667
138,2019-09-01,2019-09-01,2019,9,966354.23,932700.0133333333,925012.5875974009,930902.0491666666
139,2019-10-01,2019-10-01,2019,10,923063.88,934888.3466666667,929745.3779875154,936630.94375
140,2019-11-01,2019-11-01,2019,11,934871.82,941429.9766666666,939715.542267029,943008.6677777778
141,2019-12-01,2019-12-01,2019,12,995393.72,951109.8066666666,945307.8656871681,950623.5694444444
142,2020-01-01,2020-01-01,2020,1,992570.19,974278.5766666667,963964.3012427237,959075.2762499999
143,2020-02-01,2020-02-01,2020,2,977693.93,988552.6133333333,976873.8873625153,967387.7424999999
144,2020-03-01,2020-03-01,2020,3,996775.06,989013.06,991641.8559302237,974531.8891666665
145,2020-04-01,2020-04-01,2020,4,997390.85,990619.9466666667,997263.5749059181,980291.2862499999
146,2020-05-01,2020-05-01,2020,5,984796.69,992987.5333333332,999901.8894979319,985482.9952777777
147,2020-06-01,2020-06-01,2020,6,984985.95,989057.83,1000415.1832826542,990031.9158333332
148,2020-07-01,2020-07-01,2020,7,988917.27,986233.3033333333,994713.5251229319,993673.3980555554
149,2020-08-01,2020-08-01,2020,8,989209.65,987704.29,994019.7057826542,996207.355
150,2020-09-01,2020-09-01,2020,9,1034817.36,1004314.7600000001,996627.3342640677,997865.5930555556
151,2020-10-01,2020-10-01,2020,10,980470.38,1001499.13,996356.1613208487,999075.5031944445
152,2020-11-01,2020-11-01,2020,11,982972.89,999420.21,997705.7756003625,1000333.4708333333
153,2020-12-01,2020-12-01,2020,12,1043437.73,1002293.6666666666,996491.7256871681,1001808.7706944444
154,2021-01-01,2021-01-01,2021,1,1005060.25,1010490.29,1000176.0145760571,1003844.1545833334
155,2021-02-01,2021-02-01,2021,2,990969.62,1013155.8666666667,1001477.1406958487,1006488.093888889
156,2021-03-01,2021-03-01,2021,3,1016592.69,1004207.52,1006836.3159302237,1009379.5695833332
157,2021-04-01,2021-04-01,2021,4,1005827.68,1004463.3300000001,1011106.9582392515,1012518.1597222222
158,2021-05-01,2021-05-01,2021,5,1005585.75,1009335.3733333334,1016249.7294979321,1016242.1775
159,2021-06-01,2021-06-01,2021,6,1012938.13,1008117.1866666666,1019474.5399493208,1021123.5016666667
160,2021-07-01,2021-07-01,2021,7,1029545.6,1016023.16,1024503.3817895986,1027153.8963888888
161,2021-08-01,2021-08-01,2021,8,1021623.2,1021368.9766666666,1027684.3924493208,1033887.2618055556
162,2021-09-01,2021-09-01,2021,9,1068967.67,1040045.4899999999,1032358.0642640674,1040852.8455555555
163,2021-10-01,2021-10-01,2021,10,1032692.82,1041094.5633333334,1035951.5946541821,1047893.6368055557
164,2021-11-01,2021-11-01,2021,11,1045943.12,1049201.2033333334,1047486.7689336959,1055590.0129166667
165,2021-12-01,2021-12-01,2021,12,1130357.42,1069664.4533333334,1063862.512353835,1064304.9222222222
166,2022-01-01,2022-01-01,2022,1,1087246.39,1087848.9766666666,1077534.7012427235,1073918.1358333332
167,2022-02-01,2022-02-01,2022,2,1074590.04,1097397.95,1085719.224029182,1084170.7787499998
168,2022-03-01,2022-03-01,2022,3,1099581.91,1087139.4466666665,1089768.24259689,1095105.0640277776
169,2022-04-01,2022-04-01,2022,4,1097359.23,1090510.3933333333,1097154.0215725848,1106785.4447222222
170,2022-05-01,2022-05-01,2022,5,1127062.87,1108001.3366666667,1114915.6928312653,1118831.6645833333
171,2022-06-01,2022-06-01,2022,6,1131405.04,1118609.0466666666,1129966.3999493208,1129350.6640277777
172,2022-07-01,2022-07-01,2022,7,1150277.37,1136248.4266666668,1144728.6484562655,1136894.69
173,2022-08-01,2022-08-01,2022,8,1159939.01,1147207.14,1153522.555782654,1141689.6588888888
174,2022-09-01,2022-09-01,2022,9,1219674.14,1176630.1733333333,1168942.747597401,1145053.03375
175,2022-10-01,2022-10-01,2022,10,1174903.9,1184839.0166666666,1179696.0479875153,1148324.4336111112
176,2022-11-01,2022-11-01,2022,11,1189120.04,1194566.0266666666,1192851.5922670292,1151854.492222222
177,2022-12-01,2022-12-01,2022,12,1166242.91,1176755.6166666665,1170953.675687168,1156110.086388889
178,2023-01-01,2023-01-01,2023,1,1130080.36,1161814.4366666668,1151500.1612427237,1160894.7391666668
179,2023-02-01,2023-02-01,2023,2,1119211.96,1138511.7433333334,1126833.0173625154,1165405.3429166668
180,2023-03-01,2023-03-01,2023,3,1130947.63,1126746.6500000001,1129375.4459302237,1168803.836111111
181,2023-04-01,2023-04-01,2023,4,1138090.77,1129416.7866666666,1136060.414905918,1170982.7491666663
182,2023-05-01,2023-05-01,2023,5,1192410.65,1153816.3499999999,1160730.7061645985,1172206.224861111
183,2023-06-01,2023-06-01,2023,6,1194283.46,1174928.2933333332,1186285.6466159874,1174247.4011111108
184,2023-07-01,2023-07-01,2023,7,1197588.43,1194760.8466666667,1203241.0684562654,1178785.8595833334
185,2023-08-01,2023-08-01,2023,8,1198975.74,1196949.21,1203264.6257826542,1185837.6677777776
186,2023-09-01,2023-09-01,2023,9,1228791.65,1208451.94,1200764.5142640676,1194151.7055555554
187,2023-10-01,2023-10-01,2023,10,1188166.1,1205311.1633333333,1200168.194654182,1202348.5191666668
188,2023-11-01,2023-11-01,2023,11,1193414.14,1203457.2966666666,1201742.8622670292,1209751.452222222
189,2023-12-01,2023-12-01,2023,12,1268977.49,1216852.5766666667,1211050.6356871682,1215690.5070833333
190,2024-01-01,2024-01-01,2024,1,1229529.81,1230640.48,1220326.204576057,1220827.3091666666
191,2024-02-01,2024-02-01,2024,2,1218279.99,1238929.0966666667,1227250.3706958487,1226446.1841666668
192,2024-03-01,2024-03-01,2024,3,1229788.81,1225866.2033333334,1228494.999263557,1233548.815138889
193,2024-04-01,2024-04-01,2024,4,1232993.48,1227020.76,1233664.3882392514,1241849.860138889
194,2024-05-01,2024-05-01,2024,5,1238866.02,1233882.7699999998,1240797.1261645984,1250874.6431944442
195,2024-06-01,2024-06-01,2024,6,1240338.07,1237399.1900000002,1248756.5432826544,1262294.4508333332
196,2024-07-01,2024-07-01,2024,7,1287515.51,1255573.2,1264053.4217895987,1277677.0861111109
197,2024-08-01,2024-08-01,2024,8,1285115.99,1270989.8566666667,1277305.2724493209,1296889.6962499998
198,2024-09-01,2024-09-01,2024,9,1341991.81,1304874.4366666668,1297187.0109307345,1318021.9230555554
199,2024-10-01,2024-10-01,2024,10,1297233.44,1308113.7466666666,1302970.7779875153,
200,2024-11-01,2024-11-01,2024,11,1312523.27,1317249.5066666666,1315535.0722670292,
201,2024-12-01,2024-12-01,2024,12,1521650.54,1377135.75,1371333.8090205016,
202,2025-01-01,2025-01-01,2025,1,1484447.85,1439540.5533333335,1429226.2779093904,
203,2025-02-01,2025-02-01,2025,2,1467296.61,1491131.6666666667,1479452.9406958488,
204,2025-03-01,2025-03-01,2025,3,1490766.77,1480837.076666667,1483465.8725968904,
