Sector From,Sector To,Cantidad Trabajadores,Total trabajadores que se movieron
"Unemployment from Agriculture, forestry and fishing",Financial intermediation,2360,680511
"Unemployment from Agriculture, forestry and fishing",Public administration,2345,680511
"Unemployment from Agriculture, forestry and fishing","Electricity, gas, water and waste management",1579,680511
"Unemployment from Agriculture, forestry and fishing",Mining,1335,680511
"Unemployment from Agriculture, forestry and fishing",Real estate and housing services,1142,680511
Unemployment from Business services,Business services,594429,1018501
Unemployment from Business services,Construction,102399,1018501
Unemployment from Business services,"Wholesale and retail trade, accommodation and food services",96787,1018501
Unemployment from Business services,Personal services,70207,1018501
Unemployment from Business services,"Transport, communications and information services",48103,1018501
Unemployment from Business services,Manufacturing,46788,1018501
Unemployment from Business services,"Agriculture, forestry and fishing",23902,1018501
Unemployment from Business services,Financial intermediation,16234,1018501
Unemployment from Business services,Mining,5876,1018501
Unemployment from Business services,"Electricity, gas, water and waste management",5196,1018501
Unemployment from Business services,Real estate and housing services,4466,1018501
Unemployment from Business services,Public administration,4114,1018501
Unemployment from Construction,Construction,1017593,1369628
Unemployment from Construction,Business services,107401,1369628
Unemployment from Construction,Manufacturing,58310,1369628
Unemployment from Construction,"Wholesale and retail trade, accommodation and food services",55012,1369628
Unemployment from Construction,"Agriculture, forestry and fishing",36123,1369628
Unemployment from Construction,"Transport, communications and information services",34927,1369628
Unemployment from Construction,Personal services,30032,1369628
Unemployment from Construction,"Electricity, gas, water and waste management",7746,1369628
Unemployment from Construction,Mining,7539,1369628
Unemployment from Construction,Real estate and housing services,5395,1369628
Unemployment from Construction,Financial intermediation,5251,1369628
Unemployment from Construction,Public administration,4299,1369628
"Unemployment from Electricity, gas, water and waste management","Electricity, gas, water and waste management",27776,51023
"Unemployment from Electricity, gas, water and waste management",Construction,7236,51023
"Unemployment from Electricity, gas, water and waste management",Business services,5077,51023
"Unemployment from Electricity, gas, water and waste management","Wholesale and retail trade, accommodation and food services",2742,51023
"Unemployment from Electricity, gas, water and waste management","Transport, communications and information services",2321,51023
"Unemployment from Electricity, gas, water and waste management",Manufacturing,1878,51023
"Unemployment from Electricity, gas, water and waste management",Personal services,1560,51023
"Unemployment from Electricity, gas, water and waste management","Agriculture, forestry and fishing",1313,51023
"Unemployment from Electricity, gas, water and waste management",Financial intermediation,448,51023
"Unemployment from Electricity, gas, water and waste management",Mining,357,51023
"Unemployment from Electricity, gas, water and waste management",Public administration,185,51023
"Unemployment from Electricity, gas, water and waste management",Real estate and housing services,130,51023
Unemployment from Financial intermediation,Financial intermediation,134629,199136
Unemployment from Financial intermediation,Business services,18160,199136
Unemployment from Financial intermediation,"Wholesale and retail trade, accommodation and food services",13239,199136
Unemployment from Financial intermediation,Personal services,9961,199136
Unemployment from Financial intermediation,"Transport, communications and information services",6793,199136
Unemployment from Financial intermediation,Construction,6351,199136
Unemployment from Financial intermediation,Manufacturing,4185,199136
Unemployment from Financial intermediation,"Agriculture, forestry and fishing",2801,199136
Unemployment from Financial intermediation,Real estate and housing services,1484,199136
Unemployment from Financial intermediation,Public administration,630,199136
Unemployment from Financial intermediation,Mining,475,199136
Unemployment from Financial intermediation,"Electricity, gas, water and waste management",428,199136
Unemployment from Manufacturing,Manufacturing,319670,572771
Unemployment from Manufacturing,Construction,61839,572771
Unemployment from Manufacturing,"Wholesale and retail trade, accommodation and food services",59721,572771
Unemployment from Manufacturing,Business services,53492,572771
Unemployment from Manufacturing,"Agriculture, forestry and fishing",27141,572771
Unemployment from Manufacturing,Personal services,20106,572771
Unemployment from Manufacturing,"Transport, communications and information services",19314,572771
Unemployment from Manufacturing,Financial intermediation,3908,572771
Unemployment from Manufacturing,"Electricity, gas, water and waste management",2216,572771
Unemployment from Manufacturing,Mining,2090,572771
Unemployment from Manufacturing,Public administration,1671,572771
Unemployment from Manufacturing,Real estate and housing services,1603,572771
Unemployment from Mining,Mining,124433,151752
Unemployment from Mining,Construction,8379,151752
Unemployment from Mining,Business services,7060,151752
Unemployment from Mining,"Wholesale and retail trade, accommodation and food services",2954,151752
Unemployment from Mining,"Transport, communications and information services",2611,151752
Unemployment from Mining,Manufacturing,2373,151752
Unemployment from Mining,"Agriculture, forestry and fishing",1301,151752
Unemployment from Mining,Personal services,1297,151752
Unemployment from Mining,Financial intermediation,565,151752
Unemployment from Mining,"Electricity, gas, water and waste management",474,151752
Unemployment from Mining,Public administration,170,151752
Unemployment from Mining,Real estate and housing services,135,151752
Unemployment from Personal services,Personal services,462084,674768
Unemployment from Personal services,Business services,68995,674768
Unemployment from Personal services,"Wholesale and retail trade, accommodation and food services",47630,674768
Unemployment from Personal services,Construction,30289,674768
Unemployment from Personal services,"Transport, communications and information services",18292,674768
Unemployment from Personal services,Manufacturing,16855,674768
Unemployment from Personal services,"Agriculture, forestry and fishing",10745,674768
Unemployment from Personal services,Financial intermediation,7725,674768
Unemployment from Personal services,Public administration,6658,674768
Unemployment from Personal services,Real estate and housing services,2775,674768
Unemployment from Personal services,"Electricity, gas, water and waste management",1619,674768
Unemployment from Personal services,Mining,1101,674768
Unemployment from Public administration,Public administration,41914,62824
Unemployment from Public administration,Personal services,6011,62824
Unemployment from Public administration,Construction,3787,62824
Unemployment from Public administration,Business services,3416,62824
Unemployment from Public administration,"Wholesale and retail trade, accommodation and food services",2986,62824
Unemployment from Public administration,"Agriculture, forestry and fishing",1660,62824
Unemployment from Public administration,Manufacturing,1123,62824
Unemployment from Public administration,"Transport, communications and information services",1082,62824
Unemployment from Public administration,Financial intermediation,421,62824
Unemployment from Public administration,"Electricity, gas, water and waste management",165,62824
Unemployment from Public administration,Real estate and housing services,148,62824
Unemployment from Public administration,Mining,111,62824
Unemployment from Real estate and housing services,Real estate and housing services,19553,42891
Unemployment from Real estate and housing services,Construction,5343,42891
Unemployment from Real estate and housing services,Business services,4783,42891
Unemployment from Real estate and housing services,"Wholesale and retail trade, accommodation and food services",4715,42891
Unemployment from Real estate and housing services,Personal services,2942,42891
Unemployment from Real estate and housing services,Manufacturing,1483,42891
Unemployment from Real estate and housing services,"Transport, communications and information services",1424,42891
Unemployment from Real estate and housing services,Financial intermediation,1184,42891
Unemployment from Real estate and housing services,"Agriculture, forestry and fishing",1024,42891
Unemployment from Real estate and housing services,Public administration,188,42891
Unemployment from Real estate and housing services,"Electricity, gas, water and waste management",131,42891
Unemployment from Real estate and housing services,Mining,121,42891
"Unemployment from Transport, communications and information services","Transport, communications and information services",317071,499082
"Unemployment from Transport, communications and information services",Business services,49364,499082
"Unemployment from Transport, communications and information services","Wholesale and retail trade, accommodation and food services",38688,499082
"Unemployment from Transport, communications and information services",Construction,32748,499082
"Unemployment from Transport, communications and information services",Personal services,18950,499082
"Unemployment from Transport, communications and information services",Manufacturing,16743,499082
"Unemployment from Transport, communications and information services","Agriculture, forestry and fishing",12008,499082
"Unemployment from Transport, communications and information services",Financial intermediation,6134,499082
"Unemployment from Transport, communications and information services","Electricity, gas, water and waste management",2382,499082
"Unemployment from Transport, communications and information services",Mining,2067,499082
"Unemployment from Transport, communications and information services",Real estate and housing services,1490,499082
"Unemployment from Transport, communications and information services",Public administration,1437,499082
"Unemployment from Wholesale and retail trade, accommodation and food services","Wholesale and retail trade, accommodation and food services",797798,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Business services,110425,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Construction,59496,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Personal services,57903,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Manufacturing,57582,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services","Transport, communications and information services",42642,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",36941,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Financial intermediation,12966,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Real estate and housing services,4722,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Public administration,4437,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services","Electricity, gas, water and waste management",3357,1190967
"Unemployment from Wholesale and retail trade, accommodation and food services",Mining,2698,1190967
"Wholesale and retail trade, accommodation and food services","Unemployment from Wholesale and retail trade, accommodation and food services",1297190,1456302
"Wholesale and retail trade, accommodation and food services",Business services,43749,1456302
"Wholesale and retail trade, accommodation and food services",Manufacturing,24952,1456302
"Wholesale and retail trade, accommodation and food services",Personal services,21240,1456302
"Wholesale and retail trade, accommodation and food services",Construction,19319,1456302
"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",17717,1456302
"Wholesale and retail trade, accommodation and food services",Financial intermediation,14316,1456302
"Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",10018,1456302
"Wholesale and retail trade, accommodation and food services",Real estate and housing services,2558,1456302
"Wholesale and retail trade, accommodation and food services",Mining,2449,1456302
"Wholesale and retail trade, accommodation and food services","Electricity, gas, water and waste management",1453,1456302
"Wholesale and retail trade, accommodation and food services",Public administration,1341,1456302
