Wage_Date,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,"Unemployment from Agriculture, forestry and fishing",Unemployment from Mining,Unemployment from Manufacturing,"Unemployment from Electricity, gas, water and waste management",Unemployment from Construction,"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Transport, communications and information services",Unemployment from Financial intermediation,Unemployment from Real estate and housing services,Unemployment from Business services,Unemployment from Personal services,Unemployment from Public administration,State_From
2008-04-01,0,6073,4,0,17,11,8,17,2,16,7,1,0,165,0,0,0,0,0,0,0,0,0,0,Mining
2008-04-01,34,7,38288,4,112,72,27,74,4,60,58,4,0,0,2174,0,0,0,0,0,0,0,0,0,Manufacturing
2008-04-01,1,2,2,2686,3,1,3,10,0,8,3,3,0,0,0,88,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-04-01,47,40,105,17,43488,58,46,82,16,185,71,10,0,0,0,0,4621,0,0,0,0,0,0,0,Construction
2008-04-01,60,13,104,5,62,60439,60,97,5,135,100,20,0,0,0,0,0,3599,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-04-01,13,12,33,6,59,53,32157,76,2,89,59,2,0,0,0,0,0,0,1692,0,0,0,0,0,"Transport, communications and information services"
2008-04-01,29,14,82,9,88,118,68,15405,12,131,82,13,0,0,0,0,0,0,0,582,0,0,0,0,Financial intermediation
2008-04-01,2,1,3,1,8,3,3,15,3289,10,9,2,0,0,0,0,0,0,0,0,167,0,0,0,Real estate and housing services
2008-04-01,37,38,107,12,176,383,119,138,10,43441,144,11,0,0,0,0,0,0,0,0,0,3112,0,0,Business services
2008-04-01,22,7,54,3,78,94,77,117,11,146,41773,11,0,0,0,0,0,0,0,0,0,0,2116,0,Personal services
2008-04-01,2,0,5,1,22,15,6,4,0,6,10,2892,0,0,0,0,0,0,0,0,0,0,0,159,Public administration
2008-04-01,749,3,57,1,87,94,19,12,1,36,26,5,4687,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-04-01,1,36,3,0,14,1,0,2,1,8,3,0,0,204,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-04-01,31,4,700,2,95,79,21,18,4,64,40,4,0,0,2380,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-04-01,0,1,1,28,5,3,1,0,0,5,4,0,0,0,0,99,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-04-01,52,16,107,7,2131,67,54,22,14,161,72,8,0,0,0,0,6073,0,0,0,0,0,0,0,Unemployment from Construction
2008-04-01,21,5,75,2,83,1344,42,33,5,105,72,12,0,0,0,0,0,4438,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-04-01,15,3,40,3,39,30,566,24,1,52,34,1,0,0,0,0,0,0,1757,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-04-01,2,0,13,0,24,24,11,117,3,36,17,2,0,0,0,0,0,0,0,745,0,0,0,0,Unemployment from Financial intermediation
2008-04-01,1,1,1,1,6,4,3,4,66,5,6,1,0,0,0,0,0,0,0,0,264,0,0,0,Unemployment from Real estate and housing services
2008-04-01,27,9,77,2,157,153,58,57,5,1014,102,8,0,0,0,0,0,0,0,0,0,3841,0,0,Unemployment from Business services
2008-04-01,21,3,42,2,75,58,30,30,11,96,907,11,0,0,0,0,0,0,0,0,0,0,3391,0,Unemployment from Personal services
2008-04-01,3,1,4,1,18,3,1,2,1,8,3,56,0,0,0,0,0,0,0,0,0,0,0,334,Unemployment from Public administration
2008-04-01,1703,174,2205,82,3371,3682,1350,349,163,2573,4386,220,956,18,1103,12,942,1624,335,150,33,864,726,44,Entry
2008-05-01,20080,3,71,1,52,52,17,34,1,27,35,2,5136,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-05-01,0,6250,8,0,22,6,6,9,0,14,3,0,0,148,0,0,0,0,0,0,0,0,0,0,Mining
2008-05-01,34,7,39295,5,91,89,36,87,2,60,56,2,0,0,2420,0,0,0,0,0,0,0,0,0,Manufacturing
2008-05-01,0,4,2,2777,4,3,2,8,1,5,6,1,0,0,0,63,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-05-01,39,51,103,3,44742,68,48,79,28,150,66,9,0,0,0,0,4889,0,0,0,0,0,0,0,Construction
2008-05-01,54,28,88,3,73,62457,58,112,8,114,88,9,0,0,0,0,0,3748,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-05-01,7,25,38,3,43,57,32897,61,5,88,54,3,0,0,0,0,0,0,1471,0,0,0,0,0,"Transport, communications and information services"
2008-05-01,37,17,61,7,88,105,82,15545,15,113,109,2,0,0,0,0,0,0,0,567,0,0,0,0,Financial intermediation
2008-05-01,1,5,6,0,17,6,11,22,3339,22,17,0,0,0,0,0,0,0,0,0,184,0,0,0,Real estate and housing services
2008-05-01,30,32,83,9,167,141,86,121,9,44782,149,3,0,0,0,0,0,0,0,0,0,2801,0,0,Business services
2008-05-01,25,9,81,3,76,103,58,138,8,152,45357,17,0,0,0,0,0,0,0,0,0,0,1991,0,Personal services
2008-05-01,2,0,5,2,13,17,2,4,1,10,15,3104,0,0,0,0,0,0,0,0,0,0,0,127,Public administration
2008-05-01,1217,4,65,2,113,104,29,17,1,76,30,4,8079,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-05-01,0,47,1,1,18,4,4,1,1,10,4,1,0,295,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-05-01,37,5,792,0,142,105,31,21,2,90,52,7,0,0,4373,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-05-01,1,0,2,26,13,3,2,0,0,2,1,0,0,0,0,149,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-05-01,52,14,102,1,2571,90,49,22,9,197,92,16,0,0,0,0,8421,0,0,0,0,0,0,0,Unemployment from Construction
2008-05-01,45,7,88,3,102,1763,50,49,5,145,80,13,0,0,0,0,0,7311,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-05-01,13,3,32,3,51,48,713,19,3,81,24,1,0,0,0,0,0,0,2793,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-05-01,7,1,13,0,22,40,16,177,5,54,26,0,0,0,0,0,0,0,0,1116,0,0,0,0,Unemployment from Financial intermediation
2008-05-01,0,0,7,0,12,4,2,2,68,14,5,1,0,0,0,0,0,0,0,0,349,0,0,0,Unemployment from Real estate and housing services
2008-05-01,37,14,83,11,192,168,63,54,9,1306,113,14,0,0,0,0,0,0,0,0,0,5753,0,0,Unemployment from Business services
2008-05-01,19,4,38,1,112,80,53,36,6,120,1015,19,0,0,0,0,0,0,0,0,0,0,4730,0,Unemployment from Personal services
2008-05-01,3,2,5,0,17,4,0,0,1,5,6,68,0,0,0,0,0,0,0,0,0,0,0,426,Unemployment from Public administration
2008-05-01,846,144,1505,71,2594,2817,1127,374,142,1977,2160,195,527,19,409,21,717,700,189,68,30,499,449,36,Entry
2008-06-01,19491,2,23,0,51,46,19,40,4,24,27,0,2859,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-06-01,1,6447,5,1,18,6,20,14,0,6,2,0,0,156,0,0,0,0,0,0,0,0,0,0,Mining
2008-06-01,42,6,39850,6,79,59,25,86,4,59,57,3,0,0,2298,0,0,0,0,0,0,0,0,0,Manufacturing
2008-06-01,0,1,2,2821,4,2,1,3,0,11,8,2,0,0,0,77,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-06-01,53,44,95,8,45727,61,42,68,20,161,72,8,0,0,0,0,4988,0,0,0,0,0,0,0,Construction
2008-06-01,31,18,92,2,60,63872,45,134,9,88,111,7,0,0,0,0,0,3865,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-06-01,22,11,28,4,59,44,33420,85,3,64,47,5,0,0,0,0,0,0,1650,0,0,0,0,0,"Transport, communications and information services"
2008-06-01,30,12,91,8,82,114,66,15794,11,118,127,4,0,0,0,0,0,0,0,535,0,0,0,0,Financial intermediation
2008-06-01,1,2,1,0,9,12,6,12,3439,11,9,0,0,0,0,0,0,0,0,0,167,0,0,0,Real estate and housing services
2008-06-01,16,26,79,11,176,128,84,121,15,45961,111,12,0,0,0,0,0,0,0,0,0,2874,0,0,Business services
2008-06-01,23,7,75,5,66,94,59,119,6,121,46872,16,0,0,0,0,0,0,0,0,0,0,2100,0,Personal services
2008-06-01,4,1,3,1,7,12,6,4,0,11,20,3279,0,0,0,0,0,0,0,0,0,0,0,143,Public administration
2008-06-01,2110,5,88,4,129,92,34,14,4,67,52,4,11139,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-06-01,1,52,6,1,17,9,7,0,0,14,8,0,0,347,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-06-01,58,8,907,2,156,131,36,21,5,106,52,1,0,0,5719,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-06-01,4,1,6,28,9,6,0,1,0,5,3,0,0,0,0,170,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-06-01,89,23,180,2,2931,97,69,18,12,235,121,9,0,0,0,0,10241,0,0,0,0,0,0,0,Unemployment from Construction
2008-06-01,55,11,130,4,117,1751,54,50,9,163,118,7,0,0,0,0,0,9290,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-06-01,14,7,31,3,52,72,686,26,3,86,48,3,0,0,0,0,0,0,3422,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-06-01,11,0,12,1,24,22,22,194,5,48,34,2,0,0,0,0,0,0,0,1376,0,0,0,0,Unemployment from Financial intermediation
2008-06-01,0,2,4,0,11,11,5,7,56,14,8,1,0,0,0,0,0,0,0,0,444,0,0,0,Unemployment from Real estate and housing services
2008-06-01,41,11,134,3,258,191,79,57,10,1209,132,10,0,0,0,0,0,0,0,0,0,6918,0,0,Unemployment from Business services
2008-06-01,27,4,55,2,105,79,43,35,5,144,995,13,0,0,0,0,0,0,0,0,0,0,5663,0,Unemployment from Personal services
2008-06-01,2,1,5,0,11,8,5,0,1,7,6,52,0,0,0,0,0,0,0,0,0,0,0,491,Unemployment from Public administration
2008-06-01,658,154,1076,62,1997,2047,847,322,102,1572,1497,127,291,18,174,20,557,472,146,45,28,373,310,50,Entry
2008-07-01,20616,1,20,2,64,25,24,31,1,25,25,4,1946,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-07-01,2,6624,10,0,16,5,3,7,1,14,5,0,0,169,0,0,0,0,0,0,0,0,0,0,Mining
2008-07-01,31,16,40262,3,113,70,29,89,3,92,59,3,0,0,2208,0,0,0,0,0,0,0,0,0,Manufacturing
2008-07-01,1,1,0,2889,6,1,1,6,0,5,0,0,0,0,0,69,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-07-01,44,43,90,16,46530,55,43,78,14,193,71,2,0,0,0,0,4975,0,0,0,0,0,0,0,Construction
2008-07-01,41,22,221,7,76,64668,66,86,1,146,103,10,0,0,0,0,0,3519,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-07-01,12,11,37,7,48,71,33747,77,5,119,40,5,0,0,0,0,0,0,1501,0,0,0,0,0,"Transport, communications and information services"
2008-07-01,32,14,82,3,65,125,74,15998,8,106,100,2,0,0,0,0,0,0,0,616,0,0,0,0,Financial intermediation
2008-07-01,3,3,2,0,16,9,6,18,3463,12,9,0,0,0,0,0,0,0,0,0,182,0,0,0,Real estate and housing services
2008-07-01,17,25,65,8,164,107,113,115,5,46530,117,5,0,0,0,0,0,0,0,0,0,3034,0,0,Business services
2008-07-01,24,10,47,7,68,97,53,108,10,124,47616,8,0,0,0,0,0,0,0,0,0,0,2365,0,Personal services
2008-07-01,3,0,1,0,12,12,7,7,1,6,9,3340,0,0,0,0,0,0,0,0,0,0,0,167,Public administration
2008-07-01,2833,8,133,4,166,173,36,19,7,92,79,11,10728,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-07-01,3,65,6,0,21,9,6,0,0,16,4,1,0,390,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-07-01,105,2,1885,2,180,140,59,16,2,101,79,16,0,0,5604,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-07-01,1,1,2,49,5,4,3,4,0,12,2,0,0,0,0,184,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-07-01,135,23,191,13,3410,138,104,36,7,266,164,20,0,0,0,0,11279,0,0,0,0,0,0,0,Unemployment from Construction
2008-07-01,125,16,125,4,166,3191,100,44,9,202,119,10,0,0,0,0,0,9516,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-07-01,17,9,43,2,79,80,1049,22,2,94,53,9,0,0,0,0,0,0,3759,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-07-01,12,0,23,0,32,43,32,190,5,51,32,2,0,0,0,0,0,0,0,1534,0,0,0,0,Unemployment from Financial intermediation
2008-07-01,5,1,1,2,22,8,6,2,74,10,11,1,0,0,0,0,0,0,0,0,496,0,0,0,Unemployment from Real estate and housing services
2008-07-01,55,17,118,3,288,214,132,61,13,1623,193,17,0,0,0,0,0,0,0,0,0,7431,0,0,Unemployment from Business services
2008-07-01,56,5,69,2,159,96,53,32,9,161,1437,9,0,0,0,0,0,0,0,0,0,0,5985,0,Unemployment from Personal services
2008-07-01,2,0,7,1,11,8,5,3,0,11,13,89,0,0,0,0,0,0,0,0,0,0,0,534,Unemployment from Public administration
2008-07-01,789,115,1028,67,1751,1875,802,314,85,1413,1330,98,209,13,164,6,442,300,125,50,10,280,295,45,Entry
2008-08-01,22045,0,21,1,51,22,21,31,3,58,26,2,2683,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-08-01,0,5344,5,1,24,4,4,16,0,10,7,0,0,1617,0,0,0,0,0,0,0,0,0,0,Mining
2008-08-01,26,17,40779,9,112,103,18,80,2,112,64,3,0,0,3143,0,0,0,0,0,0,0,0,0,Manufacturing
2008-08-01,1,1,1,2787,3,3,3,8,0,2,1,0,0,0,0,281,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-08-01,35,37,82,6,47122,57,49,75,16,226,63,9,0,0,0,0,5691,0,0,0,0,0,0,0,Construction
2008-08-01,25,11,77,4,71,65292,62,144,2,127,138,12,0,0,0,0,0,5259,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-08-01,11,5,25,4,40,51,33648,83,5,82,47,3,0,0,0,0,0,0,2548,0,0,0,0,0,"Transport, communications and information services"
2008-08-01,31,8,83,5,55,89,87,14459,14,108,103,6,0,0,0,0,0,0,0,2315,0,0,0,0,Financial intermediation
2008-08-01,3,0,4,0,14,86,5,8,3264,11,13,1,0,0,0,0,0,0,0,0,316,0,0,0,Real estate and housing services
2008-08-01,31,30,111,7,179,122,91,165,20,46085,139,9,0,0,0,0,0,0,0,0,0,4435,0,0,Business services
2008-08-01,38,11,65,4,95,88,60,155,14,105,47878,7,0,0,0,0,0,0,0,0,0,0,3150,0,Personal services
2008-08-01,2,0,8,0,13,11,6,3,0,9,12,3397,0,0,0,0,0,0,0,0,0,0,0,201,Public administration
2008-08-01,1402,9,98,5,178,76,40,13,1,72,51,7,10931,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-08-01,4,52,10,0,21,6,6,1,0,20,2,1,0,449,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-08-01,74,7,982,4,191,120,60,34,4,117,63,6,0,0,6314,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-08-01,0,0,3,23,12,2,2,0,0,4,3,0,0,0,0,210,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-08-01,83,23,175,12,3336,126,79,29,15,343,150,18,0,0,0,0,12307,0,0,0,0,0,0,0,Unemployment from Construction
2008-08-01,68,12,125,2,159,1918,96,55,4,214,125,13,0,0,0,0,0,10544,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-08-01,22,4,33,6,102,66,844,24,3,88,55,5,0,0,0,0,0,0,4133,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-08-01,14,1,22,1,36,32,33,214,3,67,40,5,0,0,0,0,0,0,0,1732,0,0,0,0,Unemployment from Financial intermediation
2008-08-01,3,1,2,0,14,13,6,7,83,11,9,1,0,0,0,0,0,0,0,0,538,0,0,0,Unemployment from Real estate and housing services
2008-08-01,45,20,121,10,280,196,125,47,13,1424,179,17,0,0,0,0,0,0,0,0,0,8268,0,0,Unemployment from Business services
2008-08-01,26,2,58,2,137,103,69,34,8,156,1267,10,0,0,0,0,0,0,0,0,0,0,6773,0,Unemployment from Personal services
2008-08-01,3,0,1,0,15,7,1,4,1,6,9,97,0,0,0,0,0,0,0,0,0,0,0,602,Unemployment from Public administration
2008-08-01,3471,249,1955,163,2454,4866,3329,389,176,2963,4010,762,570,44,253,16,693,579,323,76,23,508,508,62,Entry
2008-09-01,23680,1,23,13,68,35,12,24,0,34,25,1,3547,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-09-01,1,5244,3,0,15,7,3,14,0,8,8,1,0,540,0,0,0,0,0,0,0,0,0,0,Mining
2008-09-01,36,11,41903,2,90,84,34,64,1,48,46,4,0,0,2523,0,0,0,0,0,0,0,0,0,Manufacturing
2008-09-01,2,2,2,2905,9,1,3,4,0,4,4,1,0,0,0,119,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-09-01,40,30,114,9,48802,66,39,76,9,157,72,9,0,0,0,0,5291,0,0,0,0,0,0,0,Construction
2008-09-01,34,7,68,2,59,69251,51,112,9,135,83,12,0,0,0,0,0,3636,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-09-01,12,9,32,2,57,38,36490,71,1,83,43,2,0,0,0,0,0,0,1903,0,0,0,0,0,"Transport, communications and information services"
2008-09-01,28,17,82,4,81,137,71,14458,9,132,156,4,0,0,0,0,0,0,0,899,0,0,0,0,Financial intermediation
2008-09-01,5,0,1,0,9,39,2,18,3384,12,27,2,0,0,0,0,0,0,0,0,152,0,0,0,Real estate and housing services
2008-09-01,31,43,88,11,153,131,80,128,10,48404,132,5,0,0,0,0,0,0,0,0,0,3204,0,0,Business services
2008-09-01,36,7,71,8,61,82,74,119,8,125,51444,13,0,0,0,0,0,0,0,0,0,0,2403,0,Personal services
2008-09-01,3,0,17,1,14,12,3,6,0,9,16,4095,0,0,0,0,0,0,0,0,0,0,0,215,Public administration
2008-09-01,1656,5,68,5,157,104,29,19,3,81,44,4,12009,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-09-01,5,568,8,0,32,6,9,7,3,15,5,1,0,1451,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-09-01,70,7,1112,3,195,165,40,27,5,128,75,6,0,0,7877,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-09-01,2,1,3,44,8,6,0,1,1,12,3,0,0,0,0,426,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-09-01,90,30,159,9,3374,148,88,34,21,318,114,20,0,0,0,0,14286,0,0,0,0,0,0,0,Unemployment from Construction
2008-09-01,80,17,155,0,153,2295,92,47,8,208,126,14,0,0,0,0,0,13187,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-09-01,24,9,43,4,89,89,972,20,3,84,71,5,0,0,0,0,0,0,5591,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-09-01,7,1,24,1,29,41,29,412,6,56,41,2,0,0,0,0,0,0,0,3474,0,0,0,0,Unemployment from Financial intermediation
2008-09-01,4,1,6,0,19,23,3,6,102,19,6,0,0,0,0,0,0,0,0,0,688,0,0,0,Unemployment from Real estate and housing services
2008-09-01,44,23,101,6,260,220,90,59,10,1600,185,9,0,0,0,0,0,0,0,0,0,10604,0,0,Unemployment from Business services
2008-09-01,29,8,64,7,158,122,59,33,8,170,1424,13,0,0,0,0,0,0,0,0,0,0,8336,0,Unemployment from Personal services
2008-09-01,3,0,4,1,12,10,2,1,0,7,10,112,0,0,0,0,0,0,0,0,0,0,0,703,Unemployment from Public administration
2008-09-01,751,115,893,66,1612,1990,942,268,78,1434,1464,121,271,24,167,4,468,321,159,60,10,311,245,36,Entry
2008-10-01,24523,1,30,2,47,24,19,36,1,27,32,3,1928,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-10-01,0,5820,9,1,13,4,3,16,0,13,6,1,0,270,0,0,0,0,0,0,0,0,0,0,Mining
2008-10-01,36,13,42270,2,125,112,32,93,2,58,50,6,0,0,2245,0,0,0,0,0,0,0,0,0,Manufacturing
2008-10-01,1,0,3,2961,8,10,3,7,0,4,0,0,0,0,0,106,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-10-01,64,38,117,11,48941,64,51,89,12,209,68,11,0,0,0,0,5841,0,0,0,0,0,0,0,Construction
2008-10-01,67,15,88,1,65,70467,63,156,2,110,87,13,0,0,0,0,0,3968,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-10-01,27,18,21,2,55,57,37010,106,2,64,46,4,0,0,0,0,0,0,1804,0,0,0,0,0,"Transport, communications and information services"
2008-10-01,31,19,67,7,82,111,64,14739,19,104,128,1,0,0,0,0,0,0,0,656,0,0,0,0,Financial intermediation
2008-10-01,2,0,3,0,7,5,2,11,3458,10,7,1,0,0,0,0,0,0,0,0,173,0,0,0,Real estate and housing services
2008-10-01,30,29,85,12,201,143,111,143,7,49136,160,12,0,0,0,0,0,0,0,0,0,3214,0,0,Business services
2008-10-01,31,9,66,5,85,102,67,176,6,142,52368,26,0,0,0,0,0,0,0,0,0,0,2540,0,Personal services
2008-10-01,0,0,4,0,8,12,6,8,1,8,16,4180,0,0,0,0,0,0,0,0,0,0,0,213,Public administration
2008-10-01,3543,4,130,7,175,106,36,18,2,92,73,12,11629,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-10-01,2,1086,5,0,34,5,8,11,1,18,4,0,0,841,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-10-01,131,14,2098,6,241,136,60,26,3,122,69,8,0,0,7653,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-10-01,2,0,1,185,11,3,4,1,0,13,4,0,0,0,0,325,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-10-01,146,30,216,21,4230,139,86,29,11,294,136,25,0,0,0,0,14682,0,0,0,0,0,0,0,Unemployment from Construction
2008-10-01,139,5,151,9,167,3148,97,52,15,206,121,14,0,0,0,0,0,13020,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-10-01,39,6,43,5,101,106,1741,33,9,120,83,8,0,0,0,0,0,0,5359,0,0,0,0,0,"Unemployment from Transport, communications and information services"
