Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income
2008-06-01,5,Construction,417455.28
2008-06-01,6,"Wholesale and retail trade, accommodation and food services",403794.45
2008-06-01,7,"Transport, communications and information services",499821.49
2008-06-01,8,Financial intermediation,731508.53
2008-06-01,9,Real estate and housing services,484767.01
2008-06-01,10,Business services,456596.96
2008-06-01,11,Personal services,433988.65
2008-06-01,12,Public administration,377033.48
2008-07-01,1,"Agriculture, forestry and fishing",323489.12
2008-07-01,2,Mining,949495.25
2008-07-01,3,Manufacturing,459011.45
2008-07-01,4,"Electricity, gas, water and waste management",601742.29
2008-07-01,5,Construction,425735.84
2008-07-01,6,"Wholesale and retail trade, accommodation and food services",401877.75
2008-07-01,7,"Transport, communications and information services",493636.09
2008-07-01,8,Financial intermediation,733950.05
2008-07-01,9,Real estate and housing services,487328.73
2008-07-01,10,Business services,461174.49
2008-07-01,11,Personal services,426228.53
2008-07-01,12,Public administration,336953.72
2008-08-01,1,"Agriculture, forestry and fishing",312401.26
2008-08-01,2,Mining,767145.6
2008-08-01,3,Manufacturing,428637.77
2008-08-01,4,"Electricity, gas, water and waste management",533436.85
2008-08-01,5,Construction,411292.4
2008-08-01,6,"Wholesale and retail trade, accommodation and food services",372752.99
2008-08-01,7,"Transport, communications and information services",456090.41
2008-08-01,8,Financial intermediation,635328.47
2008-08-01,9,Real estate and housing services,445207.61
2008-08-01,10,Business services,422218.87
2008-08-01,11,Personal services,404537.03
2008-08-01,12,Public administration,321560.36
2008-09-01,1,"Agriculture, forestry and fishing",326075.34
2008-09-01,2,Mining,834844.68
2008-09-01,3,Manufacturing,457738.86
2008-09-01,4,"Electricity, gas, water and waste management",555576.83
2008-09-01,5,Construction,427177.52
2008-09-01,6,"Wholesale and retail trade, accommodation and food services",391615.38
2008-09-01,7,"Transport, communications and information services",478857.85
2008-09-01,8,Financial intermediation,671046.23
2008-09-01,9,Real estate and housing services,468880.47
2008-09-01,10,Business services,437880.29
2008-09-01,11,Personal services,421887.39
2008-09-01,12,Public administration,335608.2
2008-10-01,1,"Agriculture, forestry and fishing",320017.73
2008-10-01,2,Mining,919686.39
2008-10-01,3,Manufacturing,449725.73
2008-10-01,4,"Electricity, gas, water and waste management",578706.1
2008-10-01,5,Construction,423573.19
2008-10-01,6,"Wholesale and retail trade, accommodation and food services",390675.69
2008-10-01,7,"Transport, communications and information services",479843.95
2008-10-01,8,Financial intermediation,708988.07
2008-10-01,9,Real estate and housing services,475404.37
2008-10-01,10,Business services,445329.66
2008-10-01,11,Personal services,420346.33
2008-10-01,12,Public administration,331989.1
2008-11-01,1,"Agriculture, forestry and fishing",312991.93
2008-11-01,2,Mining,811848.3
2008-11-01,3,Manufacturing,432780.14
2008-11-01,4,"Electricity, gas, water and waste management",536384.32
2008-11-01,5,Construction,421690.98
2008-11-01,6,"Wholesale and retail trade, accommodation and food services",376781.67
2008-11-01,7,"Transport, communications and information services",458631.15
2008-11-01,8,Financial intermediation,642670.95
2008-11-01,9,Real estate and housing services,442270.29
2008-11-01,10,Business services,428733.14
2008-11-01,11,Personal services,409639.12
2008-11-01,12,Public administration,330125.35
2008-12-01,1,"Agriculture, forestry and fishing",332177.17
2008-12-01,2,Mining,861000.5
2008-12-01,3,Manufacturing,481414.41
2008-12-01,4,"Electricity, gas, water and waste management",595426.78
2008-12-01,5,Construction,447357.25
2008-12-01,6,"Wholesale and retail trade, accommodation and food services",409520.08
2008-12-01,7,"Transport, communications and information services",490446.38
2008-12-01,8,Financial intermediation,689600.59
2008-12-01,9,Real estate and housing services,481720.98
2008-12-01,10,Business services,450441.58
2008-12-01,11,Personal services,443310.71
2008-12-01,12,Public administration,356964.73
2009-01-01,1,"Agriculture, forestry and fishing",321960.14
2009-01-01,2,Mining,812743.79
2009-01-01,3,Manufacturing,447771.69
2009-01-01,4,"Electricity, gas, water and waste management",561611.52
2009-01-01,5,Construction,427287.95
2009-01-01,6,"Wholesale and retail trade, accommodation and food services",384913.3
2009-01-01,7,"Transport, communications and information services",469832.16
2009-01-01,8,Financial intermediation,653407.9
2009-01-01,9,Real estate and housing services,439117.49
2009-01-01,10,Business services,432559.87
2009-01-01,11,Personal services,426775.65
2009-01-01,12,Public administration,348788.81
2009-02-01,1,"Agriculture, forestry and fishing",322320.62
2009-02-01,2,Mining,803390.57
2009-02-01,3,Manufacturing,439246.49
2009-02-01,4,"Electricity, gas, water and waste management",563261.85
2009-02-01,5,Construction,428935.18
2009-02-01,6,"Wholesale and retail trade, accommodation and food services",379473.6
2009-02-01,7,"Transport, communications and information services",465790.34
2009-02-01,8,Financial intermediation,659189.61
2009-02-01,9,Real estate and housing services,429989.41
2009-02-01,10,Business services,423418.89
2009-02-01,11,Personal services,417666.44
2009-02-01,12,Public administration,347400.59
2009-03-01,1,"Agriculture, forestry and fishing",325154.19
2009-03-01,2,Mining,801304.46
2009-03-01,3,Manufacturing,440070.68
2009-03-01,4,"Electricity, gas, water and waste management",543447.99
2009-03-01,5,Construction,432700.18
2009-03-01,6,"Wholesale and retail trade, accommodation and food services",378044.61
2009-03-01,7,"Transport, communications and information services",466884.6
2009-03-01,8,Financial intermediation,640283.27
2009-03-01,9,Real estate and housing services,428507.13
2009-03-01,10,Business services,426072.4
2009-03-01,11,Personal services,430795.36
2009-03-01,12,Public administration,354038.5
2009-04-01,1,"Agriculture, forestry and fishing",321860.79
2009-04-01,2,Mining,842218.01
2009-04-01,3,Manufacturing,441284.53
2009-04-01,4,"Electricity, gas, water and waste management",557955.58
2009-04-01,5,Construction,437995.71
2009-04-01,6,"Wholesale and retail trade, accommodation and food services",381754.09
2009-04-01,7,"Transport, communications and information services",468834.82
2009-04-01,8,Financial intermediation,644814.82
2009-04-01,9,Real estate and housing services,429769.97
2009-04-01,10,Business services,429607.84
2009-04-01,11,Personal services,430216.25
2009-04-01,12,Public administration,347791.36
2009-05-01,1,"Agriculture, forestry and fishing",322886.28
2009-05-01,2,Mining,833202.55
2009-05-01,3,Manufacturing,436094.03
2009-05-01,4,"Electricity, gas, water and waste management",564493.14
2009-05-01,5,Construction,435308.28
2009-05-01,6,"Wholesale and retail trade, accommodation and food services",376213.1
2009-05-01,7,"Transport, communications and information services",462553.34
2009-05-01,8,Financial intermediation,638815.69
2009-05-01,9,Real estate and housing services,421922.98
2009-05-01,10,Business services,427792.59
2009-05-01,11,Personal services,427062.13
2009-05-01,12,Public administration,341706.86
2009-06-01,1,"Agriculture, forestry and fishing",317844.02
2009-06-01,2,Mining,821321.28
2009-06-01,3,Manufacturing,435537.72
2009-06-01,4,"Electricity, gas, water and waste management",561085.66
2009-06-01,5,Construction,430309.48
2009-06-01,6,"Wholesale and retail trade, accommodation and food services",376528.07
2009-06-01,7,"Transport, communications and information services",462589.39
2009-06-01,8,Financial intermediation,639377.74
2009-06-01,9,Real estate and housing services,421177.09
2009-06-01,10,Business services,426965.8
2009-06-01,11,Personal services,432189.21
2009-06-01,12,Public administration,345113.57
2009-07-01,1,"Agriculture, forestry and fishing",320115.74
2009-07-01,2,Mining,845709.99
2009-07-01,3,Manufacturing,439468.83
2009-07-01,4,"Electricity, gas, water and waste management",560732.41
2009-07-01,5,Construction,436884.29
2009-07-01,6,"Wholesale and retail trade, accommodation and food services",385462.04
2009-07-01,7,"Transport, communications and information services",473313.67
2009-07-01,8,Financial intermediation,642486.14
2009-07-01,9,Real estate and housing services,430007.07
2009-07-01,10,Business services,432298.96
2009-07-01,11,Personal services,433544.67
2009-07-01,12,Public administration,347906.94
2009-08-01,1,"Agriculture, forestry and fishing",320658.93
2009-08-01,2,Mining,854997.25
2009-08-01,3,Manufacturing,442004.06
2009-08-01,4,"Electricity, gas, water and waste management",559770.23
2009-08-01,5,Construction,438188.14
2009-08-01,6,"Wholesale and retail trade, accommodation and food services",387203.1
2009-08-01,7,"Transport, communications and information services",473469.02
2009-08-01,8,Financial intermediation,644304.58
2009-08-01,9,Real estate and housing services,431840.97
2009-08-01,10,Business services,434761.89
2009-08-01,11,Personal services,431601.38
2009-08-01,12,Public administration,342290.51
2009-09-01,1,"Agriculture, forestry and fishing",332260.95
2009-09-01,2,Mining,880388.81
2009-09-01,3,Manufacturing,470918.26
2009-09-01,4,"Electricity, gas, water and waste management",588819.6
2009-09-01,5,Construction,453228.48
2009-09-01,6,"Wholesale and retail trade, accommodation and food services",402870.01
2009-09-01,7,"Transport, communications and information services",491744.28
2009-09-01,8,Financial intermediation,673634.88
2009-09-01,9,Real estate and housing services,449456.48
2009-09-01,10,Business services,448146.86
2009-09-01,11,Personal services,450822.51
2009-09-01,12,Public administration,348981.01
2009-10-01,1,"Agriculture, forestry and fishing",320094.94
2009-10-01,2,Mining,832080.47
2009-10-01,3,Manufacturing,445055.57
2009-10-01,4,"Electricity, gas, water and waste management",565689.76
2009-10-01,5,Construction,441322.22
2009-10-01,6,"Wholesale and retail trade, accommodation and food services",388595.83
2009-10-01,7,"Transport, communications and information services",474716.87
2009-10-01,8,Financial intermediation,645451.41
2009-10-01,9,Real estate and housing services,428604.82
2009-10-01,10,Business services,437024.03
2009-10-01,11,Personal services,434176.37
2009-10-01,12,Public administration,343544.52
2009-11-01,1,"Agriculture, forestry and fishing",318956.47
2009-11-01,2,Mining,810103.88
2009-11-01,3,Manufacturing,446989.73
2009-11-01,4,"Electricity, gas, water and waste management",570106.05
2009-11-01,5,Construction,447167.95
2009-11-01,6,"Wholesale and retail trade, accommodation and food services",391558.26
2009-11-01,7,"Transport, communications and information services",474104.69
2009-11-01,8,Financial intermediation,651556.2
2009-11-01,9,Real estate and housing services,437565.93
2009-11-01,10,Business services,437775.42
2009-11-01,11,Personal services,433530.62
2009-11-01,12,Public administration,341947.36
2009-12-01,1,"Agriculture, forestry and fishing",338301.1
2009-12-01,2,Mining,884680.0
2009-12-01,3,Manufacturing,497688.29
2009-12-01,4,"Electricity, gas, water and waste management",627484.45
2009-12-01,5,Construction,482259.3
2009-12-01,6,"Wholesale and retail trade, accommodation and food services",426962.78
2009-12-01,7,"Transport, communications and information services",506550.55
2009-12-01,8,Financial intermediation,710527.63
2009-12-01,9,Real estate and housing services,472007.41
2009-12-01,10,Business services,462160.06
2009-12-01,11,Personal services,466445.18
2009-12-01,12,Public administration,360492.17
2010-01-01,1,"Agriculture, forestry and fishing",330121.47
2010-01-01,2,Mining,876705.37
2010-01-01,3,Manufacturing,476560.02
2010-01-01,4,"Electricity, gas, water and waste management",605703.58
2010-01-01,5,Construction,452190.45
2010-01-01,6,"Wholesale and retail trade, accommodation and food services",411592.02
2010-01-01,7,"Transport, communications and information services",498433.94
2010-01-01,8,Financial intermediation,713643.78
2010-01-01,9,Real estate and housing services,455213.15
2010-01-01,10,Business services,458103.04
2010-01-01,11,Personal services,452690.37
2010-01-01,12,Public administration,368155.3
2010-02-01,1,"Agriculture, forestry and fishing",328417.59
2010-02-01,2,Mining,889735.44
2010-02-01,3,Manufacturing,465599.38
2010-02-01,4,"Electricity, gas, water and waste management",599665.61
2010-02-01,5,Construction,459219.95
2010-02-01,6,"Wholesale and retail trade, accommodation and food services",405423.62
2010-02-01,7,"Transport, communications and information services",494793.9
2010-02-01,8,Financial intermediation,714196.19
2010-02-01,9,Real estate and housing services,449897.49
2010-02-01,10,Business services,453064.79
2010-02-01,11,Personal services,445213.41
2010-02-01,12,Public administration,367793.5
2010-03-01,1,"Agriculture, forestry and fishing",336410.57
2010-03-01,2,Mining,870713.71
2010-03-01,3,Manufacturing,469255.46
2010-03-01,4,"Electricity, gas, water and waste management",595516.81
2010-03-01,5,Construction,464323.04
2010-03-01,6,"Wholesale and retail trade, accommodation and food services",409308.37
2010-03-01,7,"Transport, communications and information services",494785.79
2010-03-01,8,Financial intermediation,700785.68
2010-03-01,9,Real estate and housing services,442546.76
2010-03-01,10,Business services,455913.62
2010-03-01,11,Personal services,453237.06
2010-03-01,12,Public administration,376066.46
2010-04-01,1,"Agriculture, forestry and fishing",337734.3
2010-04-01,2,Mining,899326.25
2010-04-01,3,Manufacturing,473466.85
2010-04-01,4,"Electricity, gas, water and waste management",617925.67
2010-04-01,5,Construction,478379.1
2010-04-01,6,"Wholesale and retail trade, accommodation and food services",416226.68
2010-04-01,7,"Transport, communications and information services",498949.39
2010-04-01,8,Financial intermediation,691662.12
2010-04-01,9,Real estate and housing services,451618.86
2010-04-01,10,Business services,465018.51
2010-04-01,11,Personal services,460660.93
2010-04-01,12,Public administration,374885.54
2010-05-01,1,"Agriculture, forestry and fishing",336892.04
2010-05-01,2,Mining,912151.23
2010-05-01,3,Manufacturing,467081.26
2010-05-01,4,"Electricity, gas, water and waste management",605504.65
2010-05-01,5,Construction,471198.36
2010-05-01,6,"Wholesale and retail trade, accommodation and food services",409734.2
2010-05-01,7,"Transport, communications and information services",497003.76
2010-05-01,8,Financial intermediation,696397.51
2010-05-01,9,Real estate and housing services,454015.59
2010-05-01,10,Business services,462108.42
2010-05-01,11,Personal services,453503.47
2010-05-01,12,Public administration,368539.36
2010-06-01,1,"Agriculture, forestry and fishing",334085.08
2010-06-01,2,Mining,902554.65
2010-06-01,3,Manufacturing,467754.73
2010-06-01,4,"Electricity, gas, water and waste management",601161.0
2010-06-01,5,Construction,458998.08
2010-06-01,6,"Wholesale and retail trade, accommodation and food services",408880.46
2010-06-01,7,"Transport, communications and information services",497068.23
2010-06-01,8,Financial intermediation,699976.01
2010-06-01,9,Real estate and housing services,458833.05
2010-06-01,10,Business services,459830.31
2010-06-01,11,Personal services,459765.87
2010-06-01,12,Public administration,377117.08
2010-07-01,1,"Agriculture, forestry and fishing",336805.58
2010-07-01,2,Mining,923411.13
2010-07-01,3,Manufacturing,473130.78
2010-07-01,4,"Electricity, gas, water and waste management",606664.11
2010-07-01,5,Construction,467067.42
2010-07-01,6,"Wholesale and retail trade, accommodation and food services",417831.63
2010-07-01,7,"Transport, communications and information services",508823.82
2010-07-01,8,Financial intermediation,703582.96
2010-07-01,9,Real estate and housing services,468171.68
2010-07-01,10,Business services,471421.09
2010-07-01,11,Personal services,463862.72
2010-07-01,12,Public administration,375429.49
2010-08-01,1,"Agriculture, forestry and fishing",338792.2
2010-08-01,2,Mining,909217.83
2010-08-01,3,Manufacturing,477929.76
2010-08-01,4,"Electricity, gas, water and waste management",615224.94
2010-08-01,5,Construction,465807.43
2010-08-01,6,"Wholesale and retail trade, accommodation and food services",418658.44
2010-08-01,7,"Transport, communications and information services",511704.42
2010-08-01,8,Financial intermediation,707433.24
2010-08-01,9,Real estate and housing services,469483.67
2010-08-01,10,Business services,473809.93
2010-08-01,11,Personal services,462018.96
2010-08-01,12,Public administration,379798.59
2010-09-01,1,"Agriculture, forestry and fishing",357023.18
2010-09-01,2,Mining,945275.68
2010-09-01,3,Manufacturing,514743.76
2010-09-01,4,"Electricity, gas, water and waste management",648643.0
2010-09-01,5,Construction,499401.24
2010-09-01,6,"Wholesale and retail trade, accommodation and food services",442436.48
2010-09-01,7,"Transport, communications and information services",540257.58
2010-09-01,8,Financial intermediation,780376.83
2010-09-01,9,Real estate and housing services,497593.42
2010-09-01,10,Business services,497742.05
2010-09-01,11,Personal services,486998.46
2010-09-01,12,Public administration,385297.74
2010-10-01,1,"Agriculture, forestry and fishing",341247.2
2010-10-01,2,Mining,902715.37
2010-10-01,3,Manufacturing,485520.3
2010-10-01,4,"Electricity, gas, water and waste management",616738.39
2010-10-01,5,Construction,482838.14
2010-10-01,6,"Wholesale and retail trade, accommodation and food services",425408.66
2010-10-01,7,"Transport, communications and information services",518411.17
2010-10-01,8,Financial intermediation,726021.22
2010-10-01,9,Real estate and housing services,481489.41
2010-10-01,10,Business services,478066.79
2010-10-01,11,Personal services,469304.31
2010-10-01,12,Public administration,374413.12
2010-11-01,1,"Agriculture, forestry and fishing",345381.12
2010-11-01,2,Mining,901596.72
2010-11-01,3,Manufacturing,489309.67
2010-11-01,4,"Electricity, gas, water and waste management",629593.07
2010-11-01,5,Construction,489883.01
2010-11-01,6,"Wholesale and retail trade, accommodation and food services",427457.08
2010-11-01,7,"Transport, communications and information services",518825.5
2010-11-01,8,Financial intermediation,733989.79
2010-11-01,9,Real estate and housing services,490376.35
2010-11-01,10,Business services,481101.31
2010-11-01,11,Personal services,469852.61
2010-11-01,12,Public administration,375043.49
2010-12-01,1,"Agriculture, forestry and fishing",381116.44
2010-12-01,2,Mining,1200137.62
2010-12-01,3,Manufacturing,595114.67
2010-12-01,4,"Electricity, gas, water and waste management",809574.51
2010-12-01,5,Construction,554515.58
2010-12-01,6,"Wholesale and retail trade, accommodation and food services",514150.82
2010-12-01,7,"Transport, communications and information services",617211.79
2010-12-01,8,Financial intermediation,984873.32
2010-12-01,9,Real estate and housing services,578987.17
2010-12-01,10,Business services,570792.5
2010-12-01,11,Personal services,538451.17
2010-12-01,12,Public administration,413347.95
2011-01-01,1,"Agriculture, forestry and fishing",369148.83
2011-01-01,2,Mining,1205707.06
2011-01-01,3,Manufacturing,557330.12
2011-01-01,4,"Electricity, gas, water and waste management",780415.95
2011-01-01,5,Construction,522516.38
2011-01-01,6,"Wholesale and retail trade, accommodation and food services",487644.61
2011-01-01,7,"Transport, communications and information services",588842.14
2011-01-01,8,Financial intermediation,918303.83
2011-01-01,9,Real estate and housing services,556938.91
2011-01-01,10,Business services,554184.56
2011-01-01,11,Personal services,511085.0
2011-01-01,12,Public administration,409795.12
2011-02-01,1,"Agriculture, forestry and fishing",367788.54
2011-02-01,2,Mining,1146951.85
2011-02-01,3,Manufacturing,543399.11
2011-02-01,4,"Electricity, gas, water and waste management",771863.52
2011-02-01,5,Construction,522082.43
2011-02-01,6,"Wholesale and retail trade, accommodation and food services",476568.43
2011-02-01,7,"Transport, communications and information services",586360.41
2011-02-01,8,Financial intermediation,927385.03
2011-02-01,9,Real estate and housing services,556516.06
2011-02-01,10,Business services,550706.09
2011-02-01,11,Personal services,502381.62
2011-02-01,12,Public administration,409172.6
2011-03-01,1,"Agriculture, forestry and fishing",383038.57
2011-03-01,2,Mining,1169810.63
2011-03-01,3,Manufacturing,553482.34
2011-03-01,4,"Electricity, gas, water and waste management",771070.58
2011-03-01,5,Construction,529019.57
2011-03-01,6,"Wholesale and retail trade, accommodation and food services",483998.33
2011-03-01,7,"Transport, communications and information services",590980.97
2011-03-01,8,Financial intermediation,901622.1
2011-03-01,9,Real estate and housing services,567331.96
2011-03-01,10,Business services,553167.65
2011-03-01,11,Personal services,517566.51
2011-03-01,12,Public administration,431621.4
2011-04-01,1,"Agriculture, forestry and fishing",376685.04
2011-04-01,2,Mining,1173144.41
2011-04-01,3,Manufacturing,552181.96
2011-04-01,4,"Electricity, gas, water and waste management",747217.4
2011-04-01,5,Construction,532615.48
2011-04-01,6,"Wholesale and retail trade, accommodation and food services",484230.81
2011-04-01,7,"Transport, communications and information services",588795.76
2011-04-01,8,Financial intermediation,904845.83
2011-04-01,9,Real estate and housing services,575133.61
2011-04-01,10,Business services,560755.91
2011-04-01,11,Personal services,516647.08
2011-04-01,12,Public administration,415570.64
2011-05-01,1,"Agriculture, forestry and fishing",379496.5
2011-05-01,2,Mining,1183893.96
2011-05-01,3,Manufacturing,546437.76
2011-05-01,4,"Electricity, gas, water and waste management",747515.22
2011-05-01,5,Construction,531865.01
2011-05-01,6,"Wholesale and retail trade, accommodation and food services",485649.77
2011-05-01,7,"Transport, communications and information services",595573.88
2011-05-01,8,Financial intermediation,903646.52
2011-05-01,9,Real estate and housing services,575735.22
2011-05-01,10,Business services,561048.71
2011-05-01,11,Personal services,514485.87
2011-05-01,12,Public administration,415156.56
2011-06-01,1,"Agriculture, forestry and fishing",377046.92
2011-06-01,2,Mining,1152774.25
2011-06-01,3,Manufacturing,549261.56
2011-06-01,4,"Electricity, gas, water and waste management",747667.9
2011-06-01,5,Construction,527315.02
2011-06-01,6,"Wholesale and retail trade, accommodation and food services",484645.87
2011-06-01,7,"Transport, communications and information services",591233.19
2011-06-01,8,Financial intermediation,939368.72
2011-06-01,9,Real estate and housing services,580631.51
2011-06-01,10,Business services,561322.4
2011-06-01,11,Personal services,523186.68
2011-06-01,12,Public administration,430565.19
2011-07-01,1,"Agriculture, forestry and fishing",387640.87
2011-07-01,2,Mining,1170727.78
2011-07-01,3,Manufacturing,560355.87
2011-07-01,4,"Electricity, gas, water and waste management",776935.1
2011-07-01,5,Construction,540808.7
2011-07-01,6,"Wholesale and retail trade, accommodation and food services",498967.78
2011-07-01,7,"Transport, communications and information services",598502.11
2011-07-01,8,Financial intermediation,945368.43
2011-07-01,9,Real estate and housing services,591056.17
2011-07-01,10,Business services,583870.08
2011-07-01,11,Personal services,525388.52
2011-07-01,12,Public administration,424584.18
2011-08-01,1,"Agriculture, forestry and fishing",388519.23
2011-08-01,2,Mining,1203327.33
2011-08-01,3,Manufacturing,563742.78
2011-08-01,4,"Electricity, gas, water and waste management",784337.88
2011-08-01,5,Construction,542843.37
2011-08-01,6,"Wholesale and retail trade, accommodation and food services",498826.68
2011-08-01,7,"Transport, communications and information services",599615.94
2011-08-01,8,Financial intermediation,984798.83
2011-08-01,9,Real estate and housing services,589817.13
2011-08-01,10,Business services,584710.45
2011-08-01,11,Personal services,523131.76
2011-08-01,12,Public administration,421457.87
2011-09-01,1,"Agriculture, forestry and fishing",408303.16
2011-09-01,2,Mining,1276180.86
2011-09-01,3,Manufacturing,611329.1
2011-09-01,4,"Electricity, gas, water and waste management",825678.54
2011-09-01,5,Construction,578015.49
2011-09-01,6,"Wholesale and retail trade, accommodation and food services",527656.93
2011-09-01,7,"Transport, communications and information services",628869.25
2011-09-01,8,Financial intermediation,975358.72
2011-09-01,9,Real estate and housing services,622083.77
2011-09-01,10,Business services,616864.3
2011-09-01,11,Personal services,549696.92
2011-09-01,12,Public administration,437520.03
2011-10-01,1,"Agriculture, forestry and fishing",388792.2
2011-10-01,2,Mining,1208410.68
2011-10-01,3,Manufacturing,567530.11
2011-10-01,4,"Electricity, gas, water and waste management",785972.22
2011-10-01,5,Construction,544251.52
2011-10-01,6,"Wholesale and retail trade, accommodation and food services",502877.2
2011-10-01,7,"Transport, communications and information services",605420.42
2011-10-01,8,Financial intermediation,934449.79
2011-10-01,9,Real estate and housing services,620703.4
2011-10-01,10,Business services,588770.98
2011-10-01,11,Personal services,530492.0
2011-10-01,12,Public administration,422169.57
2011-11-01,1,"Agriculture, forestry and fishing",395591.83
2011-11-01,2,Mining,1243815.64
2011-11-01,3,Manufacturing,576288.89
2011-11-01,4,"Electricity, gas, water and waste management",791193.86
2011-11-01,5,Construction,549452.03
2011-11-01,6,"Wholesale and retail trade, accommodation and food services",504482.08
2011-11-01,7,"Transport, communications and information services",608907.63
2011-11-01,8,Financial intermediation,947962.69
2011-11-01,9,Real estate and housing services,623529.03
2011-11-01,10,Business services,592511.68
2011-11-01,11,Personal services,532457.89
2011-11-01,12,Public administration,423155.76
2011-12-01,1,"Agriculture, forestry and fishing",419720.57
2011-12-01,2,Mining,1323685.28
2011-12-01,3,Manufacturing,646587.47
2011-12-01,4,"Electricity, gas, water and waste management",884216.08
2011-12-01,5,Construction,590284.37
2011-12-01,6,"Wholesale and retail trade, accommodation and food services",554702.94
2011-12-01,7,"Transport, communications and information services",661328.06
2011-12-01,8,Financial intermediation,1022619.1
2011-12-01,9,Real estate and housing services,674681.3
2011-12-01,10,Business services,635985.92
2011-12-01,11,Personal services,579829.43
2011-12-01,12,Public administration,450928.34
2012-01-01,1,"Agriculture, forestry and fishing",384832.62
2012-01-01,2,Mining,1026232.87
2012-01-01,3,Manufacturing,557962.14
2012-01-01,4,"Electricity, gas, water and waste management",720228.35
2012-01-01,5,Construction,529856.87
2012-01-01,6,"Wholesale and retail trade, accommodation and food services",480133.93
2012-01-01,7,"Transport, communications and information services",581004.96
2012-01-01,8,Financial intermediation,819917.48
2012-01-01,9,Real estate and housing services,565691.64
2012-01-01,10,Business services,546937.52
2012-01-01,11,Personal services,524562.47
2012-01-01,12,Public administration,426263.74
2012-02-01,1,"Agriculture, forestry and fishing",390382.26
2012-02-01,2,Mining,1013877.46
2012-02-01,3,Manufacturing,545769.05
2012-02-01,4,"Electricity, gas, water and waste management",719140.15
2012-02-01,5,Construction,536362.45
2012-02-01,6,"Wholesale and retail trade, accommodation and food services",472457.85
2012-02-01,7,"Transport, communications and information services",578310.64
2012-02-01,8,Financial intermediation,825633.79
2012-02-01,9,Real estate and housing services,572131.82
2012-02-01,10,Business services,543161.77
2012-02-01,11,Personal services,516925.88
2012-02-01,12,Public administration,424782.21
2012-03-01,1,"Agriculture, forestry and fishing",399227.23
2012-03-01,2,Mining,1012845.36
2012-03-01,3,Manufacturing,550223.72
2012-03-01,4,"Electricity, gas, water and waste management",711807.93
2012-03-01,5,Construction,545535.11
2012-03-01,6,"Wholesale and retail trade, accommodation and food services",475059.85
