Wage_Date,year,month,Avg_Taxable_Income
2021-07-01,2021,7,1029545.6
2021-08-01,2021,8,1021623.2
2021-09-01,2021,9,1068967.67
2021-10-01,2021,10,1032692.82
2021-11-01,2021,11,1045943.12
2021-12-01,2021,12,1130357.42
2022-01-01,2022,1,1087246.39
2022-02-01,2022,2,1074590.04
2022-03-01,2022,3,1099581.91
2022-04-01,2022,4,1097359.23
2022-05-01,2022,5,1127062.87
2022-06-01,2022,6,1131405.04
2022-07-01,2022,7,1150277.37
2022-08-01,2022,8,1159939.01
2022-09-01,2022,9,1219674.14
2022-10-01,2022,10,1174903.9
2022-11-01,2022,11,1189120.04
2022-12-01,2022,12,1166242.91
2023-01-01,2023,1,1130080.36
2023-02-01,2023,2,1119211.96
2023-03-01,2023,3,1130947.63
2023-04-01,2023,4,1138090.77
2023-05-01,2023,5,1192410.65
2023-06-01,2023,6,1194283.46
2023-07-01,2023,7,1197588.43
2023-08-01,2023,8,1198975.74
2023-09-01,2023,9,1228791.65
2023-10-01,2023,10,1188166.1
2023-11-01,2023,11,1193414.14
2023-12-01,2023,12,1268977.49
2024-01-01,2024,1,1229529.81
2024-02-01,2024,2,1218279.99
2024-03-01,2024,3,1229788.81
2024-04-01,2024,4,1232993.48
2024-05-01,2024,5,1238866.02
2024-06-01,2024,6,1240338.07
2024-07-01,2024,7,1287515.51
2024-08-01,2024,8,1285115.99
2024-09-01,2024,9,1341991.81
2024-10-01,2024,10,1297233.44
2024-11-01,2024,11,1312523.27
2024-12-01,2024,12,1521650.54
2025-01-01,2025,1,1484447.85
2025-02-01,2025,2,1467296.61
2025-03-01,2025,3,1490766.77
